dataset,method,model,acc_train_mean,acc_train_std,acc_test_mean,acc_test_std,gps_train_mean,gps_train_std,gps_test_mean,gps_test_std,Hostility_mean,Hostility_std,N1_mean,N1_std,kDN_mean,kDN_std,n_features,type,filter_corr
ArtificialDataset12,relief,SVM-rbf,0.8865000000000001,0.003341136699454905,0.8640000000000001,0.014605934866804412,0.8816335929534592,0.0035981813734398444,0.85772235497796,0.015422454143853204,0.15474999999999994,0.0027888667551135963,0.23159438131313131,0.002800264740781626,0.24656666666666666,0.004064326512474097,25.0,SOTA,True
ArtificialDataset12,Hostility_importances_norm,SVM-rbf,0.87475,0.0127257394458807,0.8416666666666666,0.0103413947049923,0.8685785349072302,0.0137960752053433,0.8330213262363845,0.0126569134330451,0.1963333333333333,0.0237525583417403,0.2836305426055426,0.0331918960388395,0.30155,0.029752485890538,,Distributed,True
ArtificialDataset12,rf,SVM-rbf,0.8810833333333333,0.0030561868034820598,0.8656666666666666,0.015347819244295142,0.8756640282402127,0.003235232273974643,0.859196679978688,0.016195679655726433,0.15649999999999997,0.005822907349426074,0.23586652930402927,0.0026990583348949467,0.2541,0.0034112762355979704,25.0,SOTA,True
ArtificialDataset12,xgb,KNN,0.88125,0.0052951104279744905,0.8366666666666667,0.010137937550497054,0.8759650667182799,0.005859017143859953,0.8279057827375957,0.011546350269680313,0.15866666666666665,0.007005702042701457,0.23350135373885367,0.006409364782286186,0.24931666666666663,0.006034162005706424,25.0,SOTA,True
ArtificialDataset12,rf,KNN,0.8765000000000001,0.004701137569189414,0.8346666666666668,0.011266962520770361,0.8708849411060824,0.005016052932953552,0.8263005818374151,0.012246285094762005,0.15649999999999997,0.005822907349426074,0.23586652930402927,0.0026990583348949467,0.2541,0.0034112762355979704,25.0,SOTA,True
ArtificialDataset12,informative+rand_extra,mean_model,,,0.8151666666666667,0.0,,,0.8055359101739348,0.0,0.1476666666666666,,0.2162391839641839,,0.2358,,28.0,Custom,True
ArtificialDataset12,informative+noise,mean_model,,,0.7970833333333334,0.0,,,0.7858001211643233,0.0,0.2036666666666666,,0.2922280275584724,,0.3095333333333334,,55.0,Custom,True
ArtificialDataset12,informative+redundant_nonLinear,mean_model,,,0.8011666666666667,0.0,,,0.7871773874939354,0.0,0.135,,0.239002849002849,,0.2495333333333333,,55.0,Custom,True
ArtificialDataset12,kDN_importances_norm,KNN,0.87375,0.0041978003499187,0.8293333333333333,0.0073219608788295,0.8677842865365454,0.0045693636607177,0.8202026434476828,0.0067932344289053,0.1644166666666666,0.0075438532741711,0.2367570554445554,0.0032940921950645,0.2559166666666667,0.0032776600732162,,Distributed,True
ArtificialDataset12,f_classif,SVM-rbf,0.8716666666666667,0.004114253678777394,0.841,0.02162174831043965,0.8653289791115938,0.004371724537562525,0.8317216375513778,0.024632512813201557,0.19683333333333333,0.00884178055220404,0.2740285804473304,0.0038310003150955584,0.2917666666666666,0.0035194893884703594,25.0,SOTA,True
ArtificialDataset12,relief,KNN,0.8804166666666667,0.0028105703256733334,0.8443333333333334,0.014794894014114783,0.8752861652822002,0.003038498208204471,0.8366412855897731,0.016571991706517488,0.15474999999999994,0.0027888667551135963,0.23159438131313131,0.002800264740781626,0.24656666666666666,0.004064326512474097,25.0,SOTA,True
ArtificialDataset12,N1_importances_norm,SVM-rbf,0.8852499999999999,0.0013372338779901,0.8546666666666667,0.0139144209764945,0.8800551232533429,0.0015603154668599,0.8470149851266713,0.0145348266960988,0.1866666666666666,0.011475366128267,0.2535441368816369,0.0098514832441132,0.2742666666666666,0.0094412290278096,,Distributed,True
ArtificialDataset12,informative+redundant,mean_model,,,0.814875,0.0,,,0.8056743506225934,0.0,0.1456666666666666,,0.2233806637806638,,0.244,,55.0,Custom,True
ArtificialDataset12,kDN_importances_norm,SVM-rbf,0.889,0.0035428919449135,0.8693333333333333,0.0119953694769643,0.8840639713801007,0.0037495901081299,0.8626981250730058,0.0133883058082088,0.1644166666666666,0.0075438532741711,0.2367570554445554,0.0032940921950645,0.2559166666666667,0.0032776600732162,,Distributed,True
ArtificialDataset12,Hostility_importances_norm,KNN,0.8508333333333333,0.0115319604192483,0.7873333333333333,0.0290975371237269,0.8427571945100981,0.0124919840305528,0.7733258084288053,0.0307892289861346,0.1963333333333333,0.0237525583417403,0.2836305426055426,0.0331918960388395,0.30155,0.029752485890538,,Distributed,True
ArtificialDataset12,informative,mean_model,,,0.8157916666666667,0.0,,,0.8062263951116193,0.0,0.143,,0.2136410654160654,,0.2343333333333333,,25.0,Custom,True
ArtificialDataset12,mutual_info,KNN,0.8503333333333334,0.011943879185591214,0.7926666666666666,0.015616942366830018,0.8424632616077468,0.012950557755225259,0.7798022386090231,0.016285548732775875,0.19374999999999998,0.007976745716281937,0.2740770111832611,0.016065277988078514,0.2961166666666667,0.013619660013704054,25.0,SOTA,True
ArtificialDataset12,xgb,SVM-rbf,0.8877499999999999,0.004882295111477349,0.8673333333333334,0.012281422284627025,0.8830000463559233,0.00518021383647797,0.8612342187881523,0.013220460862101872,0.15866666666666665,0.007005702042701457,0.23350135373885367,0.006409364782286186,0.24931666666666663,0.006034162005706424,25.0,SOTA,True
ArtificialDataset12,all,mean_model,,,0.7984166666666667,0.0,,,0.7865132780795878,0.0,0.1823333333333333,,0.2465054496701555,,0.2624666666666667,,115.0,Custom,True
ArtificialDataset12,mutual_info,SVM-rbf,0.8675833333333334,0.009498720674093143,0.8373333333333333,0.01170232645436127,0.8607624463569614,0.010330831273905135,0.8279189394253252,0.01195003432409169,0.19374999999999998,0.007976745716281937,0.2740770111832611,0.016065277988078514,0.2961166666666667,0.013619660013704054,25.0,SOTA,True
