y,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,L1,level,subset
0,0.15416666666666667,0.24133333333333334,0.12069119738753407,0.5829166666666666,0.4174717224915191,0.19951289682539683,0.46152984679659637,0.9948387545176536,0.9921249999999999,0.3684423032973091,class,f_classif_top20
1,0.06944444444444445,0.136,0.08046079825835603,0.6706944444444445,0.2779275869556763,0.1245026455026455,0.44207559530077256,0.9916750046322031,0.9911666666666666,0.8021522394632205,class,f_classif_top20
dataset,0.10333333333333333,0.17813333333333334,0.09655295791002726,0.6355833333333333,0.3337452411700134,0.15450674603174602,0.44985729589910217,0.9929405045863834,0.9915499999999999,0.6286682649968559,class,f_classif_top20
0,0.04444444444444451,0.4,0.008403361344537785,0.5,0.26103492987394467,0.0,0.4984335227288329,0.9991659716430359,1.0,1.2489795353378461,instance,f_classif_top20
0,0.35735294117647054,0.4,0.0,0.6875,0.3479575898837227,0.0,0.4629161197301106,0.9974979149291076,1.0,0.0234297687430035,instance,f_classif_top20
0,0.0,0.0,0.07999999999999996,0.5625,0.2562535312034985,0.0,0.4281023179263299,0.9891576313594662,1.0,1.1975650339071322,instance,f_classif_top20
0,0.0,0.0,0.07407407407407407,0.6875,0.2556024110566095,0.0,0.4253757300304174,0.9716430358632193,0.95,0.8423454824650444,instance,f_classif_top20
0,0.09183673469387754,0.0,0.04672897196261683,0.625,0.25603241192804205,0.0,0.42010158973234013,0.9749791492910759,1.0,0.4511496777688917,instance,f_classif_top20
0,0.15517241379310343,0.2,0.07999999999999996,0.5625,0.26324359323456104,0.0,0.4374454555167212,0.9966638865721434,1.0,1.1633957742688519,instance,f_classif_top20
0,0.11904761904761907,0.4,0.15000000000000002,0.3125,0.6258879335599074,0.5,0.5571029763439024,1.0,1.0,-0.2746467184247613,instance,f_classif_top20
0,0.2828947368421053,0.4,0.1428571428571429,0.5625,0.42190540645932145,0.0,0.4312893988680301,0.9983319432860718,1.0,0.2778690659726375,instance,f_classif_top20
0,0.40421455938697315,0.6,0.125,0.5625,0.5563637092424173,0.4,0.5157825750717122,1.0,1.0,-0.28009163226550415,instance,f_classif_top20
0,0.3620689655172413,0.2,0.07999999999999996,0.5625,0.6472057074946643,0.0,0.49534184101007983,0.9983319432860718,1.0,-0.613511377967512,instance,f_classif_top20
0,0.030612244897959107,0.0,0.04672897196261683,0.625,0.6677561438912925,0.0,0.40913850992566025,0.9824854045037531,1.0,0.8888254310807577,instance,f_classif_top20
0,0.06060606060606055,0.0,0.03240740740740744,0.5,0.25558053931413305,0.0,0.4675685714395996,0.9916597164303587,0.95,0.7554992858423113,instance,f_classif_top20
0,0.5617433414043583,0.2,0.10416666666666663,0.6875,0.6958210389830052,0.0,0.4898324749100511,0.9991659716430359,1.0,-0.047024570601273484,instance,f_classif_top20
0,0.0,0.0,0.04672897196261683,0.625,0.2582240539428157,0.0,0.4195252758616306,0.994161801501251,1.0,0.6616098416864146,instance,f_classif_top20
0,0.5430672268907564,0.4,0.10416666666666663,0.6875,0.458357362925902,0.3333333333333333,0.4190161558038209,0.9991659716430359,1.0,0.5724857437305175,instance,f_classif_top20
0,0.020408163265306145,0.2,0.0,0.5625,0.2609689233227631,0.0,0.4847312629889926,0.9974979149291076,1.0,0.8904050650225559,instance,f_classif_top20
0,0.6264367816091954,1.0,0.11111111111111116,1.0,0.7045197520595654,1.0,0.5859341395569169,1.0,1.0,-0.33937004606619126,instance,f_classif_top20
0,0.4767441860465116,0.6,0.9879807692307693,0.5625,0.878659488013816,1.0,0.5130189737595534,1.0,1.0,-1.0577000365535059,instance,f_classif_top20
0,0.06060606060606055,0.0,0.04672897196261683,0.6875,0.25660568852694104,0.0,0.4179191862218734,0.9958298582151793,0.9,1.1508922892744864,instance,f_classif_top20
0,0.5301724137931034,0.6,0.07407407407407407,0.6875,0.3042749599076962,0.0,0.48570643861122365,0.9991659716430359,1.0,0.3409073554056625,instance,f_classif_top20
0,0.35735294117647054,0.2,0.0,0.6875,0.5467187172227779,0.3333333333333333,0.4833507649427641,0.9983319432860718,1.0,0.4147658479291314,instance,f_classif_top20
0,0.012195121951219523,0.0,0.008403361344537785,0.5,0.2555971121140142,0.0,0.4450078216855857,0.9958298582151793,1.0,1.2913952498170038,instance,f_classif_top20
0,0.23850574712643668,0.0,0.06451612903225812,0.375,0.2558668612569587,0.0,0.4323619522980895,0.9908256880733946,1.0,1.0343218403526764,instance,f_classif_top20
0,0.13203463203463206,0.6,0.052631578947368474,0.625,0.320699040680959,0.5,0.49823441798952106,0.9991659716430359,1.0,0.26812114503745815,instance,f_classif_top20
0,0.5014367816091954,0.0,0.07407407407407407,0.6875,0.31435849112031644,0.0,0.4209973969284043,0.9949958298582152,1.0,0.3407353361887241,instance,f_classif_top20
0,0.8729729729729729,0.4,0.0,0.3125,0.4583232684321481,0.0,0.4543558659231318,0.9983319432860718,1.0,-0.6921271212459976,instance,f_classif_top20
0,0.09183673469387754,0.2,0.052631578947368474,0.625,0.26106985545221306,0.0,0.45361539099033377,0.9966638865721434,1.0,1.2828458456047935,instance,f_classif_top20
0,0.0892857142857143,0.4,0.03240740740740744,0.5,0.2561874022168901,0.0,0.47343267786912724,0.9991659716430359,1.0,0.27186563985134565,instance,f_classif_top20
0,0.030612244897959107,0.2,0.008403361344537785,0.5,0.2641124231401767,0.2,0.41736941489585877,0.9966638865721434,1.0,1.5525449866049823,instance,f_classif_top20
0,0.0,0.2,0.10416666666666663,0.6875,0.2840556068901755,0.0,0.3928193243001523,0.9983319432860718,1.0,0.8788111849509496,instance,f_classif_top20
0,0.30000000000000004,0.4,0.03240740740740744,0.5,0.2569980994141172,0.5,0.5210014310530181,1.0,1.0,0.5137584791101288,instance,f_classif_top20
0,0.06060606060606055,0.2,0.02777777777777779,0.6875,0.2568019062979524,0.0,0.49851843031537957,0.9991659716430359,1.0,1.5730159683147116,instance,f_classif_top20
0,0.02777777777777779,0.0,0.10416666666666663,0.6875,0.3936029406328271,0.0,0.46174225988582407,0.9916597164303587,1.0,0.19902145738708696,instance,f_classif_top20
0,0.39074074074074083,0.6,0.962457337883959,0.875,0.771051548801891,0.6666666666666666,0.5098791653649186,1.0,1.0,-0.21455039829378722,instance,f_classif_top20
