dataset,method,model,acc_train_mean,acc_train_std,acc_test_mean,acc_test_std,gps_train_mean,gps_train_std,gps_test_mean,gps_test_std,Hostility_mean,Hostility_std,N1_mean,N1_std,kDN_mean,kDN_std,n_features,type,filter_corr
ArtificialDataset12,all,KNN,0.8692499999999999,0.0051149970131412,0.8266666666666665,0.0162873502380767,0.8638508933840022,0.005390061776992,0.818656859799848,0.0173869505280432,0.1728333333333333,0.008505512918102,0.2480054835597696,0.0072249498384757,0.2644166666666666,0.0032606662577523,115.0,Subsets,
ArtificialDataset12,informative,KNN,0.8866666666666667,0.0047048290794317,0.8629999999999999,0.0135092560861062,0.8820264982309304,0.0049946721425244,0.8566241909729143,0.0145084469942793,0.142,0.0067790014833389,0.2158031445406445,0.0043160714597416,0.2355666666666666,0.0032470071690027,25.0,Subsets,
ArtificialDataset12,informative+redundant,KNN,0.8865000000000001,0.0036869703009381,0.8546666666666667,0.0119256958799988,0.8817390983046154,0.0039456943668305,0.8482015164684128,0.0129468061766203,0.15175,0.0054835612921207,0.2246025535602741,0.0099092174188753,0.2461833333333333,0.0022840023350834,55.0,Subsets,
ArtificialDataset12,informative+redundant_nonLinear,KNN,0.8803333333333333,0.0023459480433766,0.8393333333333335,0.0103144989645105,0.8752632525476802,0.0024055042782789,0.8313216801098464,0.0120446458275867,0.1551666666666666,0.004908892158341,0.2352512429699929,0.0068365502438648,0.2538333333333333,0.0028674417556808,55.0,Subsets,
ArtificialDataset12,informative+rand_extra,KNN,0.8846666666666667,0.0023826630759159,0.859,0.0128344155387856,0.8799319355118504,0.0026494389019558,0.8522868405873105,0.0144690870192848,0.1438333333333333,0.0082884206376526,0.2186196673696673,0.0038943398298272,0.2397833333333333,0.0031653506037158,28.0,Subsets,
ArtificialDataset12,informative+noise,KNN,0.8535,0.004435103030245,0.7886666666666666,0.0124944432093275,0.8460771679279218,0.0045144747618712,0.775749499496008,0.0145986629547296,0.2170833333333333,0.0106759399794324,0.2944613751237943,0.0051548756772602,0.3108333333333333,0.001575639200099,55.0,Subsets,
ArtificialDataset12,f_classif,KNN,0.8525833333333332,0.005123475382979812,0.7836666666666667,0.017849680980653756,0.8454777471001427,0.0055327308738094445,0.7707672033560361,0.0199388390239525,0.19683333333333333,0.00884178055220404,0.2740285804473304,0.0038310003150955584,0.2917666666666666,0.0035194893884703594,25.0,SOTA,1.0
ArtificialDataset12,mutual_info,KNN,0.8503333333333334,0.011943879185591214,0.7926666666666666,0.015616942366830018,0.8424632616077468,0.012950557755225259,0.7798022386090231,0.016285548732775875,0.19374999999999998,0.007976745716281937,0.2740770111832611,0.016065277988078514,0.2961166666666667,0.013619660013704054,25.0,SOTA,1.0
ArtificialDataset12,relief,KNN,0.8804166666666667,0.0028105703256733334,0.8443333333333334,0.014794894014114783,0.8752861652822002,0.003038498208204471,0.8366412855897731,0.016571991706517488,0.15474999999999994,0.0027888667551135963,0.23159438131313131,0.002800264740781626,0.24656666666666666,0.004064326512474097,25.0,SOTA,1.0
ArtificialDataset12,rf,KNN,0.8765000000000001,0.004701137569189414,0.8346666666666668,0.011266962520770361,0.8708849411060824,0.005016052932953552,0.8263005818374151,0.012246285094762005,0.15649999999999997,0.005822907349426074,0.23586652930402927,0.0026990583348949467,0.2541,0.0034112762355979704,25.0,SOTA,1.0
