dataset,subset,model,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,std_acc_class_0,mean_acc_class_1,std_acc_class_1
ArtificialDataset3,informative+noise,KNN,0.9700000000000001,0.01897366596101027,0.9699866322996542,0.018992426262251613,0.968,0.02561249694973139,0.9719999999999999,0.023999999999999997
ArtificialDataset3,informative+noise,NaiveBayes,0.9019999999999999,0.026000000000000006,0.901946293419406,0.02599109029884832,0.906,0.03583294573433783,0.8979999999999999,0.033999999999999996
ArtificialDataset3,informative+noise,DecisionTree,0.8300000000000001,0.030331501776206183,0.8296810002787407,0.03039054029267201,0.8480000000000001,0.046647615158762416,0.8119999999999999,0.04578209256903838
ArtificialDataset3,informative+noise,XGBoost,0.9550000000000001,0.010246950765959608,0.9549691090189413,0.01026360137441466,0.9559999999999998,0.02497999199359359,0.954,0.028354893757515636
ArtificialDataset3,informative+rand_extra,LogReg,0.9559999999999998,0.019595917942265405,0.9559774659730216,0.019622216132032674,0.9640000000000001,0.01959591794226544,0.9480000000000001,0.031240998703626604
ArtificialDataset3,informative+rand_extra,SVM-linear,0.95,0.02569046515733025,0.9499197898404563,0.02583369107765125,0.968,0.02227105745132011,0.932,0.044
ArtificialDataset3,informative+rand_extra,SVM-rbf,0.992,0.009797958971132722,0.9919985709689854,0.009799715690819487,0.994,0.012806248474865708,0.9899999999999999,0.013416407864998751
ArtificialDataset3,informative+rand_extra,RandomForest,0.946,0.019595917942265395,0.9459309851057857,0.019689807973697036,0.9579999999999999,0.016613247725836167,0.9339999999999999,0.043863424398922615
ArtificialDataset3,informative+rand_extra,KNN,0.976,0.014282856857085711,0.9759950502176686,0.014284820688213915,0.9719999999999999,0.018330302779823376,0.9800000000000001,0.020000000000000018
ArtificialDataset3,informative+rand_extra,NaiveBayes,0.8949999999999999,0.03556683848755751,0.8949226555183063,0.035534367159315294,0.8959999999999999,0.046303347611160915,0.8939999999999999,0.0447660585711988
ArtificialDataset3,informative+rand_extra,DecisionTree,0.842,0.02227105745132009,0.8416041746843759,0.022182265107260235,0.8720000000000001,0.04308131845707603,0.812,0.04214261501141095
ArtificialDataset3,informative+rand_extra,XGBoost,0.954,0.014966629547095761,0.9539683819400194,0.014974260514414096,0.954,0.025377155080899026,0.954,0.032310988842807004
ArtificialDataset3,mutual_info_top25,LogReg,0.9470000000000001,0.03257299494980466,0.9469362130499498,0.03272945737099787,0.9579999999999999,0.020880613017821098,0.9359999999999999,0.04882622246293479
ArtificialDataset3,mutual_info_top25,SVM-linear,0.9440000000000002,0.03382306905057551,0.9439578171381668,0.03390375021969225,0.952,0.02712931993250106,0.9359999999999999,0.0463033476111609
ArtificialDataset3,mutual_info_top25,SVM-rbf,0.9720000000000001,0.016000000000000014,0.9719773245615692,0.016025049086104127,0.9879999999999999,0.013266499161421611,0.9559999999999998,0.02939387691339813
ArtificialDataset3,mutual_info_top25,RandomForest,0.951,0.015779733838059494,0.950974684624831,0.01578974937485979,0.9579999999999999,0.020880613017821098,0.944,0.029393876913398106
ArtificialDataset3,mutual_info_top25,KNN,0.9570000000000001,0.016763054614240228,0.9569883050625858,0.016768209717963098,0.9559999999999998,0.017435595774162687,0.958,0.027495454169735034
ArtificialDataset3,mutual_info_top25,NaiveBayes,0.858,0.036551333764994115,0.8554697994579653,0.03759697785566203,0.97,0.022360679774997894,0.7459999999999999,0.0657571288910944
ArtificialDataset3,mutual_info_top25,DecisionTree,0.861,0.021656407827707735,0.8606534431588534,0.021748384678913477,0.8680000000000001,0.039191835884530846,0.8540000000000001,0.059363288318623315
ArtificialDataset3,mutual_info_top25,XGBoost,0.945,0.019104973174542777,0.9449624185317343,0.01912441925596216,0.9579999999999999,0.016613247725836167,0.932,0.03599999999999998
ArtificialDataset3,f_classif_top25,LogReg,0.923,0.02934280150224241,0.9228965420392139,0.029436392898800273,0.9360000000000002,0.037735924528226404,0.9099999999999999,0.04582575694955837
