y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.2288,0.445,0.44592,1,f10,Hostility,0
1,0.376,0.445,0.43976000000000004,1,f10,Hostility,1
dataset,0.3024,0.445,0.44284000000000007,1,f10,Hostility,dataset
0,0.1972,0.39693333333333336,0.40976,2,"f10,f51",Hostility,0
1,0.4536,0.4315666666666667,0.44583999999999996,2,"f10,f51",Hostility,1
dataset,0.3254,0.41425,0.4278,2,"f10,f51",Hostility,dataset
0,0.27,0.35124,0.3508,3,"f10,f51,f0",Hostility,0
1,0.2692,0.37008,0.3724,3,"f10,f51,f0",Hostility,1
dataset,0.2696,0.3606599999999999,0.3616,3,"f10,f51,f0",Hostility,dataset
0,0.272,0.3178,0.31768,4,"f10,f51,f0,f5",Hostility,0
1,0.1936,0.3301133333333333,0.3292,4,"f10,f51,f0,f5",Hostility,1
dataset,0.2328,0.32395666666666667,0.32343999999999995,4,"f10,f51,f0,f5",Hostility,dataset
0,0.176,0.27904,0.2832,5,"f10,f51,f0,f5,f22",Hostility,0
1,0.232,0.2887866666666667,0.28792,5,"f10,f51,f0,f5,f22",Hostility,1
dataset,0.204,0.2839133333333333,0.28556000000000004,5,"f10,f51,f0,f5,f22",Hostility,dataset
0,0.1472,0.2545733333333333,0.25024,6,"f10,f51,f0,f5,f22,f13",Hostility,0
1,0.166,0.24616,0.24975999999999998,6,"f10,f51,f0,f5,f22,f13",Hostility,1
dataset,0.1566,0.2503666666666666,0.25,6,"f10,f51,f0,f5,f22,f13",Hostility,dataset
0,0.1324,0.20518000000000003,0.21744000000000002,7,"f10,f51,f0,f5,f22,f13,f12",Hostility,0
1,0.1912,0.20705857142857145,0.20544,7,"f10,f51,f0,f5,f22,f13,f12",Hostility,1
dataset,0.1618,0.2061192857142857,0.21144000000000002,7,"f10,f51,f0,f5,f22,f13,f12",Hostility,dataset
0,0.1204,0.1855,0.19304000000000002,8,"f10,f51,f0,f5,f22,f13,f12,f16",Hostility,0
1,0.1296,0.17325333333333334,0.17687999999999998,8,"f10,f51,f0,f5,f22,f13,f12,f16",Hostility,1
dataset,0.125,0.17937666666666666,0.18495999999999999,8,"f10,f51,f0,f5,f22,f13,f12,f16",Hostility,dataset
0,0.1152,0.14553333333333332,0.16168,9,"f10,f51,f0,f5,f22,f13,f12,f16,f18",Hostility,0
1,0.1112,0.13719,0.1436,9,"f10,f51,f0,f5,f22,f13,f12,f16,f18",Hostility,1
dataset,0.1132,0.14136166666666666,0.15264,9,"f10,f51,f0,f5,f22,f13,f12,f16,f18",Hostility,dataset
0,0.0848,0.15350666666666665,0.16496000000000002,10,"f10,f51,f0,f5,f22,f13,f12,f16,f18,f41",Hostility,0
1,0.1324,0.13913809523809523,0.1468,10,"f10,f51,f0,f5,f22,f13,f12,f16,f18,f41",Hostility,1
