y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.292,0.409,0.422,1,f12,Hostility,0
1,0.3,0.409,0.4176,1,f12,Hostility,1
dataset,0.296,0.409,0.41980000000000006,1,f12,Hostility,dataset
0,0.206,0.3476666666666667,0.34840000000000004,2,"f12,f9",Hostility,0
1,0.278,0.3436666666666667,0.3552,2,"f12,f9",Hostility,1
dataset,0.242,0.3456666666666666,0.35180000000000006,2,"f12,f9",Hostility,dataset
0,0.186,0.3166666666666667,0.316,3,"f12,f9,f8",Hostility,0
1,0.26,0.30889999999999995,0.3352,3,"f12,f9,f8",Hostility,1
dataset,0.223,0.3127833333333333,0.3256,3,"f12,f9,f8",Hostility,dataset
0,0.262,0.3168333333333333,0.2988,4,"f12,f9,f8,f2",Hostility,0
1,0.172,0.28763333333333335,0.32480000000000003,4,"f12,f9,f8,f2",Hostility,1
dataset,0.217,0.30223333333333335,0.3118000000000001,4,"f12,f9,f8,f2",Hostility,dataset
0,0.228,0.3113,0.304,5,"f12,f9,f8,f2,f14",Hostility,0
1,0.174,0.30496666666666666,0.3304,5,"f12,f9,f8,f2,f14",Hostility,1
dataset,0.201,0.3081333333333333,0.3172,5,"f12,f9,f8,f2,f14",Hostility,dataset
0,0.174,0.23056666666666667,0.2272,6,"f12,f9,f8,f2,f14,f7",Hostility,0
1,0.16,0.26203333333333334,0.3192,6,"f12,f9,f8,f2,f14,f7",Hostility,1
dataset,0.167,0.24630000000000002,0.27320000000000005,6,"f12,f9,f8,f2,f14,f7",Hostility,dataset
0,0.082,0.16333333333333333,0.1652,7,"f12,f9,f8,f2,f14,f7,f17",Hostility,0
1,0.164,0.19616666666666666,0.2376,7,"f12,f9,f8,f2,f14,f7,f17",Hostility,1
dataset,0.123,0.17975,0.20140000000000002,7,"f12,f9,f8,f2,f14,f7,f17",Hostility,dataset
0,0.118,0.1514,0.17320000000000002,8,"f12,f9,f8,f2,f14,f7,f17,f4",Hostility,0
1,0.112,0.1595,0.1952,8,"f12,f9,f8,f2,f14,f7,f17,f4",Hostility,1
dataset,0.115,0.15544999999999998,0.18420000000000003,8,"f12,f9,f8,f2,f14,f7,f17,f4",Hostility,dataset
