y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.736231884057971,0.6488083735909823,0.6629951690821256,1,f119,Hostility,0
1,0.08244274809160305,0.34547921967769296,0.3479898218829517,1,f119,Hostility,1
dataset,0.308,0.45012777777777774,0.45666666666666667,1,f119,Hostility,dataset
0,0.736231884057971,0.6595813204508856,0.6523671497584541,2,"f119,f115",Hostility,0
1,0.08804071246819338,0.34855810008481763,0.33944020356234095,2,"f119,f115",Hostility,1
dataset,0.31166666666666665,0.4558611111111111,0.44739999999999996,2,"f119,f115",Hostility,dataset
0,0.7333333333333333,0.6451529790660225,0.6427053140096619,3,"f119,f115,f137",Hostility,0
1,0.0926208651399491,0.341696352841391,0.33557251908396946,3,"f119,f115,f137",Hostility,1
dataset,0.31366666666666665,0.44638888888888884,0.4415333333333333,3,"f119,f115,f137",Hostility,dataset
0,0.7217391304347827,0.6357487922705314,0.6156521739130435,4,"f119,f115,f137,f135",Hostility,0
1,0.11653944020356234,0.3407888040712468,0.33547073791348603,4,"f119,f115,f137,f135",Hostility,1
dataset,0.3253333333333333,0.44254999999999994,0.43213333333333337,4,"f119,f115,f137,f135",Hostility,dataset
0,0.7333333333333333,0.630402576489533,0.61487922705314,5,"f119,f115,f137,f135,f114",Hostility,0
1,0.10737913486005089,0.3393214588634436,0.338117048346056,5,"f119,f115,f137,f135,f114",Hostility,1
dataset,0.3233333333333333,0.4397444444444444,0.43360000000000004,5,"f119,f115,f137,f135,f114",Hostility,dataset
0,0.6811594202898551,0.617037037037037,0.6171980676328503,6,"f119,f115,f137,f135,f114,f104",Hostility,0
1,0.10737913486005089,0.3337489397794741,0.338117048346056,6,"f119,f115,f137,f135,f114,f104",Hostility,1
dataset,0.30533333333333335,0.4314833333333333,0.4344,6,"f119,f115,f137,f135,f114,f104",Hostility,dataset
0,0.7246376811594203,0.6193075684380033,0.6272463768115942,7,"f119,f115,f137,f135,f114,f104,f113",Hostility,0
1,0.0910941475826972,0.32544529262086513,0.3329262086513995,7,"f119,f115,f137,f135,f114,f104,f113",Hostility,1
dataset,0.30966666666666665,0.4268277777777777,0.4344666666666667,7,"f119,f115,f137,f135,f114,f104,f113",Hostility,dataset
0,0.6473429951690821,0.6300805152979065,0.6241545893719807,8,"f119,f115,f137,f135,f114,f104,f113,f0",Hostility,0
1,0.11297709923664122,0.33513146734520777,0.33862595419847324,8,"f119,f115,f137,f135,f114,f104,f113,f0",Hostility,1
dataset,0.29733333333333334,0.4368888888888888,0.4371333333333334,8,"f119,f115,f137,f135,f114,f104,f113,f0",Hostility,dataset
0,0.6695652173913044,0.6351529790660225,0.6284057971014493,9,"f119,f115,f137,f135,f114,f104,f113,f0,f131",Hostility,0
