measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,1,LogReg,f10,0.6334000000000001,0.013828955130450035,0.6331065000981078,0.013840663911597667,0.6432,0.6235999999999999,0.024644674881199004,0.02442621542523526
Hostility,1,SVM-linear,f10,0.64,0.013053735097664587,0.637569259700715,0.013088913654280535,0.7028,0.5772,0.024136279746472932,0.021618510586994637
Hostility,1,SVM-rbf,f10,0.6412000000000001,0.01088852607105297,0.6322305381880036,0.012760038978815702,0.7644,0.518,0.015435025105259806,0.02505992817228336
Hostility,1,RandomForest,f10,0.5544,0.028111207729302555,0.5541821705536015,0.028171870936419357,0.5544,0.5544,0.022213509403063696,0.040247235929936835
Hostility,1,KNN,f10,0.5856,0.021048515387076583,0.5850598818176121,0.02141463632804728,0.6047999999999999,0.5664,0.020536796244789515,0.03423214863253546
Hostility,1,NaiveBayes,f10,0.64,0.010917875251164954,0.6312064736171481,0.012595043809218234,0.7619999999999999,0.518,0.01433875866314795,0.023134389985474027
Hostility,1,DecisionTree,f10,0.5542,0.027834510953131542,0.5539872888851347,0.02790751552268591,0.5544,0.554,0.022213509403063696,0.039648455203198006
Hostility,1,XGBoost,f10,0.6175999999999999,0.016487571076419974,0.612853456056901,0.016067611139015198,0.7023999999999999,0.5327999999999999,0.030942527369301934,0.021821090715177353
Hostility,2,LogReg,"f10,f51",0.6376,0.013879481258317991,0.637077986868375,0.01404486811671352,0.6591999999999999,0.616,0.02371834732859774,0.026351470547200967
Hostility,2,SVM-linear,"f10,f51",0.6446000000000001,0.015774663229368813,0.6410453016818498,0.016592857839183215,0.7212,0.568,0.023735205918634896,0.02845347079004596
Hostility,2,SVM-rbf,"f10,f51",0.6474,0.012555476892575617,0.6360959663361798,0.014682863173762365,0.7872,0.5076,0.018829763673503728,0.026978509966267612
Hostility,2,RandomForest,"f10,f51",0.6407999999999999,0.021226398658274578,0.6401197659457274,0.021430278574499074,0.6636,0.618,0.031315172041679724,0.03542880184256872
Hostility,2,KNN,"f10,f51",0.625,0.022525541058984598,0.6228203247302535,0.023285587737737947,0.6799999999999999,0.5700000000000001,0.02386629422428205,0.03753398460062559
Hostility,2,NaiveBayes,"f10,f51",0.5618000000000001,0.010371113729971305,0.3558024766625304,0.030625075372694578,0.9847999999999999,0.13879999999999998,0.005878775382679633,0.018421726303471126
Hostility,2,DecisionTree,"f10,f51",0.6058,0.023840302011509835,0.60540674764702,0.024121090470309903,0.6063999999999999,0.6052,0.02846471499945152,0.03811771241824461
Hostility,2,XGBoost,"f10,f51",0.6586,0.02306599228301267,0.6569351358451243,0.02329370593056248,0.712,0.6052000000000001,0.027885480092693416,0.030570574086856803
Hostility,3,LogReg,"f10,f51,f0",0.7123999999999999,0.014609585894199731,0.7121149270725236,0.014592325010204894,0.7127999999999999,0.712,0.02646053665366597,0.03384671328208989
Hostility,3,SVM-linear,"f10,f51,f0",0.7135999999999999,0.015564061166674989,0.7133047859597195,0.01553758278401072,0.7072,0.72,0.02711752201068526,0.03389395226290377
Hostility,3,SVM-rbf,"f10,f51,f0",0.7302,0.012536347155371866,0.7299615594210296,0.012389647817652257,0.7232000000000001,0.7371999999999999,0.02832948993540126,0.02748381341808304
Hostility,3,RandomForest,"f10,f51,f0",0.7458,0.01807650408679733,0.7455873108957003,0.01791906397228296,0.7624,0.7292,0.03437208169430535,0.01620370328042329
Hostility,3,KNN,"f10,f51,f0",0.6886,0.013595587519485844,0.6883313598812026,0.013712159586820422,0.6971999999999998,0.68,0.033516563069622744,0.016099689437998457
Hostility,3,NaiveBayes,"f10,f51,f0",0.5882,0.014126570709128256,0.44994849138618875,0.03233605439830104,0.9712,0.2052,0.016666133324799715,0.024660900226877364
Hostility,3,DecisionTree,"f10,f51,f0",0.6678000000000001,0.0244368574084312,0.6674116970063944,0.024565030581149,0.6547999999999999,0.6808000000000001,0.041145595146989906,0.02597229292919666
Hostility,3,XGBoost,"f10,f51,f0",0.7494,0.013146862743635848,0.748774936585962,0.013151581537145922,0.782,0.7167999999999999,0.028968948893599838,0.033313060501851226
Hostility,4,LogReg,"f10,f51,f0,f5",0.7384,0.01959183503401355,0.7382470760009515,0.01965538253085854,0.7315999999999999,0.7452,0.029689055222421618,0.024983194351403525
Hostility,4,SVM-linear,"f10,f51,f0,f5",0.7408,0.01764539600009024,0.7405137003441051,0.017721318384137874,0.7192000000000001,0.7624000000000001,0.02758550343930667,0.022992172581119883
Hostility,4,SVM-rbf,"f10,f51,f0,f5",0.7752000000000001,0.014091131963046842,0.7748698250226932,0.014314202596318664,0.7476,0.8028000000000001,0.02733203248937044,0.017162750362339926
Hostility,4,RandomForest,"f10,f51,f0,f5",0.7757999999999999,0.021174512981412347,0.7756757396931102,0.021188127190101918,0.7768,0.7748,0.031076679359288067,0.027945661559533715
Hostility,4,KNN,"f10,f51,f0,f5",0.7323999999999999,0.0171300904842911,0.7321856133823269,0.01721478139554913,0.7328,0.732,0.030870050210519608,0.027712812921102035
Hostility,4,NaiveBayes,"f10,f51,f0,f5",0.619,0.01673917560694076,0.5278917928544534,0.031201228290831915,0.9628,0.2752,0.012905812643921323,0.02877776919776792
Hostility,4,DecisionTree,"f10,f51,f0,f5",0.711,0.02341367122003723,0.7107747686297126,0.02349444585148537,0.7063999999999999,0.7156,0.03432550072467988,0.030748008065564193
Hostility,4,XGBoost,"f10,f51,f0,f5",0.7756000000000001,0.021350409832132048,0.7754490459830621,0.021313355691414487,0.7744000000000001,0.7768,0.034742481200973556,0.028102668912400465
Hostility,5,LogReg,"f10,f51,f0,f5,f22",0.7582000000000001,0.021825672956406195,0.7580313757206817,0.021886026340238125,0.7572,0.7592000000000001,0.035283990704000616,0.026880476186258336
Hostility,5,SVM-linear,"f10,f51,f0,f5,f22",0.7577999999999999,0.02010870458284175,0.7576060212816502,0.02019222677036092,0.7504,0.7651999999999999,0.0331397042835328,0.027600000000000024
Hostility,5,SVM-rbf,"f10,f51,f0,f5,f22",0.8008000000000001,0.017232527382830383,0.8006518710764811,0.017311464316395395,0.8004,0.8012,0.029635114307186308,0.029068195678438654
Hostility,5,RandomForest,"f10,f51,f0,f5,f22",0.807,0.020596116138728658,0.8068883439020219,0.020568712289959334,0.8200000000000001,0.794,0.026892378102354557,0.02755358415887123
Hostility,5,KNN,"f10,f51,f0,f5,f22",0.7642,0.016061133210331098,0.7640624119348617,0.01623871968228924,0.7684,0.76,0.027623178672991296,0.02276839915321235
Hostility,5,NaiveBayes,"f10,f51,f0,f5,f22",0.6632,0.018290981384277885,0.6070070998245477,0.029705018628066307,0.9687999999999999,0.3576,0.007959899496852966,0.032897416311923354
Hostility,5,DecisionTree,"f10,f51,f0,f5,f22",0.7372,0.019477166118303777,0.7371326680789597,0.01947122073532671,0.7348,0.7395999999999999,0.03036050065463351,0.014472042012100447
Hostility,5,XGBoost,"f10,f51,f0,f5,f22",0.7976,0.021555509736491955,0.7974706531508381,0.021568904876249025,0.8055999999999999,0.7896000000000001,0.03600888779176607,0.022712111306525423
Hostility,6,LogReg,"f10,f51,f0,f5,f22,f13",0.8013999999999999,0.023427334462119222,0.8011698403846733,0.023416067677270787,0.8196000000000001,0.7832000000000001,0.03809251895057609,0.02965400478856101
Hostility,6,SVM-linear,"f10,f51,f0,f5,f22,f13",0.7994,0.022856946427727367,0.7991020501452727,0.022846767404203005,0.8276000000000001,0.7712000000000001,0.033344264874187866,0.02758550343930667
Hostility,6,SVM-rbf,"f10,f51,f0,f5,f22,f13",0.8347999999999999,0.01536749816983885,0.8346107828226541,0.015371609604314055,0.86,0.8096000000000002,0.025298221281347056,0.02192350336967153
Hostility,6,RandomForest,"f10,f51,f0,f5,f22,f13",0.8398,0.019543796969882787,0.8396286269330263,0.019565702196864137,0.8620000000000001,0.8176,0.02544012578585258,0.030315672514394248
Hostility,6,KNN,"f10,f51,f0,f5,f22,f13",0.8,0.015798734126505176,0.7998252724883461,0.015813151056689036,0.8128,0.7872000000000001,0.031179480431848105,0.02425201022595858
Hostility,6,NaiveBayes,"f10,f51,f0,f5,f22,f13",0.6982,0.019150979087242486,0.6599165996664331,0.02903708571343661,0.9751999999999998,0.42119999999999996,0.009086253353280446,0.03832701397187108
Hostility,6,DecisionTree,"f10,f51,f0,f5,f22,f13",0.7752000000000001,0.013891004283348283,0.7751002324018015,0.013907738345794035,0.7712,0.7792,0.019823218709382206,0.02534876722840778
Hostility,6,XGBoost,"f10,f51,f0,f5,f22,f13",0.8357999999999999,0.018578482176970206,0.8356890793747016,0.01857774268173061,0.8523999999999999,0.8192,0.02376215478444663,0.026701310829245796
