y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.4847775175644028,0.5971896955503513,0.5676814988290398,1,f453,Hostility,0
1,0.18324607329842932,0.44415357766143104,0.42338568935427573,1,f453,Hostility,1
dataset,0.312,0.5095,0.48500000000000004,1,f453,Hostility,dataset
0,0.5573770491803278,0.5659640905542545,0.5639344262295082,2,"f453,f712",Hostility,0
1,0.27225130890052357,0.4214659685863874,0.43699825479930193,2,"f453,f712",Hostility,1
dataset,0.394,0.48316666666666663,0.4912,2,"f453,f712",Hostility,dataset
0,0.5644028103044496,0.5538641686182669,0.5831381733021077,3,"f453,f712,f914",Hostility,0
1,0.28097731239092494,0.4325479930191972,0.4324607329842932,3,"f453,f712,f914",Hostility,1
dataset,0.402,0.48435,0.4968,3,"f453,f712,f914",Hostility,dataset
0,0.5667447306791569,0.5814988290398126,0.5868852459016394,4,"f453,f712,f914,f195",Hostility,0
1,0.28970331588132636,0.44037230948225714,0.42338568935427573,4,"f453,f712,f914,f195",Hostility,1
dataset,0.408,0.5006333333333334,0.49319999999999997,4,"f453,f712,f914,f195",Hostility,dataset
0,0.5409836065573771,0.5711163153786105,0.5733021077283372,5,"f453,f712,f914,f195,f905",Hostility,0
1,0.2530541012216405,0.4359511343804538,0.41710296684118675,5,"f453,f712,f914,f195,f905",Hostility,1
dataset,0.376,0.4936666666666667,0.48380000000000006,5,"f453,f712,f914,f195,f905",Hostility,dataset
0,0.5152224824355972,0.5362886138061782,0.5517564402810304,6,"f453,f712,f914,f195,f905,f352",Hostility,0
1,0.27225130890052357,0.39874927283304246,0.4038394415357766,6,"f453,f712,f914,f195,f905,f352",Hostility,1
dataset,0.376,0.4574785714285714,0.467,6,"f453,f712,f914,f195,f905,f352",Hostility,dataset
0,0.4426229508196721,0.5158860265417643,0.5587822014051522,7,"f453,f712,f914,f195,f905,f352,f269",Hostility,0
1,0.29668411867364747,0.383285548076124,0.393717277486911,7,"f453,f712,f914,f195,f905,f352,f269",Hostility,1
dataset,0.359,0.43990595238095237,0.46420000000000006,7,"f453,f712,f914,f195,f905,f352,f269",Hostility,dataset
0,0.522248243559719,0.5249414519906324,0.5489461358313817,8,"f453,f712,f914,f195,f905,f352,f269,f548",Hostility,0
1,0.2356020942408377,0.3987658937920718,0.3933682373472949,8,"f453,f712,f914,f195,f905,f352,f269,f548",Hostility,1
dataset,0.358,0.4526428571428571,0.4598,8,"f453,f712,f914,f195,f905,f352,f269,f548",Hostility,dataset
0,0.5245901639344263,0.5591892494702799,0.5489461358313817,9,"f453,f712,f914,f195,f905,f352,f269,f548,f13",Hostility,0
1,0.24956369982547993,0.3833624200116347,0.40244328097731236,9,"f453,f712,f914,f195,f905,f352,f269,f548,f13",Hostility,1
dataset,0.367,0.45844047619047623,0.465,9,"f453,f712,f914,f195,f905,f352,f269,f548,f13",Hostility,dataset
0,0.585480093676815,0.578376268540203,0.5653395784543326,10,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467",Hostility,0
1,0.2862129144851658,0.40788387489958167,0.4118673647469459,10,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467",Hostility,1
dataset,0.414,0.48068412698412694,0.4774,10,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467",Hostility,dataset
0,0.5128805620608899,0.5891881342701015,0.5789227166276347,11,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467,f673",Hostility,0
1,0.30017452006980805,0.412528047868362,0.4041884816753927,11,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467,f673",Hostility,1
dataset,0.391,0.4879619047619048,0.4788,11,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467,f673",Hostility,dataset
0,0.5011709601873536,0.592517006802721,0.5704918032786885,12,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467,f673,f886",Hostility,0
1,0.34205933682373474,0.43552314468544834,0.406282722513089,12,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467,f673,f886",Hostility,1
dataset,0.41,0.5025595238095238,0.47640000000000005,12,"f453,f712,f914,f195,f905,f352,f269,f548,f13,f467,f673,f886",Hostility,dataset
