y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.252,0.393,0.38880000000000003,1,f24,Hostility,0
1,0.3,0.393,0.3748,1,f24,Hostility,1
dataset,0.276,0.393,0.3818,1,f24,Hostility,dataset
0,0.232,0.3205,0.3304,2,"f24,f17",Hostility,0
1,0.2,0.3383333333333333,0.3304,2,"f24,f17",Hostility,1
dataset,0.216,0.3294166666666667,0.3304,2,"f24,f17",Hostility,dataset
0,0.14,0.25416666666666665,0.25320000000000004,3,"f24,f17,f8",Hostility,0
1,0.19,0.23579999999999998,0.238,3,"f24,f17,f8",Hostility,1
dataset,0.165,0.24498333333333336,0.2456,3,"f24,f17,f8",Hostility,dataset
0,0.172,0.22186666666666668,0.2204,4,"f24,f17,f8,f9",Hostility,0
1,0.112,0.19816666666666666,0.19720000000000001,4,"f24,f17,f8,f9",Hostility,1
dataset,0.142,0.21001666666666666,0.2088,4,"f24,f17,f8,f9",Hostility,dataset
0,0.128,0.18786666666666668,0.21080000000000002,5,"f24,f17,f8,f9,f0",Hostility,0
1,0.164,0.19463333333333332,0.1932,5,"f24,f17,f8,f9,f0",Hostility,1
dataset,0.146,0.19125,0.202,5,"f24,f17,f8,f9,f0",Hostility,dataset
0,0.144,0.16293333333333335,0.1968,6,"f24,f17,f8,f9,f0,f34",Hostility,0
1,0.148,0.1768,0.18120000000000003,6,"f24,f17,f8,f9,f0,f34",Hostility,1
dataset,0.146,0.16986666666666667,0.189,6,"f24,f17,f8,f9,f0,f34",Hostility,dataset
0,0.086,0.17136666666666667,0.18480000000000002,7,"f24,f17,f8,f9,f0,f34,f3",Hostility,0
1,0.146,0.17206666666666667,0.1716,7,"f24,f17,f8,f9,f0,f34,f3",Hostility,1
dataset,0.116,0.17171666666666666,0.17820000000000005,7,"f24,f17,f8,f9,f0,f34,f3",Hostility,dataset
0,0.134,0.16456666666666667,0.1892,8,"f24,f17,f8,f9,f0,f34,f3,f35",Hostility,0
1,0.116,0.16853333333333334,0.18359999999999999,8,"f24,f17,f8,f9,f0,f34,f3,f35",Hostility,1
dataset,0.125,0.16655,0.18640000000000004,8,"f24,f17,f8,f9,f0,f34,f3,f35",Hostility,dataset
0,0.126,0.14236666666666667,0.16720000000000002,9,"f24,f17,f8,f9,f0,f34,f3,f35,f11",Hostility,0
1,0.128,0.15443333333333334,0.15319999999999998,9,"f24,f17,f8,f9,f0,f34,f3,f35,f11",Hostility,1
dataset,0.127,0.1484,0.16019999999999998,9,"f24,f17,f8,f9,f0,f34,f3,f35,f11",Hostility,dataset
0,0.082,0.13393333333333335,0.1596,10,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1",Hostility,0
1,0.082,0.13106666666666666,0.1364,10,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1",Hostility,1
dataset,0.082,0.1325,0.148,10,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1",Hostility,dataset
0,0.1,0.12726666666666667,0.148,11,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13",Hostility,0
1,0.082,0.11596666666666666,0.12079999999999999,11,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13",Hostility,1
dataset,0.091,0.12161666666666668,0.13440000000000002,11,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13",Hostility,dataset
0,0.092,0.12666666666666668,0.1628,12,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27",Hostility,0
1,0.128,0.11071666666666667,0.1192,12,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27",Hostility,1
dataset,0.11,0.11869166666666667,0.141,12,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27",Hostility,dataset
0,0.09,0.1303,0.16240000000000002,13,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7",Hostility,0
1,0.108,0.11550952380952381,0.1232,13,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7",Hostility,1
dataset,0.099,0.1229047619047619,0.1428,13,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7",Hostility,dataset
0,0.08,0.12525238095238095,0.1716,14,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36",Hostility,0
1,0.072,0.11661904761904762,0.1252,14,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36",Hostility,1
dataset,0.076,0.12093571428571429,0.1484,14,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36",Hostility,dataset
0,0.088,0.13811190476190474,0.178,15,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26",Hostility,0
1,0.13,0.1221,0.128,15,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26",Hostility,1
dataset,0.109,0.13010595238095238,0.153,15,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26",Hostility,dataset
0,0.13,0.12758333333333333,0.1744,16,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26,f21",Hostility,0
1,0.096,0.10622142857142858,0.12440000000000001,16,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26,f21",Hostility,1
dataset,0.113,0.11690238095238095,0.1494,16,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26,f21",Hostility,dataset
0,0.062,0.13355238095238095,0.15880000000000002,17,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26,f21,f5",Hostility,0
1,0.124,0.1078047619047619,0.1168,17,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26,f21,f5",Hostility,1
dataset,0.093,0.12067857142857144,0.1378,17,"f24,f17,f8,f9,f0,f34,f3,f35,f11,f1,f13,f27,f7,f36,f26,f21,f5",Hostility,dataset
