measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,1,LogReg,f12,0.756,0.025768197453450273,0.7550059829061565,0.02580549860611471,0.766,0.746,0.06755738301621815,0.05219195340279955
Hostility,1,SVM-linear,f12,0.751,0.02879236009777596,0.7500693840928706,0.028521349714563028,0.77,0.732,0.06465291950097846,0.05153639490690049
Hostility,1,SVM-rbf,f12,0.75,0.03255764119219944,0.748901824728463,0.03240300761720096,0.772,0.728,0.07110555533852471,0.05381449618829483
Hostility,1,RandomForest,f12,0.6699999999999999,0.046475800154488996,0.6678635921457231,0.04711892595956491,0.682,0.658,0.07922120928135344,0.07717512552629896
Hostility,1,KNN,f12,0.711,0.03477067730142741,0.709568471922124,0.03507314934483922,0.71,0.712,0.073348483283569,0.06209669878504008
Hostility,1,NaiveBayes,f12,0.7529999999999999,0.02865309756378883,0.7520393506312486,0.028392591292964224,0.782,0.724,0.06095900261651269,0.04882622246293479
Hostility,1,DecisionTree,f12,0.6699999999999999,0.046475800154488996,0.6678635921457231,0.04711892595956491,0.682,0.658,0.07922120928135344,0.07717512552629896
Hostility,1,XGBoost,f12,0.709,0.0350570962859162,0.7076236362063113,0.035448982671245834,0.738,0.6799999999999999,0.06477653896280659,0.05513619500836089
Hostility,2,LogReg,"f12,f8",0.8039999999999999,0.03638681079732049,0.803313635873538,0.03706546695015001,0.812,0.796,0.05075431016179806,0.06740919818541087
Hostility,2,SVM-linear,"f12,f8",0.817,0.03606937759374285,0.816581259459868,0.036472203823131086,0.8320000000000001,0.8019999999999999,0.042142615011410964,0.05827520913733387
Hostility,2,SVM-rbf,"f12,f8",0.798,0.025999999999999985,0.7970235305390161,0.02662539577155516,0.8220000000000001,0.774,0.05015974481593781,0.06873136110975832
Hostility,2,RandomForest,"f12,f8",0.7790000000000001,0.03477067730142742,0.778350165134227,0.034874990075772536,0.8000000000000002,0.7580000000000001,0.046475800154488996,0.06225752966509351
Hostility,2,KNN,"f12,f8",0.7910000000000001,0.024677925358506127,0.7905847969329913,0.024857381012981492,0.818,0.764,0.03515679166249387,0.03878143885933065
Hostility,2,NaiveBayes,"f12,f8",0.7380000000000001,0.03600000000000003,0.7366500970025246,0.03583335573893634,0.78,0.696,0.06324555320336757,0.05425863986500215
