measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,1,LogReg,f12,0.6689999999999999,0.045923850012820136,0.6674313180633759,0.045797526767584786,0.6839999999999999,0.654,0.08236504112789599,0.059363288318623336
Hostility,1,SVM-linear,f12,0.6729999999999999,0.04605431575867782,0.6714808859894219,0.0458774803876337,0.692,0.654,0.08059776671843953,0.059363288318623336
Hostility,1,SVM-rbf,f12,0.6639999999999999,0.040298883359219766,0.6606250935931346,0.04056158017363188,0.722,0.6060000000000001,0.07453858061433691,0.06514598989960932
Hostility,1,RandomForest,f12,0.5800000000000001,0.033166247903553984,0.5745343452864,0.031808493397443995,0.594,0.5660000000000001,0.08392854103342914,0.10081666528902848
Hostility,1,KNN,f12,0.638,0.03969886648255841,0.6368303639853486,0.0397837597894568,0.642,0.634,0.05963220606350229,0.06069596362197406
Hostility,1,NaiveBayes,f12,0.665,0.04104875150354759,0.6609470054233535,0.040979622734108996,0.736,0.5940000000000001,0.0788923316932641,0.05868560300448483
Hostility,1,DecisionTree,f12,0.5800000000000001,0.033166247903553984,0.5745343452864,0.031808493397443995,0.594,0.5660000000000001,0.08392854103342914,0.10081666528902848
Hostility,1,XGBoost,f12,0.636,0.048414873747640835,0.6321787053438881,0.050233723504865435,0.666,0.6059999999999999,0.07539230729988307,0.09718024490605072
Hostility,2,LogReg,"f12,f9",0.7300000000000001,0.030000000000000006,0.7288679867520031,0.03021930500449462,0.736,0.724,0.06183849933496123,0.06183849933496122
Hostility,2,SVM-linear,"f12,f9",0.7310000000000001,0.026248809496813397,0.7297821447609281,0.026700020483458733,0.742,0.72,0.05827520913733387,0.06324555320336757
Hostility,2,SVM-rbf,"f12,f9",0.7390000000000001,0.029816103031751178,0.737667269837606,0.030261073089980186,0.766,0.712,0.05063595560468864,0.07054076835419358
Hostility,2,RandomForest,"f12,f9",0.717,0.030016662039607272,0.7158056176466442,0.029870532102772906,0.7180000000000001,0.716,0.05095095681142797,0.07364781055808788
Hostility,2,KNN,"f12,f9",0.708,0.03867815921162743,0.7067571749025396,0.039495026281506744,0.714,0.7020000000000001,0.05063595560468864,0.07613146524269711
Hostility,2,NaiveBayes,"f12,f9",0.742,0.026758176320519328,0.7409366382885971,0.02685464789326269,0.768,0.716,0.058787753826796275,0.05199999999999999
Hostility,2,DecisionTree,"f12,f9",0.6689999999999999,0.03238826948140328,0.6681171157345005,0.03216565277323634,0.6619999999999999,0.6759999999999999,0.028913664589601918,0.07031358332498777
Hostility,2,XGBoost,"f12,f9",0.716,0.014966629547095779,0.7152192214948335,0.014791480598337037,0.712,0.72,0.034871191548325395,0.05656854249492382
Hostility,3,LogReg,"f12,f9,f8",0.764,0.02059126028197402,0.7630261332736925,0.020704631424978102,0.766,0.762,0.05219195340279954,0.06600000000000002
Hostility,3,SVM-linear,"f12,f9,f8",0.7620000000000001,0.025219040425837006,0.7611065284056169,0.025526729822019267,0.752,0.772,0.05230678732248809,0.0620966987850401
Hostility,3,SVM-rbf,"f12,f9,f8",0.765,0.024186773244895668,0.7639387422637405,0.025024203882531734,0.7739999999999999,0.756,0.05868560300448484,0.061188234163113434
Hostility,3,RandomForest,"f12,f9,f8",0.758,0.03709447398198282,0.7568496925588611,0.03749050902498699,0.758,0.7579999999999999,0.05688585061331156,0.07972452571197901
