y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.31,0.444,0.43360000000000004,1,f55,Hostility,0
1,0.254,0.443,0.42440000000000005,1,f55,Hostility,1
dataset,0.282,0.4435,0.429,1,f55,Hostility,dataset
0,0.298,0.4435,0.4168,2,"f55,f68",Hostility,0
1,0.264,0.4333333333333333,0.42719999999999997,2,"f55,f68",Hostility,1
dataset,0.281,0.4384166666666666,0.42200000000000004,2,"f55,f68",Hostility,dataset
0,0.318,0.4071666666666667,0.4016,3,"f55,f68,f74",Hostility,0
1,0.228,0.43806666666666666,0.4148,3,"f55,f68,f74",Hostility,1
dataset,0.273,0.4226166666666667,0.40820000000000006,3,"f55,f68,f74",Hostility,dataset
0,0.316,0.39216666666666666,0.396,4,"f55,f68,f74,f31",Hostility,0
1,0.26,0.3821666666666667,0.3704,4,"f55,f68,f74,f31",Hostility,1
dataset,0.288,0.3871666666666666,0.38320000000000004,4,"f55,f68,f74,f31",Hostility,dataset
0,0.304,0.3711666666666667,0.3936,5,"f55,f68,f74,f31,f42",Hostility,0
1,0.218,0.3571333333333333,0.3548,5,"f55,f68,f74,f31,f42",Hostility,1
dataset,0.261,0.36415,0.37420000000000003,5,"f55,f68,f74,f31,f42",Hostility,dataset
0,0.294,0.3975333333333333,0.3904,6,"f55,f68,f74,f31,f42,f28",Hostility,0
1,0.218,0.36173333333333335,0.36119999999999997,6,"f55,f68,f74,f31,f42,f28",Hostility,1
dataset,0.256,0.3796333333333333,0.3758,6,"f55,f68,f74,f31,f42,f28",Hostility,dataset
0,0.252,0.3966,0.3912,7,"f55,f68,f74,f31,f42,f28,f77",Hostility,0
1,0.25,0.3599,0.35840000000000005,7,"f55,f68,f74,f31,f42,f28,f77",Hostility,1
dataset,0.251,0.37825,0.3748,7,"f55,f68,f74,f31,f42,f28,f77",Hostility,dataset
0,0.256,0.3722238095238095,0.38480000000000003,8,"f55,f68,f74,f31,f42,f28,f77,f11",Hostility,0
1,0.262,0.32243333333333335,0.3688,8,"f55,f68,f74,f31,f42,f28,f77,f11",Hostility,1
dataset,0.259,0.34732857142857143,0.3768000000000001,8,"f55,f68,f74,f31,f42,f28,f77,f11",Hostility,dataset
