y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.218,0.331,0.3496,1,f12,Hostility,0
1,0.258,0.331,0.3396,1,f12,Hostility,1
dataset,0.238,0.331,0.3446,1,f12,Hostility,dataset
0,0.162,0.275,0.2572,2,"f12,f8",Hostility,0
1,0.226,0.2813333333333333,0.28640000000000004,2,"f12,f8",Hostility,1
dataset,0.194,0.2781666666666667,0.2718,2,"f12,f8",Hostility,dataset
0,0.152,0.19,0.196,3,"f12,f8,f9",Hostility,0
1,0.1,0.1979,0.2256,3,"f12,f8,f9",Hostility,1
dataset,0.126,0.19394999999999998,0.21080000000000002,3,"f12,f8,f9",Hostility,dataset
0,0.102,0.19,0.1748,4,"f12,f8,f9,f2",Hostility,0
1,0.124,0.1835,0.19640000000000002,4,"f12,f8,f9,f2",Hostility,1
dataset,0.113,0.18675,0.18560000000000001,4,"f12,f8,f9,f2",Hostility,dataset
0,0.148,0.1685,0.17720000000000002,5,"f12,f8,f9,f2,f14",Hostility,0
1,0.118,0.18966666666666665,0.1984,5,"f12,f8,f9,f2,f14",Hostility,1
dataset,0.133,0.17908333333333334,0.18780000000000002,5,"f12,f8,f9,f2,f14",Hostility,dataset
0,0.11,0.14953333333333332,0.136,6,"f12,f8,f9,f2,f14,f7",Hostility,0
1,0.114,0.17383333333333334,0.18,6,"f12,f8,f9,f2,f14,f7",Hostility,1
dataset,0.112,0.16168333333333335,0.158,6,"f12,f8,f9,f2,f14,f7",Hostility,dataset
0,0.09,0.10606666666666666,0.1108,7,"f12,f8,f9,f2,f14,f7,f4",Hostility,0
1,0.074,0.12473333333333333,0.122,7,"f12,f8,f9,f2,f14,f7,f4",Hostility,1
dataset,0.082,0.1154,0.1164,7,"f12,f8,f9,f2,f14,f7,f4",Hostility,dataset
0,0.06,0.07546666666666667,0.0776,8,"f12,f8,f9,f2,f14,f7,f4,f6",Hostility,0
1,0.056,0.09003333333333333,0.1012,8,"f12,f8,f9,f2,f14,f7,f4,f6",Hostility,1
dataset,0.058,0.08275,0.08940000000000001,8,"f12,f8,f9,f2,f14,f7,f4,f6",Hostility,dataset
0,0.066,0.0838,0.0844,9,"f12,f8,f9,f2,f14,f7,f4,f6,f10",Hostility,0
1,0.076,0.0968,0.1116,9,"f12,f8,f9,f2,f14,f7,f4,f6,f10",Hostility,1
dataset,0.071,0.09029999999999998,0.098,9,"f12,f8,f9,f2,f14,f7,f4,f6,f10",Hostility,dataset
0,0.058,0.07659999999999999,0.0884,10,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",Hostility,0
1,0.08,0.07890000000000001,0.1004,10,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",Hostility,1
dataset,0.069,0.07775,0.09440000000000001,10,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3",Hostility,dataset
0,0.024,0.061266666666666664,0.07440000000000001,11,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",Hostility,0
1,0.072,0.05263333333333333,0.0792,11,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",Hostility,1
dataset,0.048,0.056949999999999994,0.07680000000000001,11,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13",Hostility,dataset
0,0.042,0.0606,0.06760000000000001,12,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",Hostility,0
1,0.068,0.06186666666666667,0.0852,12,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",Hostility,1
dataset,0.055,0.06123333333333333,0.07640000000000001,12,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17",Hostility,dataset
0,0.034,0.0626047619047619,0.07479999999999999,13,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",Hostility,0
1,0.068,0.06466666666666668,0.1012,13,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",Hostility,1
dataset,0.051,0.06363571428571428,0.088,13,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11",Hostility,dataset
0,0.058,0.05806666666666666,0.07440000000000001,14,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",Hostility,0
1,0.074,0.0665,0.102,14,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",Hostility,1
dataset,0.066,0.06228333333333333,0.0882,14,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16",Hostility,dataset
0,0.038,0.05656666666666666,0.078,15,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",Hostility,0
1,0.092,0.06313333333333333,0.10679999999999999,15,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",Hostility,1
dataset,0.065,0.059849999999999993,0.09240000000000001,15,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1",Hostility,dataset
0,0.058,0.054733333333333335,0.0712,16,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",Hostility,0
1,0.082,0.05643333333333333,0.0956,16,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",Hostility,1
dataset,0.07,0.05558333333333334,0.0834,16,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",Hostility,dataset
0,0.046,0.0532,0.068,17,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",Hostility,0
1,0.044,0.05806666666666666,0.076,17,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",Hostility,1
dataset,0.045,0.055633333333333326,0.072,17,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",Hostility,dataset
0,0.042,0.044649999999999995,0.0636,18,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",Hostility,0
1,0.05,0.05923333333333333,0.07440000000000001,18,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",Hostility,1
dataset,0.046,0.05194166666666667,0.069,18,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",Hostility,dataset
0,0.218,0.331,0.3496,1,f12,N1,0
1,0.258,0.331,0.3396,1,f12,N1,1
dataset,0.238,0.331,0.3446,1,f12,N1,dataset
0,0.162,0.275,0.2572,2,"f12,f8",N1,0
1,0.226,0.2813333333333333,0.28640000000000004,2,"f12,f8",N1,1
dataset,0.194,0.2781666666666667,0.2718,2,"f12,f8",N1,dataset
0,0.164,0.23516666666666666,0.2576,3,"f12,f8,f2",N1,0
1,0.178,0.2713333333333333,0.2652,3,"f12,f8,f2",N1,1
dataset,0.171,0.25325,0.26139999999999997,3,"f12,f8,f2",N1,dataset
0,0.102,0.19,0.1748,4,"f12,f8,f2,f9",N1,0
1,0.124,0.1835,0.19640000000000002,4,"f12,f8,f2,f9",N1,1
dataset,0.113,0.18675,0.18560000000000001,4,"f12,f8,f2,f9",N1,dataset
0,0.098,0.1509,0.1336,5,"f12,f8,f2,f9,f7",N1,0
1,0.092,0.17436666666666667,0.174,5,"f12,f8,f2,f9,f7",N1,1
dataset,0.095,0.16263333333333332,0.15380000000000002,5,"f12,f8,f2,f9,f7",N1,dataset
0,0.11,0.14953333333333332,0.136,6,"f12,f8,f2,f9,f7,f14",N1,0
1,0.114,0.17383333333333334,0.18,6,"f12,f8,f2,f9,f7,f14",N1,1
dataset,0.112,0.16168333333333335,0.158,6,"f12,f8,f2,f9,f7,f14",N1,dataset
0,0.07,0.12433333333333332,0.1152,7,"f12,f8,f2,f9,f7,f14,f13",N1,0
1,0.08,0.12626666666666667,0.1484,7,"f12,f8,f2,f9,f7,f14,f13",N1,1
dataset,0.075,0.1253,0.1318,7,"f12,f8,f2,f9,f7,f14,f13",N1,dataset
0,0.086,0.11196666666666667,0.112,8,"f12,f8,f2,f9,f7,f14,f13,f15",N1,0
1,0.07,0.12426666666666666,0.1424,8,"f12,f8,f2,f9,f7,f14,f13,f15",N1,1
dataset,0.078,0.11811666666666668,0.12719999999999998,8,"f12,f8,f2,f9,f7,f14,f13,f15",N1,dataset
0,0.078,0.12026666666666666,0.104,9,"f12,f8,f2,f9,f7,f14,f13,f15,f1",N1,0
1,0.086,0.13140000000000002,0.1424,9,"f12,f8,f2,f9,f7,f14,f13,f15,f1",N1,1
dataset,0.082,0.12583333333333332,0.1232,9,"f12,f8,f2,f9,f7,f14,f13,f15,f1",N1,dataset
0,0.092,0.0997,0.0968,10,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0",N1,0
1,0.096,0.12153333333333333,0.13240000000000002,10,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0",N1,1
dataset,0.094,0.11061666666666665,0.1146,10,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0",N1,dataset
0,0.062,0.08826666666666666,0.088,11,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4",N1,0
1,0.046,0.0727,0.0928,11,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4",N1,1
dataset,0.054,0.08048333333333334,0.09040000000000001,11,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4",N1,dataset
0,0.058,0.08443333333333333,0.0888,12,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10",N1,0
1,0.056,0.08376666666666667,0.0932,12,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10",N1,1
dataset,0.057,0.0841,0.091,12,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10",N1,dataset
0,0.08,0.09823333333333334,0.1032,13,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10,f11",N1,0
1,0.092,0.08753333333333334,0.1124,13,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10,f11",N1,1
dataset,0.086,0.09288333333333333,0.1078,13,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10,f11",N1,dataset
0,0.056,0.054766666666666665,0.066,14,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10,f11,f6",N1,0
1,0.068,0.061233333333333334,0.08760000000000001,14,"f12,f8,f2,f9,f7,f14,f13,f15,f1,f0,f4,f10,f11,f6",N1,1
