,Hostility_importances,Hostility_importances_norm,count_vars,kDN_importances,kDN_importances_norm,count_vars,N1_importances,N1_importances_norm,count_vars
f0,-0.037333333333333274,-0.00045528455284552774,82.0,0.07026666666666642,0.0007984848484848457,88.0,0.10723015873015834,0.000407719234715431,263.0
f1,0.3586666666666667,0.0008321732405259088,431.0,0.2580666666666667,0.0005959969207082372,433.0,0.12165000000000015,0.00035260869565217434,345.0
f10,-0.016999999999999904,-7.142857142857103e-05,238.0,0.09366666666666706,0.00037768817204301237,248.0,0.04664126984126965,0.0002933413197564129,159.0
f100,,,,,,,,,
f101,-0.018666666666666665,-5.058717253839204e-05,369.0,0.05100000000000021,0.00019465648854961914,262.0,0.13314603174603157,0.0008168468205278011,163.0
f102,0.10233333333333333,0.0002966183574879227,345.0,0.027733333333333332,7.703703703703704e-05,360.0,-0.002766666666666695,-7.950191570881308e-06,348.0
f103,,,,,,,,,
f104,,,,,,,,,
f105,,,,,,,,,
f106,,,,,,,,,
f107,,,,,,,,,
f108,,,,,,,,,
f109,,,,,,,,,
f11,0.04033333333333339,0.00015633074935400538,258.0,0.19453333333333328,0.0006060228452751816,321.0,0.1248011904761902,0.001709605348988907,73.0
f110,,,,,,,,,
f111,,,,,,,,,
f112,0.03600000000000014,8.82352941176474e-05,408.0,-0.004666666666666319,-1.9525801952578743e-05,239.0,0.0012888888888886174,5.392840539282918e-06,239.0
f113,-0.03699999999999981,-9.158415841584111e-05,404.0,-0.004466666666666841,-1.5727699530517046e-05,284.0,-0.013084126984127475,-6.608144941478523e-05,198.0
f114,,,,,,,,,
f12,0.21533333333333338,0.0008095238095238097,266.0,0.15380000000000005,0.0012015625000000004,128.0,0.4177441798941801,0.002501462155054971,167.0
f13,0.30199999999999994,0.004950819672131146,61.0,0.319666666666667,0.002010482180293503,159.0,0.30942433862433827,0.007195914851728797,43.0
f14,0.10799999999999993,0.0011489361702127652,94.0,0.11446666666666627,0.001379116465863449,83.0,0.07715119047619062,0.001794213732004433,43.0
f15,-0.02200000000000002,-5.58375634517767e-05,394.0,0.10120000000000007,0.0003057401812688824,331.0,0.052166666666666694,0.00015433925049309672,338.0
f16,0.10266666666666657,0.00043502824858757024,236.0,0.13706666666666684,0.000595942028985508,230.0,0.23963174603174558,0.0008682309638831362,276.0
f17,0.11700000000000008,0.002166666666666668,54.0,0.11833333333333385,0.0017661691542288633,67.0,0.33023015873015865,0.0012414667621434535,266.0
f18,0.5553333333333332,0.001857302118171683,299.0,0.07199999999999984,0.00023920265780730845,301.0,0.28839444444444495,0.0006769822639540961,426.0
f19,0.05066666666666664,0.00020936639118457288,242.0,-0.002866666666666351,-1.2463768115940657e-05,230.0,-0.006905555555555387,-2.2062477813276e-05,313.0
f2,0.03100000000000025,0.00015816326530612373,196.0,0.1955333333333334,0.0008428160919540232,232.0,0.2343485449735448,0.004339787869880459,54.0
f20,0.4096666666666667,0.0010558419243986254,388.0,0.0663999999999999,0.00020685358255451684,321.0,0.1899722222222225,0.0006128136200716854,310.0
f21,0.42233333333333334,0.0024843137254901963,170.0,0.15026666666666655,0.005779487179487175,26.0,0.3218537037037036,0.009195820105820103,35.0
f22,0.49999999999999994,0.0020833333333333333,240.0,0.36519999999999975,0.0012379661016949145,295.0,0.2959944444444446,0.0008087279902853678,366.0
f23,-0.05933333333333338,-0.00022733077905491716,261.0,0.22206666666666652,0.0009101092896174858,244.0,0.1774166666666671,0.000836871069182392,212.0
f24,0.11933333333333324,0.005188405797101445,23.0,0.14600000000000019,0.0013394495412844055,109.0,0.36896164021164013,0.005676332926332925,65.0
f25,-0.15433333333333327,-0.004822916666666665,32.0,-0.017866666666666253,-0.0002205761316872377,81.0,-0.09578055555555515,-0.0005568636950904369,172.0
f26,-0.015000000000000069,-0.00023076923076923182,65.0,-0.00720000000000004,-6.0000000000000334e-05,120.0,-0.07381904761904728,-0.0005235393448159382,141.0
f27,-0.13433333333333344,-0.0005597222222222226,240.0,-0.06373333333333359,-0.0002601360544217697,245.0,-0.040312698412698356,-0.00013527751145200791,298.0
f28,0.005666666666666681,1.4061207609594743e-05,403.0,-0.046466666666666434,-0.00035743589743589564,130.0,-0.009258730158729966,-3.1816942126219813e-05,291.0
f29,-0.16533333333333322,-0.0008350168350168345,198.0,-0.09960000000000024,-0.00036752767527675366,271.0,-0.02777142857142839,-0.00011198156682027577,248.0
f3,-0.017999999999999905,-5.750798722044698e-05,313.0,0.13613333333333327,0.0004986568986568985,273.0,0.08767579365079309,0.000405906452087005,216.0
f30,-0.08833333333333332,-0.0011324786324786323,78.0,-0.02093333333333347,-0.00033227513227513446,63.0,-0.11965793650793655,-0.0011965793650793655,100.0
f31,-0.062333333333333185,-0.0004869791666666655,128.0,-0.06499999999999978,-0.0015476190476190425,42.0,0.017371296296296468,0.0006681267806267872,26.0
f32,-0.03366666666666651,-9.173478655767442e-05,367.0,-0.016199999999999992,-5.664335664335662e-05,286.0,0.03815595238095293,0.00010229477850121429,373.0
f33,0.11266666666666664,0.0005365079365079364,210.0,-0.05793333333333345,-0.00020185830429732908,287.0,-0.13028571428571434,-0.0005190665907797384,251.0
f34,-0.23333333333333334,-0.0025362318840579713,92.0,-0.05213333333333331,-0.000491823899371069,106.0,-0.06241124338624371,-0.00045555652106747235,137.0
f35,-0.16766666666666674,-0.0018424908424908434,91.0,-0.039266666666666616,-0.00021225225225225198,185.0,0.012930423280423375,0.00011862773651764565,109.0
f36,-0.045999999999999874,-0.0010952380952380923,42.0,-0.12099999999999939,-0.000608040201005022,199.0,-0.034925925925926526,-0.00047197197197198007,74.0
f37,-0.10466666666666669,-0.0002883379247015611,363.0,-0.01079999999999981,-0.00011612903225806247,93.0,-0.015455158730158458,-6.838565809804628e-05,226.0
f38,-0.09433333333333332,-0.0007546666666666666,125.0,-0.022333333333333816,-0.00015090090090090415,148.0,-0.06162063492063519,-0.00024355982182069243,253.0
f39,0.055999999999999994,0.00016231884057971014,345.0,-0.09646666666666687,-0.000910062893081763,106.0,0.021538359788359607,0.00022435791446207923,96.0
f4,-0.07200000000000001,-0.00037113402061855674,194.0,-0.0017333333333332535,-5.758582502768284e-06,301.0,-0.06213888888888908,-0.00016885567632850292,368.0
f40,-0.19966666666666671,-0.0015012531328320805,133.0,-0.07100000000000045,-0.0006228070175438636,114.0,-0.008449206349206706,-7.411584516847988e-05,114.0
f41,-0.07866666666666675,-0.002622222222222225,30.0,-0.04840000000000039,-0.0021043478260869735,23.0,-0.10173968253968269,-0.003391322751322756,30.0
f42,-0.026333333333333375,-0.00017555555555555583,150.0,-0.09053333333333369,-0.0003176608187134515,285.0,-0.0569055555555556,-0.0002963831018518521,192.0
f43,-0.09233333333333332,-0.00024298245614035084,380.0,-0.028400000000000536,-0.00023471074380165732,121.0,-0.007172222222221802,-3.7550901687025146e-05,191.0
f44,-0.024999999999999967,-0.00011363636363636349,220.0,0.011933333333333518,3.01346801346806e-05,396.0,-0.003550000000000275,-1.2116040955632339e-05,293.0
f45,0.16566666666666668,0.0010354166666666667,160.0,-0.025599999999999568,-0.0006243902439024285,41.0,-0.09375158730158717,-0.0006048489503328204,155.0
f46,0.0030000000000001137,3.4482758620690964e-05,87.0,-0.11113333333333314,-0.000569914529914529,195.0,0.016459126984126937,8.617343970747088e-05,191.0
f47,-0.17933333333333334,-0.002037878787878788,88.0,-0.11426666666666696,-0.0014464135021097083,79.0,-0.0326567460317459,-0.00036692973069377415,89.0
f48,-0.2760000000000001,-0.000881789137380192,313.0,-0.10006666666666647,-0.00040512820512820434,247.0,-0.12503201058201063,-0.0017610142335494456,71.0
f49,0.10933333333333323,0.002954954954954952,37.0,-0.011933333333332463,-8.229885057470665e-05,145.0,-0.08474523809523832,-0.0012840187590187624,66.0
f5,0.10133333333333339,0.0010666666666666672,95.0,0.1523333333333331,0.0007085271317829446,215.0,0.09839828042328069,0.000855637221072006,115.0
f50,-0.1306666666666666,-0.00035507246376811577,368.0,-0.01100000000000001,-3.4482758620689684e-05,319.0,-0.041627777777777764,-0.00011467707376798282,363.0
f51,-0.11633333333333346,-0.00043407960199005023,268.0,-0.013333333333333586,-4.15368639667713e-05,321.0,-0.028961904761904134,-0.00011584761904761653,250.0
f52,0.09566666666666657,0.00045125786163521965,212.0,-0.11913333333333348,-0.0004708827404479584,253.0,-0.08690079365079362,-0.0005871675246675245,148.0
f53,-0.09333333333333332,-0.000426179604261796,219.0,-0.06553333333333328,-0.00034858156028368765,188.0,-0.04554034391534384,-0.0002232369799771757,204.0
f54,-0.2566666666666666,-0.0017948717948717944,143.0,-0.05426666666666757,-0.00025841269841270274,210.0,-0.10480793650793635,-0.00036774714564188194,285.0
f55,0.39399999999999996,0.0014021352313167259,281.0,0.22153333333333314,0.0006240375586854455,355.0,0.27272222222222237,0.0006852317141261868,398.0
f56,0.3043333333333333,0.003272401433691756,93.0,0.1480666666666668,0.0010211494252873573,145.0,0.22218293650793658,0.000634808390022676,350.0
f57,,,,,,,,,
f58,0.13633333333333342,0.0005203562340966925,262.0,0.1303333333333334,0.00046054181389870464,283.0,0.3285738095238093,0.0009778982426303848,336.0
f59,0.2410000000000001,0.0009563492063492067,252.0,0.15686666666666627,0.00037708333333333235,416.0,0.16883888888888865,0.0005762419416003025,293.0
f6,0.0799999999999999,0.00018779342723004673,426.0,0.031933333333333314,0.00010469945355191251,305.0,0.05638888888888888,0.00013753387533875337,410.0
f60,-0.03300000000000014,-0.00011827956989247362,279.0,0.17253333333333276,0.000780693815987931,221.0,0.11016441798941773,0.0005859809467522219,188.0
f61,-0.021666666666666556,-5.195843325339702e-05,417.0,0.2496000000000001,0.0006638297872340428,376.0,0.038277777777777466,0.00012716869693613777,301.0
f62,0.32833333333333314,0.0014213564213564206,231.0,0.4931333333333335,0.001053703703703704,468.0,0.353094047619048,0.0012933847898133626,273.0
f63,,,,,,,,,
f64,0.10833333333333317,0.00038829151732377483,279.0,0.15766666666666673,0.0008663003663003666,182.0,0.10088253968254002,0.00040678443420379037,248.0
f65,0.03433333333333341,0.0002909604519774018,118.0,0.02139999999999992,0.00017833333333333267,120.0,0.06301150793650839,0.0010163146441372322,62.0
f66,0.13666666666666655,0.004555555555555551,30.0,0.023400000000000254,0.0006882352941176545,34.0,-0.0009658730158730311,-7.545882936508055e-06,128.0
f67,,,,,,,,,
f68,0.07266666666666655,0.0007124183006535936,102.0,0.08939999999999987,0.0005694267515923559,157.0,0.09508928571428588,0.0005560776942355899,171.0
f69,0.5313333333333331,0.003181636726546905,167.0,0.47126666666666645,0.0015502192982456134,304.0,0.24096111111111113,0.0007107997377908883,339.0
f7,0.23133333333333334,0.001502164502164502,154.0,0.22466666666666651,0.0006364494806421147,353.0,0.13492857142857184,0.0004453088165959467,303.0
f70,,,,,,,,,
f71,,,,,,,,,
f72,0.31000000000000016,0.0008423913043478265,368.0,0.38153333333333267,0.0008770881226053624,435.0,0.32621111111111123,0.0009189045383411584,355.0
f73,,,,,,,,,
f74,,,,,,,,,
f75,,,,,,,,,
f76,,,,,,,,,
f77,,,,,,,,,
f78,,,,,,,,,
f79,,,,,,,,,
f8,0.5289999999999999,0.0016793650793650791,315.0,0.1653999999999996,0.0004053921568627441,408.0,0.1845833333333331,0.000349589646464646,528.0
f80,0.24533333333333363,0.0019945799457994602,123.0,0.1819333333333331,0.0030836158192090357,59.0,0.12236428571428543,0.0012115275813295587,101.0
f81,0.258,0.0053750000000000004,48.0,0.2504666666666663,0.006422222222222212,39.0,0.45386362433862426,0.003046064592876673,149.0
f82,,,,,,,,,
f83,,,,,,,,,
f84,0.05366666666666675,0.00013796058269066003,389.0,0.0,0.0,324.0,0.0,0.0,342.0
