,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars
f0,0.9400000000000001,1.3238333333333334,1.1663999999999999,0.005053763440860216,0.007117383512544803,0.006270967741935483,186.0
f1,0.9410000000000003,0.9364499999999998,0.9647999999999999,0.00495263157894737,0.004928684210526314,0.005077894736842105,190.0
f10,-0.08900000000000005,0.13323333333333376,0.14819999999999983,-0.0005297619047619051,0.0007930555555555581,0.0008821428571428562,168.0
f11,0.8009999999999999,1.1928833333333335,1.1415999999999997,0.004577142857142857,0.006816476190476191,0.00652342857142857,175.0
f12,0.1670000000000001,0.1734333333333335,0.08539999999999981,0.0009597701149425292,0.000996743295019158,0.0004908045977011483,174.0
f13,0.14200000000000004,0.048791666666666844,0.07039999999999969,0.0007357512953367878,0.0002528065630397246,0.0003647668393782367,193.0
f14,0.11699999999999985,0.6848619047619048,0.5384,0.0006324324324324316,0.003701956241956242,0.00291027027027027,185.0
f15,-0.1269999999999999,0.2522261904761905,0.21420000000000017,-0.0007470588235294111,0.0014836834733893559,0.001260000000000001,170.0
f16,0.15100000000000016,0.4633964285714285,0.4120000000000003,0.0011268656716417922,0.003458182302771854,0.003074626865671644,134.0
f17,1.083,1.2041523809523809,1.2086,0.006084269662921348,0.00676490101658641,0.006789887640449438,178.0
f18,0.2899999999999998,0.09275476190476184,0.1211999999999997,0.001686046511627906,0.0005392718715393131,0.0007046511627906959,172.0
f19,0.4819999999999998,0.20560714285714332,0.14940000000000003,0.0026629834254143637,0.0011359510655090791,0.0008254143646408841,181.0
f2,0.018000000000000016,0.1689666666666666,0.1362000000000002,0.00010843373493975913,0.0010178714859437746,0.0008204819277108446,166.0
f20,0.13300000000000006,0.3640000000000002,0.26700000000000007,0.0006616915422885575,0.0018109452736318418,0.0013283582089552242,201.0
f21,0.18499999999999997,0.23029999999999984,0.21259999999999973,0.0015163934426229507,0.0018877049180327855,0.00174262295081967,122.0
f22,0.3089999999999999,0.19089285714285703,0.13580000000000036,0.0015927835051546386,0.0009839837997054487,0.0007000000000000018,194.0
f23,0.46300000000000013,0.6857547619047619,0.7241999999999998,0.002374358974358975,0.0035166910866910868,0.003713846153846153,195.0
f24,1.744,2.228741666666666,2.187599999999999,0.009376344086021506,0.011982482078853045,0.01176129032258064,186.0
f25,-0.09699999999999986,-0.10041904761904769,-0.07679999999999998,-0.0009999999999999985,-0.0010352479135984298,-0.0007917525773195874,97.0
f26,-0.025000000000000078,0.003950000000000065,0.06319999999999965,-0.0001282051282051286,2.0256410256410587e-05,0.0003241025641025623,195.0
f27,0.13299999999999992,0.12684166666666652,-0.0400000000000002,0.0008525641025641021,0.0008130876068376059,-0.0002564102564102577,156.0
f28,0.18899999999999997,-0.08335833333333348,-0.1293999999999998,0.0014104477611940297,-0.0006220771144278618,-0.0009656716417910432,134.0
f29,-0.20599999999999988,-0.13436904761904767,-0.2701999999999999,-0.0011135135135135127,-0.0007263191763191766,-0.0014605405405405398,185.0
f3,0.9559999999999997,0.9733619047619045,1.0487999999999997,0.004488262910798121,0.0045697742007601155,0.00492394366197183,213.0
f30,0.3350000000000001,0.505790476190476,0.3646000000000002,0.0019252873563218396,0.0029068418171866437,0.002095402298850576,174.0
f31,0.8059999999999999,0.9845428571428572,0.9273999999999999,0.0059264705882352935,0.007239285714285715,0.006819117647058823,136.0
f32,0.489,0.37308333333333316,0.27739999999999965,0.002397058823529412,0.0018288398692810448,0.0013598039215686258,204.0
f33,0.8770000000000001,1.1621000000000001,1.0083999999999995,0.004872222222222223,0.006456111111111112,0.005602222222222219,180.0
f34,,,,,,,
f35,,,,,,,
f36,,,,,,,
f37,0.11199999999999974,0.03453571428571395,0.062200000000000144,0.0005925925925925912,0.00018272864701435952,0.00032910052910052986,189.0
f38,,,,,,,
f39,-0.006999999999999923,0.015835714285713898,0.03059999999999996,-4.268292682926782e-05,9.655923344947498e-05,0.00018658536585365828,164.0
f4,0.665,1.3456761904761907,1.2056000000000002,0.0048540145985401465,0.009822453945081683,0.008800000000000002,137.0
f40,0.29700000000000004,0.10884999999999995,0.12480000000000019,0.0015076142131979697,0.0005525380710659896,0.000633502538071067,197.0
f41,,,,,,,
f42,0.13,0.3101333333333335,0.2520000000000003,0.0006666666666666666,0.0015904273504273511,0.0012923076923076937,195.0
f43,,,,,,,
f44,0.3539999999999999,0.3390666666666667,0.29539999999999994,0.0020462427745664737,0.001959922928709056,0.0017075144508670516,173.0
f5,0.6480000000000002,0.7975500000000004,0.7052000000000003,0.003600000000000001,0.004430833333333336,0.00391777777777778,180.0
f6,0.18799999999999992,0.4704119047619048,0.4208000000000001,0.0009740932642487043,0.002437367382186035,0.002180310880829016,193.0
f7,0.4660000000000001,0.6685000000000001,0.6086000000000001,0.003915966386554622,0.00561764705882353,0.005114285714285715,119.0
f8,0.6850000000000002,1.282547619047619,1.1321999999999999,0.005756302521008404,0.010777711084433773,0.009514285714285713,119.0
f9,0.5920000000000001,1.0215809523809523,0.9629999999999996,0.003051546391752578,0.00526588119783996,0.004963917525773194,194.0
