,Hostility_importances,Hostility_importances_norm,count_vars,kDN_importances,kDN_importances_norm,count_vars,N1_importances,N1_importances_norm,count_vars
f0,0.11800000000000002,0.0005728155339805826,206.0,0.8427,0.0030643636363636363,275.0,0.6516583333333339,0.0033418376068376095,195.0
f1,0.8340000000000001,0.0024314868804664724,343.0,0.5341999999999999,0.0023637168141592917,226.0,0.8118928571428572,0.005204441391941392,156.0
f10,-0.2115000000000001,-0.006409090909090912,33.0,-0.23610000000000028,-0.003372857142857147,70.0,-0.28039999999999987,-0.0023366666666666657,120.0
f11,-0.38750000000000007,-0.012109375000000002,32.0,-0.2273999999999997,-0.007335483870967733,31.0,-0.15640000000000018,-0.0026965517241379342,58.0
f12,-0.2565,-0.0021375,120.0,-0.31730000000000025,-0.002666386554621851,119.0,-0.29467738095238055,-0.0024762805122048787,119.0
f13,-0.308,-0.0020952380952380953,147.0,-0.15839999999999996,-0.0029333333333333325,54.0,-0.1126297619047622,-0.0016810412224591374,67.0
f14,-0.14150000000000001,-0.000982638888888889,144.0,-0.35430000000000006,-0.003107894736842106,114.0,-0.20054285714285747,-0.001061073318216177,189.0
f15,-0.19549999999999998,-0.0012218749999999999,160.0,-0.4439999999999998,-0.004188679245283017,106.0,-0.39709047619047616,-0.00426979006656426,93.0
f16,-0.274,-0.0032619047619047623,84.0,-0.33039999999999975,-0.002002424242424241,165.0,-0.2512934523809526,-0.006980373677248682,36.0
f17,-0.22800000000000004,-0.004560000000000001,50.0,-0.27440000000000014,-0.0016333333333333343,168.0,-0.3271779761904764,-0.0021524866854636606,152.0
f18,-0.269,-0.0015730994152046785,171.0,-0.29430000000000023,-0.0030978947368421076,95.0,-0.22450833333333367,-0.0018866246498599468,119.0
f19,-0.3234999999999998,-0.004976923076923073,65.0,-0.27720000000000017,-0.006446511627906981,43.0,-0.3653543650793651,-0.008118985890652557,45.0
f2,0.13349999999999998,0.0003598382749326145,371.0,0.12799999999999995,0.0004830188679245281,265.0,0.13808333333333372,0.0004197061803444794,329.0
f20,-0.24750000000000003,-0.0030182926829268298,82.0,-0.21040000000000025,-0.0018785714285714308,112.0,-0.3944041666666663,-0.005800061274509798,68.0
f21,-0.32799999999999996,-0.0015619047619047617,210.0,-0.17290000000000025,-0.0019000000000000028,91.0,-0.2911345238095234,-0.004281390056022403,68.0
