,Hostility_importances,Hostility_importances_norm,count_vars,kDN_importances,kDN_importances_norm,count_vars,N1_importances,N1_importances_norm,count_vars
f0,0.21599999999999997,0.0008503937007874015,254.0,0.4961333333333333,0.002711111111111111,183.0,0.36450198412698426,0.0019285819265978004,189.0
f1,0.4653333333333334,0.012245614035087721,38.0,0.5624666666666668,0.01004404761904762,56.0,0.4522857142857143,0.00665126050420168,68.0
f10,0.601,0.0021013986013986015,286.0,0.2673333333333334,0.0009756690997566914,274.0,0.11080555555555577,0.0003398943421949563,326.0
f11,0.3713333333333333,0.00238034188034188,156.0,0.25366666666666693,0.001761574074074076,144.0,0.5728107142857144,0.002821727656579874,203.0
f12,0.45633333333333337,0.013828282828282829,33.0,0.4178666666666663,0.004137293729372934,101.0,0.587274603174603,0.0031238010807159732,188.0
f13,0.4936666666666668,0.0061708333333333355,80.0,0.4635333333333337,0.005208239700374536,89.0,0.4470382275132273,0.0036051469960744135,124.0
f14,0.3719999999999999,0.0011411042944785273,326.0,0.31333333333333396,0.0010375275938189867,302.0,0.1152500000000003,0.00028669154228855797,402.0
f15,0.10133333333333339,0.003619047619047621,28.0,0.26193333333333335,0.004595321637426901,57.0,0.35286746031746036,0.00360068837058633,98.0
f16,0.07733333333333314,0.0002732626619552408,283.0,0.2997999999999998,0.0010823104693140787,277.0,0.8456055555555559,0.002202097800925927,384.0
f17,0.49999999999999983,0.003968253968253967,126.0,0.8784000000000001,0.003008219178082192,292.0,1.0014246031746032,0.004933126124012824,203.0
f18,0.48300000000000004,0.0014040697674418607,344.0,0.5800666666666667,0.002086570743405276,278.0,0.6354515873015879,0.0021912123700054756,290.0
f19,0.9103333333333331,0.0029365591397849454,310.0,0.464533333333333,0.0015693693693693684,296.0,0.6606277777777779,0.0023678414974113906,279.0
f2,0.4250000000000002,0.0007769652650822673,547.0,0.2582666666666666,0.0009425790754257904,274.0,0.5461833333333337,0.0014149827288428335,386.0
f20,-0.18699999999999983,-0.0009689119170984447,193.0,-0.10160000000000002,-0.0008000000000000001,127.0,-0.15680899470899462,-0.005058354668032085,31.0
f21,-0.18766666666666673,-0.0014776902887139113,127.0,-0.1700666666666662,-0.001269154228855718,134.0,-0.1476519841269841,-0.001135784493284493,130.0
f22,-0.16100000000000012,-0.000745370370370371,216.0,-0.13619999999999988,-0.002269999999999998,60.0,-0.23333015873015844,-0.0013645038522231488,171.0
f23,-0.15633333333333352,-0.0005684848484848492,275.0,-0.15926666666666678,-0.0007884488448844891,202.0,-0.21155198412698356,-0.0012019999098124067,176.0
f24,-0.11133333333333337,-0.0006747474747474749,165.0,-0.1307333333333332,-0.0010293963254593165,127.0,-0.15377539682539687,-0.0015853133693339884,97.0
f25,-0.017666666666666553,-0.00025603864734299354,69.0,-0.08286666666666676,-0.0006184079601990057,134.0,-0.2761500000000002,-0.0008822683706070293,313.0
f26,-0.1039999999999999,-0.0006227544910179635,167.0,-0.21093333333333314,-0.0010761904761904752,196.0,-0.039015343915343836,-0.000619291173259426,63.0
f27,-0.07733333333333345,-0.002343434343434347,33.0,-0.17213333333333358,-0.0019340823970037482,89.0,-0.08326428571428557,-0.0009681893687707625,86.0
f28,-0.10466666666666663,-0.00041370223978919615,253.0,-0.21186666666666643,-0.0007230944254835031,293.0,-0.11639285714285713,-0.0006502394253790901,179.0
f29,-0.17666666666666667,-0.0008922558922558922,198.0,-0.17066666666666647,-0.003631205673758861,47.0,-0.19105039682539698,-0.0020324510300574147,94.0
f3,0.3403333333333331,0.001597809076682315,213.0,0.3019333333333332,0.0009834961997828443,307.0,0.5827158730158727,0.0016939414913252112,344.0
f30,-0.025333333333333263,-0.00013843351548269544,183.0,-0.16513333333333374,-0.001108277404921703,149.0,-0.1704210317460318,-0.002400296221775096,71.0
f31,-0.1453333333333335,-0.0007609075043630027,191.0,-0.15246666666666686,-0.0013374269005847971,114.0,-0.1664928571428575,-0.0012242121848739522,136.0
f32,-0.14166666666666652,-0.0012108262108262097,117.0,-0.09613333333333313,-0.0032044444444444377,30.0,-0.04233214285714282,-0.0004233214285714282,100.0
f33,-0.08300000000000005,-0.00202439024390244,41.0,-0.15186666666666643,-0.0008164874551971314,186.0,-0.07979007936507942,-0.00035462257495590853,225.0
f34,0.034333333333333244,0.0001716666666666662,200.0,-0.17533333333333329,-0.002369369369369369,74.0,-0.08632116402116408,-0.0026975363756613774,32.0
f35,-0.08400000000000007,-0.0005250000000000005,160.0,-0.16539999999999982,-0.001164788732394365,142.0,-0.23184801587301618,-0.004932936507936515,47.0
f36,-0.15533333333333346,-0.0005753086419753091,270.0,-0.22973333333333346,-0.0009415300546448093,244.0,-0.09389761904761873,-0.0003848263075722079,244.0
f37,-0.07733333333333331,-0.0014320987654320983,54.0,-0.18833333333333369,-0.00553921568627452,34.0,-0.269957142857143,-0.0033744642857142875,80.0
f38,-0.3053333333333331,-0.0023307888040712452,131.0,-0.1514666666666667,-0.004454901960784315,34.0,-0.09197314814814855,-0.0020438477366255233,45.0
f39,-0.1529999999999998,-0.0006169354838709669,248.0,-0.13660000000000028,-0.001276635514018694,107.0,-0.07301944444444403,-0.0014603888888888804,50.0
f4,0.09733333333333333,0.0002652134423251589,367.0,0.13460000000000005,0.0003348258706467663,402.0,0.1775833333333336,0.0008456349206349219,210.0
f40,,,,,,,,,
f41,,,,,,,,,
f42,,,,,,,,,
f43,,,,,,,,,
f44,0.32899999999999996,0.0028119658119658115,117.0,0.5122666666666666,0.0029957115009746588,171.0,0.3387055555555557,0.0021993867243867253,154.0
f45,0.1569999999999999,0.0005114006514657977,307.0,0.7527333333333339,0.003287045123726349,229.0,0.9234626984126983,0.003458661791807859,267.0
f46,0.0016666666666666496,4.105090311986822e-06,406.0,0.0,0.0,392.0,0.0,0.0,392.0
f47,,,,,,,,,
f48,,,,,,,,,
f49,0.26433333333333325,0.0030383141762452097,87.0,0.3218,0.0012052434456928838,267.0,0.046927777777777735,0.0002651286880100437,177.0
f5,0.018666666666666637,9.475465313028749e-05,197.0,0.2510666666666667,0.0010331961591220852,243.0,0.5364182539682538,0.0023947243480725616,224.0
f50,,,,,,,,,
f51,,,,,,,,,
f52,0.5086666666666668,0.003139917695473252,162.0,0.24913333333333304,0.0009693904020752259,257.0,0.7057261904761905,0.001842627129180654,383.0
f53,0.46333333333333326,0.0036482939632545928,127.0,0.6738666666666667,0.0034033670033670037,198.0,0.9249547619047624,0.003822127115308936,242.0
f54,,,,,,,,,
f55,0.3033333333333335,0.0009691160809371678,313.0,0.25346666666666684,0.0006687774846086197,379.0,0.31938888888888894,0.0010646296296296298,300.0
f56,,,,,,,,,
f57,0.2953333333333332,0.002983164983164982,99.0,0.4514666666666666,0.0029316017316017313,154.0,0.2937563492063494,0.0011212074397188908,262.0
f58,0.3729999999999999,0.0013133802816901405,284.0,0.41619999999999996,0.0013254777070063693,314.0,0.5126134920634918,0.0012004999814133298,427.0
f59,0.059,0.00015733333333333333,375.0,0.0729333333333334,0.0001870085470085472,390.0,0.1727222222222225,0.000570040337367071,303.0
f6,0.337,0.0009387186629526463,359.0,0.5464666666666669,0.0017800217155266023,307.0,0.17059444444444455,0.0006742863416776464,253.0
