dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset4,all,LogReg,0.9528,0.95279580671398,0.962,0.9436
ArtificialDataset4,all,SVM-linear,0.9528,0.9527866724427164,0.9692,0.9364
ArtificialDataset4,all,SVM-rbf,0.9834,0.9833998480767062,0.9864,0.9804
ArtificialDataset4,all,RandomForest,0.9742,0.9741993379013011,0.9792,0.9692
ArtificialDataset4,all,KNN,0.9628,0.9627977681752076,0.9552,0.9704
ArtificialDataset4,all,NaiveBayes,0.9202,0.9201916705151449,0.93,0.9104
ArtificialDataset4,all,DecisionTree,0.9148,0.9147987929518546,0.9184,0.9112
ArtificialDataset4,all,XGBoost,0.9812,0.9811998497827377,0.984,0.9784
ArtificialDataset4,informative,LogReg,0.9524,0.9523950015751339,0.9624,0.9424
ArtificialDataset4,informative,SVM-linear,0.9544,0.9543871458159457,0.9708,0.938
ArtificialDataset4,informative,SVM-rbf,0.9922,0.9921999745292456,0.994,0.9904
ArtificialDataset4,informative,RandomForest,0.9774,0.9773999546796719,0.9788,0.976
ArtificialDataset4,informative,KNN,0.9888,0.9887999836892967,0.9876,0.99
ArtificialDataset4,informative,NaiveBayes,0.9258,0.9257994582030001,0.9232,0.9284
ArtificialDataset4,informative,DecisionTree,0.9156,0.9155900286342258,0.9052,0.926
ArtificialDataset4,informative,XGBoost,0.984,0.9839999895934892,0.9848,0.9832
ArtificialDataset4,informative+redundant,LogReg,0.9522,0.95219477666936,0.9624,0.942
ArtificialDataset4,informative+redundant,SVM-linear,0.9546,0.9545868908062335,0.9712,0.938
ArtificialDataset4,informative+redundant,SVM-rbf,0.9926,0.9925999973161385,0.9932,0.992
ArtificialDataset4,informative+redundant,RandomForest,0.9756,0.9755994237502288,0.9804,0.9708
ArtificialDataset4,informative+redundant,KNN,0.99,0.99,0.99,0.99
ArtificialDataset4,informative+redundant,NaiveBayes,0.9178,0.9177809045299734,0.9324,0.9032
ArtificialDataset4,informative+redundant,DecisionTree,0.9228,0.9227991433281617,0.926,0.9196
ArtificialDataset4,informative+redundant,XGBoost,0.9836,0.9835998692791532,0.9864,0.9808
ArtificialDataset4,informative+redundant_nonLinear,LogReg,0.9518,0.9517938716731167,0.9628,0.9408
ArtificialDataset4,informative+redundant_nonLinear,SVM-linear,0.9538,0.9537859972249926,0.9708,0.9368
ArtificialDataset4,informative+redundant_nonLinear,SVM-rbf,0.9912,0.9911999644873465,0.9932,0.9892
ArtificialDataset4,informative+redundant_nonLinear,RandomForest,0.977,0.9769999764585224,0.978,0.976
ArtificialDataset4,informative+redundant_nonLinear,KNN,0.9868,0.9867999914389892,0.986,0.9876
ArtificialDataset4,informative+redundant_nonLinear,NaiveBayes,0.9002,0.9001737005052342,0.8848,0.9156
ArtificialDataset4,informative+redundant_nonLinear,DecisionTree,0.917,0.9169999094873603,0.918,0.916
ArtificialDataset4,informative+redundant_nonLinear,XGBoost,0.9838,0.9837999835332216,0.9848,0.9828
ArtificialDataset4,informative+noise,LogReg,0.9532,0.953195089707271,0.9632,0.9432
ArtificialDataset4,informative+noise,SVM-linear,0.9538,0.9537839498800149,0.972,0.9356
ArtificialDataset4,informative+noise,SVM-rbf,0.983,0.9829994956920595,0.9884,0.9776
ArtificialDataset4,informative+noise,RandomForest,0.9738,0.9737999730950636,0.9748,0.9728
ArtificialDataset4,informative+noise,KNN,0.96,0.9599943925473554,0.9484,0.9716
ArtificialDataset4,informative+noise,NaiveBayes,0.9258,0.9257999198530134,0.9248,0.9268
ArtificialDataset4,informative+noise,DecisionTree,0.9086,0.9085998994055684,0.9096,0.9076
ArtificialDataset4,informative+noise,XGBoost,0.9826,0.9825999822918607,0.9836,0.9816
ArtificialDataset4,informative+rand_extra,LogReg,0.9516,0.9515949132947977,0.9616,0.9416
ArtificialDataset4,informative+rand_extra,SVM-linear,0.9546,0.9545875151345821,0.9708,0.9384
ArtificialDataset4,informative+rand_extra,SVM-rbf,0.99,0.9899999595957963,0.992,0.988
ArtificialDataset4,informative+rand_extra,RandomForest,0.977,0.9769998408586739,0.9796,0.9744
