dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset12,all,LogReg,0.7963333333333333,0.7840289500359464,0.6961018297533811,0.8686173264486517
ArtificialDataset12,all,SVM-linear,0.8016666666666666,0.7880426096602415,0.6857597454256166,0.8852553069420539
ArtificialDataset12,all,SVM-rbf,0.872,0.8661010767960998,0.8066825775656324,0.919104991394148
ArtificialDataset12,all,RandomForest,0.843,0.833771642213241,0.7478122513922036,0.9116465863453815
ArtificialDataset12,all,KNN,0.827,0.8193048837424367,0.7629276054097056,0.8732071141709696
ArtificialDataset12,all,NaiveBayes,0.7106666666666667,0.6889671140560587,0.5823389021479713,0.8032128514056225
ArtificialDataset12,all,DecisionTree,0.692,0.6806738692547152,0.6388225934765315,0.7303499713138267
ArtificialDataset12,all,XGBoost,0.8446666666666667,0.8368908983318959,0.7684964200477327,0.8995983935742972
ArtificialDataset12,informative,LogReg,0.81,0.7986890297075752,0.7120127287191726,0.8806655192197361
ArtificialDataset12,informative,SVM-linear,0.8113333333333334,0.7981740136831774,0.6937151949085123,0.8961560527825588
ArtificialDataset12,informative,SVM-rbf,0.8863333333333333,0.8816645804727287,0.8345266507557677,0.9236947791164659
ArtificialDataset12,informative,RandomForest,0.8546666666666667,0.8467065684334316,0.7684964200477327,0.9168100975329891
ArtificialDataset12,informative,KNN,0.86,0.8537755224866691,0.7979315831344471,0.9047619047619048
ArtificialDataset12,informative,NaiveBayes,0.7416666666666667,0.726574002176467,0.6435958631662689,0.8123924268502581
ArtificialDataset12,informative,DecisionTree,0.7123333333333334,0.7024703963665925,0.6666666666666666,0.7452667814113597
ArtificialDataset12,informative,XGBoost,0.85,0.8429502953766209,0.781225139220366,0.8995983935742972
ArtificialDataset12,informative+redundant,LogReg,0.8083333333333333,0.7967842839031585,0.7088305489260143,0.8800917957544464
ArtificialDataset12,informative+redundant,SVM-linear,0.8123333333333334,0.7993822516669392,0.6961018297533811,0.8961560527825588
ArtificialDataset12,informative+redundant,SVM-rbf,0.884,0.8791689447785676,0.8305489260143198,0.9225473321858864
ArtificialDataset12,informative+redundant,RandomForest,0.856,0.8478605388272584,0.766109785202864,0.9208261617900172
ArtificialDataset12,informative+redundant,KNN,0.8543333333333333,0.8476927242244408,0.7891805887032617,0.9013195639701663
ArtificialDataset12,informative+redundant,NaiveBayes,0.7363333333333333,0.7254296979288104,0.6746221161495625,0.780837636259323
ArtificialDataset12,informative+redundant,DecisionTree,0.711,0.7000652479495065,0.6563245823389021,0.7504302925989673
ArtificialDataset12,informative+redundant,XGBoost,0.8566666666666667,0.8499851491949344,0.7891805887032617,0.9053356282271945
ArtificialDataset12,informative+redundant_nonLinear,LogReg,0.806,0.7943131054295952,0.7064439140811456,0.8777969018932874
ArtificialDataset12,informative+redundant_nonLinear,SVM-linear,0.8053333333333333,0.7909577566788017,0.6801909307875895,0.8955823293172691
ArtificialDataset12,informative+redundant_nonLinear,SVM-rbf,0.8786666666666667,0.8733917052977599,0.8202068416865553,0.9208261617900172
ArtificialDataset12,informative+redundant_nonLinear,RandomForest,0.8376666666666667,0.82873592316458,0.7501988862370724,0.9007458405048766
ArtificialDataset12,informative+redundant_nonLinear,KNN,0.843,0.8357944111658128,0.7764518695306285,0.8909925415949512
ArtificialDataset12,informative+redundant_nonLinear,NaiveBayes,0.6933333333333334,0.6586748249852311,0.5107398568019093,0.8250143430866322
ArtificialDataset12,informative+redundant_nonLinear,DecisionTree,0.699,0.6889428820787967,0.654733492442323,0.7309236947791165
ArtificialDataset12,informative+redundant_nonLinear,XGBoost,0.8463333333333334,0.8391044396562093,0.7772474144789181,0.8961560527825588
ArtificialDataset12,informative+noise,LogReg,0.803,0.7920458185437383,0.7128082736674622,0.868043602983362
ArtificialDataset12,informative+noise,SVM-linear,0.81,0.796806528010215,0.6929196499602227,0.8944348823866897
ArtificialDataset12,informative+noise,SVM-rbf,0.866,0.8590953465668727,0.7875894988066826,0.9225473321858864
ArtificialDataset12,informative+noise,RandomForest,0.838,0.827419063223911,0.7295147175815434,0.9162363740676994
ArtificialDataset12,informative+noise,KNN,0.7886666666666666,0.7762336028794012,0.6913285600636436,0.8588640275387264
ArtificialDataset12,informative+noise,NaiveBayes,0.738,0.7228796247401904,0.6412092283214001,0.8078026391279404
ArtificialDataset12,informative+noise,DecisionTree,0.6913333333333334,0.6793609537477485,0.6332537788385044,0.7332185886402753
ArtificialDataset12,informative+noise,XGBoost,0.8416666666666667,0.8339586432945042,0.7684964200477327,0.8944348823866897
ArtificialDataset12,informative+rand_extra,LogReg,0.808,0.7966157394162469,0.7104216388225935,0.8783706253585771
ArtificialDataset12,informative+rand_extra,SVM-linear,0.8116666666666666,0.7984956175149421,0.6937151949085123,0.8967297762478486
ArtificialDataset12,informative+rand_extra,SVM-rbf,0.8846666666666667,0.8798316173849501,0.8305489260143198,0.9236947791164659
ArtificialDataset12,informative+rand_extra,RandomForest,0.857,0.8487935456160767,0.7653142402545744,0.9231210556511761
ArtificialDataset12,informative+rand_extra,KNN,0.8576666666666667,0.8509209102816538,0.7883850437549722,0.9076305220883534
ArtificialDataset12,informative+rand_extra,NaiveBayes,0.7363333333333333,0.7216633939811579,0.6435958631662689,0.8032128514056225
ArtificialDataset12,informative+rand_extra,DecisionTree,0.7156666666666667,0.7059649715444171,0.6706443914081146,0.7481353987378083
ArtificialDataset12,informative+rand_extra,XGBoost,0.8503333333333334,0.8432265788530345,0.7804295942720764,0.9007458405048766
ArtificialDataset12,mutual_info_top25,LogReg,0.764,0.7476216900868708,0.6459824980111376,0.8491107286288009
ArtificialDataset12,mutual_info_top25,SVM-linear,0.7636666666666667,0.7440959451741863,0.6229116945107399,0.8651749856569134
ArtificialDataset12,mutual_info_top25,SVM-rbf,0.8366666666666667,0.827760150933588,0.7501988862370724,0.8990246701090074
ArtificialDataset12,mutual_info_top25,RandomForest,0.8146666666666667,0.8050297319959435,0.7326968973747017,0.8737808376362594
ArtificialDataset12,mutual_info_top25,KNN,0.794,0.7802798183103437,0.6817820206841687,0.8749282845668388
ArtificialDataset12,mutual_info_top25,NaiveBayes,0.718,0.6918903016366834,0.5624502784407319,0.8301778542742398
ArtificialDataset12,mutual_info_top25,DecisionTree,0.6926666666666667,0.681965314771865,0.6443914081145584,0.7274813539873781
ArtificialDataset12,mutual_info_top25,XGBoost,0.81,0.8006747500051807,0.7342879872712809,0.8646012621916236
ArtificialDataset12,f_classif_top25,LogReg,0.7596666666666667,0.7426158011087283,0.6388225934765315,0.846815834767642
ArtificialDataset12,f_classif_top25,SVM-linear,0.761,0.741369903963544,0.6213206046141607,0.861732644865175
ArtificialDataset12,f_classif_top25,SVM-rbf,0.828,0.817252838564672,0.7247414478918058,0.9024670109007459
ArtificialDataset12,f_classif_top25,RandomForest,0.8083333333333333,0.7985982510492391,0.7287191726332538,0.8657487091222031
ArtificialDataset12,f_classif_top25,KNN,0.7793333333333333,0.766008282314694,0.6785998408910103,0.8519793459552496
ArtificialDataset12,f_classif_top25,NaiveBayes,0.7206666666666667,0.7100195651116159,0.665871121718377,0.7601835915088927
ArtificialDataset12,f_classif_top25,DecisionTree,0.6863333333333334,0.6746486533776849,0.6316626889419252,0.7257601835915088
ArtificialDataset12,f_classif_top25,XGBoost,0.7973333333333333,0.7870744522606473,0.7175815433571997,0.8548479632816982
ArtificialDataset12,rf_top25,LogReg,0.7586666666666667,0.7420076454054919,0.6412092283214001,0.8433734939759037
ArtificialDataset12,rf_top25,SVM-linear,0.761,0.7412518369826394,0.6205250596658711,0.8623063683304647
ArtificialDataset12,rf_top25,SVM-rbf,0.828,0.8175267400919439,0.7279236276849642,0.9001721170395869
ArtificialDataset12,rf_top25,RandomForest,0.816,0.8065818198682124,0.7358790771678599,0.8737808376362594
ArtificialDataset12,rf_top25,KNN,0.787,0.7752305940940558,0.6968973747016707,0.8519793459552496
ArtificialDataset12,rf_top25,NaiveBayes,0.709,0.6705473923975083,0.5027844073190135,0.8577165806081469
ArtificialDataset12,rf_top25,DecisionTree,0.693,0.6808645110170604,0.6332537788385044,0.7360872059667241
ArtificialDataset12,rf_top25,XGBoost,0.8053333333333333,0.7957209440238694,0.7287191726332538,0.8605851979345955
ArtificialDataset12,relief_top25,LogReg,0.7746666666666666,0.7572109262377572,0.6428003182179793,0.8697647733792312
ArtificialDataset12,relief_top25,SVM-linear,0.7793333333333333,0.7577808729401085,0.6157517899761337,0.8973034997131383
ArtificialDataset12,relief_top25,SVM-rbf,0.85,0.841681424671263,0.762132060461416,0.9133677567412507
ArtificialDataset12,relief_top25,RandomForest,0.8226666666666667,0.8126893113688396,0.7319013524264121,0.8881239242685026
ArtificialDataset12,relief_top25,KNN,0.8196666666666667,0.8103823955047742,0.7390612569610183,0.8777969018932874
ArtificialDataset12,relief_top25,NaiveBayes,0.7146666666666667,0.7010111699843409,0.6372315035799523,0.7705106138841079
ArtificialDataset12,relief_top25,DecisionTree,0.6973333333333334,0.6869617723214521,0.6507557677008751,0.7309236947791165
ArtificialDataset12,relief_top25,XGBoost,0.8156666666666667,0.8068459106286701,0.7430389817024662,0.868043602983362
ArtificialDataset12,xgb_top25,LogReg,0.7883333333333333,0.7764142761965379,0.6961018297533811,0.8548479632816982
ArtificialDataset12,xgb_top25,SVM-linear,0.7886666666666666,0.7737539335495579,0.6690533015115354,0.8749282845668388
ArtificialDataset12,xgb_top25,SVM-rbf,0.863,0.8565946535070584,0.7955449482895783,0.9116465863453815
ArtificialDataset12,xgb_top25,RandomForest,0.8433333333333334,0.8348615342225895,0.7581543357199682,0.9047619047619048
ArtificialDataset12,xgb_top25,KNN,0.8326666666666667,0.8239239528777433,0.750994431185362,0.891566265060241
ArtificialDataset12,xgb_top25,NaiveBayes,0.709,0.6446434944860416,0.4184566428003182,0.9185312679288583
ArtificialDataset12,xgb_top25,DecisionTree,0.709,0.6982400664600517,0.6563245823389021,0.7469879518072289
ArtificialDataset12,xgb_top25,XGBoost,0.8403333333333334,0.8323812265596772,0.7645186953062848,0.8950086058519794
ArtificialDataset12,complexity_Hostility_top25,LogReg,0.753,0.7372691399825245,0.645186953062848,0.8307515777395296
ArtificialDataset12,complexity_Hostility_top25,SVM-linear,0.752,0.7351604629087312,0.6364359586316627,0.8353413654618473
ArtificialDataset12,complexity_Hostility_top25,SVM-rbf,0.8353333333333334,0.8263389961372629,0.7486077963404932,0.897877223178428
ArtificialDataset12,complexity_Hostility_top25,RandomForest,0.8223333333333334,0.8122317248761538,0.7303102625298329,0.8886976477337923
ArtificialDataset12,complexity_Hostility_top25,KNN,0.7916666666666666,0.7790016464982172,0.690533015115354,0.8646012621916236
ArtificialDataset12,complexity_Hostility_top25,NaiveBayes,0.6786666666666666,0.6075609202094817,0.3914081145584726,0.8858290304073436
ArtificialDataset12,complexity_Hostility_top25,DecisionTree,0.7033333333333334,0.6925112850110426,0.6515513126491647,0.7406769936890418
ArtificialDataset12,complexity_Hostility_top25,XGBoost,0.8193333333333334,0.8105720733735403,0.745425616547335,0.8726333907056799
ArtificialDataset12,complexity_N1_top25,LogReg,0.7713333333333333,0.7557255244486216,0.6555290373906125,0.8548479632816982
ArtificialDataset12,complexity_N1_top25,SVM-linear,0.7686666666666667,0.7494740150932621,0.6276849642004774,0.8703384968445209
ArtificialDataset12,complexity_N1_top25,SVM-rbf,0.834,0.8244185784341356,0.7406523468575974,0.9013195639701663
ArtificialDataset12,complexity_N1_top25,RandomForest,0.816,0.8061116965226552,0.7303102625298329,0.8777969018932874
ArtificialDataset12,complexity_N1_top25,KNN,0.8013333333333333,0.789528731823,0.7032617342879872,0.8720596672403901
ArtificialDataset12,complexity_N1_top25,NaiveBayes,0.707,0.7043458969003369,0.7486077963404932,0.6769936890418818
ArtificialDataset12,complexity_N1_top25,DecisionTree,0.7096666666666667,0.6996736080890388,0.6634844868735084,0.7429718875502008
ArtificialDataset12,complexity_N1_top25,XGBoost,0.8113333333333334,0.8024181774060585,0.7398568019093079,0.8628800917957544
ArtificialDataset12,complexity_kDN_top25,LogReg,0.7626666666666667,0.7467918747388737,0.649164677804296,0.8445209409064831
ArtificialDataset12,complexity_kDN_top25,SVM-linear,0.7653333333333333,0.747139095523673,0.6332537788385044,0.8605851979345955
ArtificialDataset12,complexity_kDN_top25,SVM-rbf,0.8226666666666667,0.8123503992307513,0.7279236276849642,0.8909925415949512
ArtificialDataset12,complexity_kDN_top25,RandomForest,0.8093333333333333,0.7987828589543204,0.7199681782020684,0.8737808376362594
ArtificialDataset12,complexity_kDN_top25,KNN,0.78,0.766816143497758,0.6801909307875895,0.8519793459552496
ArtificialDataset12,complexity_kDN_top25,NaiveBayes,0.718,0.6893489550659255,0.5497215592680986,0.8393574297188755
ArtificialDataset12,complexity_kDN_top25,DecisionTree,0.6896666666666667,0.6775473403383593,0.6308671439936356,0.7320711417096959
ArtificialDataset12,complexity_kDN_top25,XGBoost,0.798,0.7875634557904891,0.7159904534606205,0.8571428571428571
