dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset5,all,LogReg,0.968,0.9679998677680486,0.966,0.97
ArtificialDataset5,all,SVM-linear,0.9658,0.9657999305941852,0.9644,0.9672
ArtificialDataset5,all,SVM-rbf,0.997,0.99699999891675,0.9964,0.9976
ArtificialDataset5,all,RandomForest,0.9848,0.984799841947991,0.988,0.9816
ArtificialDataset5,all,KNN,0.9818,0.9817994594339348,0.9872,0.9764
ArtificialDataset5,all,NaiveBayes,0.8756,0.874208977705773,0.974,0.7772
ArtificialDataset5,all,DecisionTree,0.8868,0.8867999795759998,0.8872,0.8864
ArtificialDataset5,all,XGBoost,0.9894,0.9893999961431156,0.99,0.9888
ArtificialDataset5,informative,LogReg,0.969,0.9689998963464027,0.9672,0.9708
ArtificialDataset5,informative,SVM-linear,0.9676,0.9675997374761698,0.9648,0.9704
ArtificialDataset5,informative,SVM-rbf,0.998,0.997999998717434,0.9972,0.9988
ArtificialDataset5,informative,RandomForest,0.9894,0.9893999790013733,0.9908,0.988
ArtificialDataset5,informative,KNN,0.9946,0.9945999980454446,0.994,0.9952
ArtificialDataset5,informative,NaiveBayes,0.9294,0.9293748290492514,0.9476,0.9112
ArtificialDataset5,informative,DecisionTree,0.8952,0.8951999812689869,0.8948,0.8956
ArtificialDataset5,informative,XGBoost,0.9904,0.9903999984491112,0.99,0.9908
ArtificialDataset5,informative+redundant,LogReg,0.9688,0.9687999175555212,0.9672,0.9704
ArtificialDataset5,informative+redundant,SVM-linear,0.9674,0.9673997721960513,0.9648,0.97
ArtificialDataset5,informative+redundant,SVM-rbf,0.998,0.998,0.998,0.998
ArtificialDataset5,informative+redundant,RandomForest,0.9866,0.9865996604414262,0.9916,0.9816
ArtificialDataset5,informative+redundant,KNN,0.9932,0.9931999956182009,0.994,0.9924
ArtificialDataset5,informative+redundant,NaiveBayes,0.9176,0.9175315375152764,0.9452,0.89
ArtificialDataset5,informative+redundant,DecisionTree,0.8954,0.8953983131021233,0.8916,0.8992
ArtificialDataset5,informative+redundant,XGBoost,0.9908,0.9907999940573234,0.9916,0.99
ArtificialDataset5,informative+redundant_nonLinear,LogReg,0.9686,0.968599998703283,0.9684,0.9688
ArtificialDataset5,informative+redundant_nonLinear,SVM-linear,0.9664,0.9663995493979306,0.9628,0.97
ArtificialDataset5,informative+redundant_nonLinear,SVM-rbf,0.9978,0.9977999992062534,0.9972,0.9984
ArtificialDataset5,informative+redundant_nonLinear,RandomForest,0.9866,0.986599908185059,0.9892,0.984
ArtificialDataset5,informative+redundant_nonLinear,KNN,0.9936,0.9935999958776142,0.9944,0.9928
ArtificialDataset5,informative+redundant_nonLinear,NaiveBayes,0.8758,0.8742890049390641,0.9784,0.7732
