Dataset,Subset,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,F2,F3,F4,L1,n_features,acc_mean,acc_max,acc_std,gps_mean,gps_max,gps_std
ArtificialDataset19,all,0.23,0.2772,0.423168,0.6592,0.3517677133077929,0.22399579831932775,0.49275555715547237,0.9886861079832815,0.9847333333333333,0.6188212117919693,0.8644845578691047,0.9990927194825461,0.9196319622014819,300.0,0.708,0.792,0.06802520541261578,0.5002472604437436,0.7025652877282181,0.19193255652279667
ArtificialDataset19,informative,0.126,0.22080000000000005,0.423168,0.6522,0.32326673719502436,0.17602141192141194,0.4883012694498916,0.9849834532511405,0.98428,0.6345333932281898,0.8690583266388751,0.9983074189950191,0.7419764852277497,150.0,0.75175,0.874,0.08005310737254362,0.6045081591318493,0.8313826366559485,0.1811044193371226
ArtificialDataset19,informative+redundant,0.186,0.2368,0.423168,0.6612,0.33174552700998117,0.19805122655122653,0.48939362649849794,0.9851678912914862,0.98448,0.6299429070413344,0.8693432978324133,0.998701924069611,0.7889029630373595,200.0,0.7315,0.824,0.0692469700213869,0.566808824964331,0.7418840414625811,0.1707726767355842
ArtificialDataset19,informative+redundant_nonLinear,0.22,0.24680000000000002,0.423168,0.6214545454545455,0.3564504770337839,0.208431191031191,0.49022558547916606,0.9868788671107125,0.98459,0.6282982006500866,0.8616600787437193,0.9985584493744293,0.7958251864195917,200.0,0.71325,0.794,0.04886058885090459,0.5192575254376529,0.6936430043079229,0.16461200813319135
ArtificialDataset19,informative+noise,0.208,0.26039999999999996,0.423168,0.6487999999999999,0.33746372420371196,0.2251046208177787,0.4921034647705201,0.9877610931923584,0.98445,0.6276661330652533,0.8693109501858376,0.9987663390875566,0.7786624938739773,200.0,0.722,0.838,0.06443601477434806,0.5306077310211952,0.7744182491309464,0.2046983919443379
ArtificialDataset19,informative+rand_extra,0.128,0.2272,0.423168,0.6522,0.32576163155295584,0.19214329004329003,0.4887250210448986,0.9854605034639388,0.9842222222222223,0.6343869133729426,0.868863756796321,0.9983357028878254,0.7443372799422905,153.0,0.752,0.878,0.07501618872902416,0.5976732605993728,0.8369867600060872,0.19129024851926701
ArtificialDataset19,mutual_info_top150,0.232,0.30760000000000004,0.423168,0.6883076923076924,0.3705345225024306,0.27686288711288715,0.4926054782526957,0.9895905490772372,0.98412,0.6348855043398867,0.86518032973525,0.9982847250738569,1.1755779114522156,150.0,0.6890000000000001,0.764,0.05910764997624494,0.4831833567909914,0.6183234546994073,0.11783492489544961
ArtificialDataset19,f_classif_top150,0.232,0.2856,0.423168,0.4842666666666667,0.3394827841071824,0.25441780967570443,0.4907492383921,0.9886998492280091,0.984,0.6343272746676903,0.8621368438411109,0.9981640894455042,0.9317135209842394,150.0,0.7255,0.784,0.06337868050738472,0.5689227319184201,0.6735973507776661,0.1390989854236566
ArtificialDataset19,rf_top150,0.218,0.2724,0.423168,0.5843529411764706,0.3321735174697165,0.21961272037141602,0.48956432031818636,0.9852706070958261,0.98516,0.6369528453705086,0.8660689902942117,0.998251067929268,0.8659310391363535,150.0,0.72725,0.78,0.05146913083170758,0.5614204457763456,0.6734270600395894,0.12720231107065316
ArtificialDataset19,relief_top150,0.222,0.2644,0.423168,0.609,0.347450435899469,0.23526242812742815,0.48715059415331474,0.9801394736339867,0.9852266666666667,0.6403158613456879,0.8665179015273787,0.9983034987208252,0.7951222713766911,150.0,0.7255,0.804,0.053374686349028234,0.5543783559638267,0.6786623164763458,0.14117188017961177
ArtificialDataset19,xgb_top150,0.25,0.31320000000000003,0.423168,0.6602,0.3608209266430657,0.27516551912140147,0.4927529056442901,0.9901732923640666,0.9849600000000001,0.6382182488497385,0.8636191270852757,0.9980373970770002,0.817979135400479,150.0,0.7142499999999999,0.756,0.040531293025090065,0.5318223642814364,0.64769104911281,0.13855211205377435
ArtificialDataset19,complexity_Hostility_top150,0.266,0.29120000000000007,0.423168,0.5921666666666666,0.37158520951674195,0.24707718000953297,0.49159170237639893,0.9877891100635534,0.98516,0.6347550031792075,0.8632818444108777,0.9982147209964314,0.7896841842414157,150.0,0.7015,0.776,0.05038990828670813,0.5085197108532411,0.64739865632404,0.13918919476111294
ArtificialDataset19,complexity_N1_top150,0.24,0.32439999999999997,0.423168,0.7092,0.36998490234728687,0.2948833178173735,0.49394819219887554,0.9914618775884116,0.9836800000000001,0.6339336484610483,0.8624548375065105,0.9981717579041276,1.302350031665802,150.0,0.68775,0.744,0.051530157605591924,0.4900823386213058,0.6263536206409491,0.13166938201070574
ArtificialDataset19,complexity_kDN_top150,0.246,0.29960000000000003,0.423168,0.7121818181818181,0.36812325732055506,0.2920828009155595,0.49286639876439253,0.989755253163349,0.9846933333333334,0.6358530637710614,0.8647792161124328,0.9982466356230195,1.2286718107279821,150.0,0.69575,0.762,0.05839214722154733,0.4969355092485507,0.6356879414387993,0.1692746493564367
