dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset6,all,LogReg,0.9979,0.9978999924030189,0.996,0.9998
ArtificialDataset6,all,SVM-linear,0.9985,0.9984999974611873,0.9972,0.9998
ArtificialDataset6,all,SVM-rbf,0.9979,0.9978999907194699,0.9958,1.0
ArtificialDataset6,all,RandomForest,0.9958,0.9957999669328587,0.993,0.9986
ArtificialDataset6,all,KNN,0.9782,0.9781945751705311,0.9626,0.9938
ArtificialDataset6,all,NaiveBayes,0.8506,0.8474756353999635,0.9826,0.7186
ArtificialDataset6,all,DecisionTree,0.9842,0.9841998914765966,0.9816,0.9868
ArtificialDataset6,all,XGBoost,0.9971,0.9970999895005135,0.9952,0.999
ArtificialDataset6,informative,LogReg,0.9978,0.997799989328471,0.9956,1.0
ArtificialDataset6,informative,SVM-linear,0.9984,0.9983999958974256,0.9968,1.0
ArtificialDataset6,informative,SVM-rbf,0.9989,0.9988999986675328,0.9978,1.0
ArtificialDataset6,informative,RandomForest,0.9972,0.9971999864098817,0.995,0.9994
ArtificialDataset6,informative,KNN,0.998,0.997999993506993,0.9962,0.9998
ArtificialDataset6,informative,NaiveBayes,0.9688,0.9687798590130916,0.9438,0.9938
ArtificialDataset6,informative,DecisionTree,0.9802,0.9801999927280121,0.9796,0.9808
ArtificialDataset6,informative,XGBoost,0.9971,0.9970999915946,0.9954,0.9988
ArtificialDataset6,informative+redundant,LogReg,0.9979,0.9978999907194699,0.9958,1.0
ArtificialDataset6,informative+redundant,SVM-linear,0.9985,0.9984999966199223,0.997,1.0
ArtificialDataset6,informative+redundant,SVM-rbf,0.9989,0.9988999986675328,0.9978,1.0
ArtificialDataset6,informative+redundant,RandomForest,0.9957,0.9956999529702599,0.9924,0.999
ArtificialDataset6,informative+redundant,KNN,0.996,0.99599994795113,0.9924,0.9996
ArtificialDataset6,informative+redundant,NaiveBayes,0.9408,0.9407561111599,0.9144,0.9672
ArtificialDataset6,informative+redundant,DecisionTree,0.9848,0.9847999901218458,0.984,0.9856
ArtificialDataset6,informative+redundant,XGBoost,0.9973,0.9972999856782555,0.995,0.9996
ArtificialDataset6,informative+redundant_nonLinear,LogReg,0.9979,0.9978999924030189,0.996,0.9998
ArtificialDataset6,informative+redundant_nonLinear,SVM-linear,0.9983,0.9982999961684778,0.9968,0.9998
ArtificialDataset6,informative+redundant_nonLinear,SVM-rbf,0.9988,0.9987999982699214,0.9976,1.0
ArtificialDataset6,informative+redundant_nonLinear,RandomForest,0.9973,0.9972999880607112,0.9952,0.9994
ArtificialDataset6,informative+redundant_nonLinear,KNN,0.9969,0.9968999773305595,0.9942,0.9996
ArtificialDataset6,informative+redundant_nonLinear,NaiveBayes,0.7599,0.7427790100769611,0.9848,0.535
ArtificialDataset6,informative+redundant_nonLinear,DecisionTree,0.9843,0.9842999730437412,0.983,0.9856
ArtificialDataset6,informative+redundant_nonLinear,XGBoost,0.9972,0.9971999887685069,0.9952,0.9992
ArtificialDataset6,informative+noise,LogReg,0.9978,0.997799991180562,0.9958,0.9998
ArtificialDataset6,informative+noise,SVM-linear,0.9985,0.9984999974611873,0.9972,0.9998
ArtificialDataset6,informative+noise,SVM-rbf,0.9975,0.9974999867417843,0.9952,0.9998
ArtificialDataset6,informative+noise,RandomForest,0.9955,0.9954999446251347,0.992,0.999
ArtificialDataset6,informative+noise,KNN,0.9768,0.9767942185104594,0.9612,0.9924
ArtificialDataset6,informative+noise,NaiveBayes,0.9701,0.9700820878027178,0.946,0.9942
ArtificialDataset6,informative+noise,DecisionTree,0.9747,0.9746999997404329,0.9746,0.9748
ArtificialDataset6,informative+noise,XGBoost,0.9966,0.9965999769374314,0.994,0.9992
