dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset18,all,LogReg,0.604,0.5129667035902783,0.38285714285714284,0.7230769230769231
ArtificialDataset18,all,SVM-linear,0.568,0.48666108786610873,0.38285714285714284,0.6676923076923077
ArtificialDataset18,all,SVM-rbf,0.658,0.18487662817485037,0.05714285714285714,0.9815384615384616
ArtificialDataset18,all,RandomForest,0.654,0.21090513453571577,0.06857142857142857,0.9692307692307692
ArtificialDataset18,all,KNN,0.64,0.4878907500266724,0.2914285714285714,0.8276923076923077
ArtificialDataset18,all,NaiveBayes,0.642,0.3916528146869806,0.18285714285714286,0.8892307692307693
ArtificialDataset18,all,DecisionTree,0.528,0.46347008370362713,0.3942857142857143,0.6
ArtificialDataset18,all,XGBoost,0.614,0.39708979903332486,0.2057142857142857,0.8338461538461538
ArtificialDataset18,informative,LogReg,0.65,0.5341894692012219,0.35428571428571426,0.8092307692307692
ArtificialDataset18,informative,SVM-linear,0.642,0.5081365188881947,0.32,0.8153846153846154
ArtificialDataset18,informative,SVM-rbf,0.68,0.39873557628542383,0.1657142857142857,0.9569230769230769
ArtificialDataset18,informative,RandomForest,0.656,0.27265226135836207,0.09714285714285714,0.9569230769230769
ArtificialDataset18,informative,KNN,0.634,0.5184810126582278,0.3485714285714286,0.7876923076923077
ArtificialDataset18,informative,NaiveBayes,0.612,0.5047882812239313,0.35428571428571426,0.7507692307692307
ArtificialDataset18,informative,DecisionTree,0.536,0.4642032332563511,0.38285714285714284,0.6184615384615385
ArtificialDataset18,informative,XGBoost,0.62,0.44746716697936206,0.2571428571428571,0.8153846153846154
ArtificialDataset18,informative+redundant,LogReg,0.646,0.5340245005746144,0.36,0.8
ArtificialDataset18,informative+redundant,SVM-linear,0.644,0.5263140495867769,0.3485714285714286,0.803076923076923
ArtificialDataset18,informative+redundant,SVM-rbf,0.672,0.36077212194329733,0.14285714285714285,0.9569230769230769
ArtificialDataset18,informative+redundant,RandomForest,0.658,0.34230000350717216,0.13714285714285715,0.9384615384615385
ArtificialDataset18,informative+redundant,KNN,0.632,0.4736956443028351,0.28,0.8215384615384616
ArtificialDataset18,informative+redundant,NaiveBayes,0.606,0.527083878021534,0.4114285714285714,0.7107692307692308
ArtificialDataset18,informative+redundant,DecisionTree,0.548,0.482136883655583,0.4057142857142857,0.6246153846153846
ArtificialDataset18,informative+redundant,XGBoost,0.65,0.4744064836292059,0.26285714285714284,0.8584615384615385
ArtificialDataset18,informative+redundant_nonLinear,LogReg,0.61,0.5062635419520333,0.36,0.7446153846153846
ArtificialDataset18,informative+redundant_nonLinear,SVM-linear,0.608,0.4824902723735408,0.32,0.7630769230769231
ArtificialDataset18,informative+redundant_nonLinear,SVM-rbf,0.664,0.2989794379367553,0.10857142857142857,0.963076923076923
ArtificialDataset18,informative+redundant_nonLinear,RandomForest,0.646,0.19362755469047518,0.06285714285714286,0.96
ArtificialDataset18,informative+redundant_nonLinear,KNN,0.658,0.5436893203883496,0.36,0.8184615384615385
ArtificialDataset18,informative+redundant_nonLinear,NaiveBayes,0.64,0.3694995402600814,0.1657142857142857,0.8953846153846153
ArtificialDataset18,informative+redundant_nonLinear,DecisionTree,0.544,0.47463657619192845,0.3942857142857143,0.6246153846153846
ArtificialDataset18,informative+redundant_nonLinear,XGBoost,0.632,0.47779853427216556,0.2857142857142857,0.8184615384615385
ArtificialDataset18,informative+noise,LogReg,0.606,0.5090029694581767,0.37142857142857144,0.7323076923076923
ArtificialDataset18,informative+noise,SVM-linear,0.592,0.4870714552682545,0.3485714285714286,0.7230769230769231
ArtificialDataset18,informative+noise,SVM-rbf,0.664,0.2989794379367553,0.10857142857142857,0.963076923076923
ArtificialDataset18,informative+noise,RandomForest,0.632,0.07906741003547899,0.022857142857142857,0.96
ArtificialDataset18,informative+noise,KNN,0.646,0.5278986614257756,0.3485714285714286,0.8061538461538461
ArtificialDataset18,informative+noise,NaiveBayes,0.618,0.5288242760999209,0.3942857142857143,0.7384615384615385
ArtificialDataset18,informative+noise,DecisionTree,0.558,0.4820791089533058,0.38857142857142857,0.6492307692307693
ArtificialDataset18,informative+noise,XGBoost,0.636,0.45451460885956646,0.25142857142857145,0.8430769230769231
ArtificialDataset18,informative+rand_extra,LogReg,0.658,0.5375377103353035,0.3485714285714286,0.8246153846153846
ArtificialDataset18,informative+rand_extra,SVM-linear,0.65,0.5213307635984143,0.3314285714285714,0.8215384615384616
ArtificialDataset18,informative+rand_extra,SVM-rbf,0.678,0.3817162276975361,0.15428571428571428,0.96
ArtificialDataset18,informative+rand_extra,RandomForest,0.652,0.29144598780853403,0.10857142857142857,0.9446153846153846
ArtificialDataset18,informative+rand_extra,KNN,0.626,0.5059632833931209,0.33714285714285713,0.7815384615384615
ArtificialDataset18,informative+rand_extra,NaiveBayes,0.612,0.5077611940298508,0.36,0.7476923076923077
ArtificialDataset18,informative+rand_extra,DecisionTree,0.544,0.4672164948453609,0.37714285714285717,0.6338461538461538
ArtificialDataset18,informative+rand_extra,XGBoost,0.642,0.49335602366613474,0.29714285714285715,0.8276923076923077
ArtificialDataset18,mutual_info_top70,LogReg,0.644,0.5353912000259394,0.3657142857142857,0.7938461538461539
ArtificialDataset18,mutual_info_top70,SVM-linear,0.636,0.531959629941127,0.37142857142857144,0.7784615384615384
ArtificialDataset18,mutual_info_top70,SVM-rbf,0.662,0.3535977998359121,0.14285714285714285,0.9415384615384615
ArtificialDataset18,mutual_info_top70,RandomForest,0.652,0.3014629821191074,0.11428571428571428,0.9415384615384615
ArtificialDataset18,mutual_info_top70,KNN,0.638,0.48635809662755425,0.2914285714285714,0.8246153846153846
ArtificialDataset18,mutual_info_top70,NaiveBayes,0.37,0.1489594742606791,0.9714285714285714,0.046153846153846156
ArtificialDataset18,mutual_info_top70,DecisionTree,0.562,0.4849215317011927,0.38857142857142857,0.6553846153846153
ArtificialDataset18,mutual_info_top70,XGBoost,0.62,0.4332396751472229,0.24,0.8246153846153846
ArtificialDataset18,f_classif_top70,LogReg,0.662,0.5738792610931251,0.41714285714285715,0.7938461538461539
ArtificialDataset18,f_classif_top70,SVM-linear,0.654,0.5572746695466391,0.3942857142857143,0.7938461538461539
ArtificialDataset18,f_classif_top70,SVM-rbf,0.666,0.42864041261263114,0.2,0.916923076923077
ArtificialDataset18,f_classif_top70,RandomForest,0.664,0.4077471967380224,0.18285714285714286,0.9230769230769231
ArtificialDataset18,f_classif_top70,KNN,0.662,0.534350001248637,0.33714285714285713,0.8369230769230769
ArtificialDataset18,f_classif_top70,NaiveBayes,0.654,0.21090513453571577,0.06857142857142857,0.9692307692307692
ArtificialDataset18,f_classif_top70,DecisionTree,0.6,0.5176848874598071,0.4,0.7076923076923077
ArtificialDataset18,f_classif_top70,XGBoost,0.636,0.4962924281984334,0.30857142857142855,0.8123076923076923
ArtificialDataset18,rf_top70,LogReg,0.636,0.5347738014854828,0.37714285714285717,0.7753846153846153
