dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset2,all,LogReg,0.883,0.8829776027348384,0.87,0.896
ArtificialDataset2,all,SVM-linear,0.876,0.8759314507102098,0.854,0.898
ArtificialDataset2,all,SVM-rbf,0.963,0.9629953504022832,0.952,0.974
ArtificialDataset2,all,RandomForest,0.921,0.9209999142235767,0.922,0.92
ArtificialDataset2,all,KNN,0.939,0.9389983758886021,0.944,0.934
ArtificialDataset2,all,NaiveBayes,0.827,0.8269646396905775,0.84,0.814
ArtificialDataset2,all,DecisionTree,0.826,0.825978932074101,0.836,0.816
ArtificialDataset2,all,XGBoost,0.931,0.930996368229907,0.924,0.938
ArtificialDataset2,informative,LogReg,0.883,0.8829892662860354,0.874,0.892
ArtificialDataset2,informative,SVM-linear,0.878,0.8779443938012762,0.858,0.898
ArtificialDataset2,informative,SVM-rbf,0.977,0.9769988464109253,0.97,0.984
ArtificialDataset2,informative,RandomForest,0.934,0.934,0.934,0.934
ArtificialDataset2,informative,KNN,0.958,0.9579984216525881,0.964,0.952
ArtificialDataset2,informative,NaiveBayes,0.839,0.8389952024792156,0.844,0.834
ArtificialDataset2,informative,DecisionTree,0.812,0.8119990738870636,0.814,0.81
ArtificialDataset2,informative,XGBoost,0.946,0.9459997716692248,0.944,0.948
ArtificialDataset2,informative+redundant,LogReg,0.881,0.8809836538275972,0.87,0.892
ArtificialDataset2,informative+redundant,SVM-linear,0.877,0.8769493485916097,0.858,0.896
ArtificialDataset2,informative+redundant,SVM-rbf,0.971,0.9709975806426694,0.962,0.98
ArtificialDataset2,informative+redundant,RandomForest,0.924,0.9239917740015152,0.934,0.914
ArtificialDataset2,informative+redundant,KNN,0.954,0.953999807127074,0.956,0.952
ArtificialDataset2,informative+redundant,NaiveBayes,0.821,0.8209369680679313,0.838,0.804
ArtificialDataset2,informative+redundant,DecisionTree,0.812,0.8119666541849786,0.8,0.824
ArtificialDataset2,informative+redundant,XGBoost,0.937,0.9369999327640691,0.936,0.938
ArtificialDataset2,informative+redundant_nonLinear,LogReg,0.879,0.8789833412790612,0.868,0.89
ArtificialDataset2,informative+redundant_nonLinear,SVM-linear,0.876,0.8759433531292827,0.856,0.896
ArtificialDataset2,informative+redundant_nonLinear,SVM-rbf,0.971,0.9709985364863932,0.964,0.978
ArtificialDataset2,informative+redundant_nonLinear,RandomForest,0.941,0.9409999373006771,0.94,0.942
ArtificialDataset2,informative+redundant_nonLinear,KNN,0.948,0.9479991223480565,0.952,0.944
ArtificialDataset2,informative+redundant_nonLinear,NaiveBayes,0.833,0.8329981956587765,0.83,0.836
ArtificialDataset2,informative+redundant_nonLinear,DecisionTree,0.823,0.8229739730871731,0.812,0.834
ArtificialDataset2,informative+redundant_nonLinear,XGBoost,0.936,0.9359997264945578,0.934,0.938
ArtificialDataset2,informative+noise,LogReg,0.886,0.8859917646421412,0.878,0.894
ArtificialDataset2,informative+noise,SVM-linear,0.88,0.8799650807507637,0.864,0.896
ArtificialDataset2,informative+noise,SVM-rbf,0.965,0.9649982227076814,0.958,0.972
ArtificialDataset2,informative+noise,RandomForest,0.923,0.9229959120256654,0.93,0.916
ArtificialDataset2,informative+noise,KNN,0.939,0.9389890193229666,0.926,0.952
ArtificialDataset2,informative+noise,NaiveBayes,0.832,0.8319927304546831,0.838,0.826
ArtificialDataset2,informative+noise,DecisionTree,0.815,0.8149943249792937,0.81,0.82
ArtificialDataset2,informative+noise,XGBoost,0.941,0.940998432476952,0.936,0.946
ArtificialDataset2,informative+rand_extra,LogReg,0.88,0.8799863620866009,0.87,0.89
ArtificialDataset2,informative+rand_extra,SVM-linear,0.88,0.879933963680024,0.858,0.902
ArtificialDataset2,informative+rand_extra,SVM-rbf,0.963,0.9629935056100187,0.95,0.976
ArtificialDataset2,informative+rand_extra,RandomForest,0.925,0.924997972918187,0.93,0.92
ArtificialDataset2,informative+rand_extra,KNN,0.934,0.9339997173435431,0.932,0.936
ArtificialDataset2,informative+rand_extra,NaiveBayes,0.814,0.8139917735919524,0.82,0.808
ArtificialDataset2,informative+rand_extra,DecisionTree,0.811,0.8109997669540899,0.81,0.812
ArtificialDataset2,informative+rand_extra,XGBoost,0.941,0.9409994357012978,0.944,0.938
ArtificialDataset2,mutual_info_top10,LogReg,0.821,0.8209736148689393,0.832,0.81
ArtificialDataset2,mutual_info_top10,SVM-linear,0.828,0.8279168680521991,0.848,0.808
ArtificialDataset2,mutual_info_top10,SVM-rbf,0.909,0.9089269612263301,0.936,0.882
ArtificialDataset2,mutual_info_top10,RandomForest,0.898,0.8979927299941198,0.906,0.89
ArtificialDataset2,mutual_info_top10,KNN,0.881,0.8806748015875275,0.93,0.832
ArtificialDataset2,mutual_info_top10,NaiveBayes,0.802,0.8017775558606914,0.832,0.772
ArtificialDataset2,mutual_info_top10,DecisionTree,0.815,0.8149997730058565,0.816,0.814
ArtificialDataset2,mutual_info_top10,XGBoost,0.894,0.8939767555302952,0.908,0.88
ArtificialDataset2,f_classif_top10,LogReg,0.826,0.825978932074101,0.836,0.816
ArtificialDataset2,f_classif_top10,SVM-linear,0.82,0.8199121522693996,0.84,0.8
ArtificialDataset2,f_classif_top10,SVM-rbf,0.898,0.8978685256298755,0.932,0.864
ArtificialDataset2,f_classif_top10,RandomForest,0.882,0.8819737719493221,0.896,0.868
ArtificialDataset2,f_classif_top10,KNN,0.865,0.8647860023551724,0.902,0.828
ArtificialDataset2,f_classif_top10,NaiveBayes,0.805,0.80498037690749,0.814,0.796
ArtificialDataset2,f_classif_top10,DecisionTree,0.796,0.7959989748692203,0.798,0.794
ArtificialDataset2,f_classif_top10,XGBoost,0.885,0.8849780353536437,0.898,0.872
ArtificialDataset2,rf_top10,LogReg,0.835,0.834999802394973,0.834,0.836
ArtificialDataset2,rf_top10,SVM-linear,0.843,0.8429178253392344,0.822,0.864
ArtificialDataset2,rf_top10,SVM-rbf,0.933,0.9329964810584909,0.94,0.926
ArtificialDataset2,rf_top10,RandomForest,0.906,0.9059995849871302,0.908,0.904
ArtificialDataset2,rf_top10,KNN,0.925,0.9249817523181314,0.94,0.91
ArtificialDataset2,rf_top10,NaiveBayes,0.825,0.8248452268732007,0.852,0.798
ArtificialDataset2,rf_top10,DecisionTree,0.806,0.806,0.806,0.806
ArtificialDataset2,rf_top10,XGBoost,0.915,0.9149991639262025,0.912,0.918
ArtificialDataset2,relief_top10,LogReg,0.835,0.834999802394973,0.834,0.836
ArtificialDataset2,relief_top10,SVM-linear,0.843,0.8429178253392344,0.822,0.864
ArtificialDataset2,relief_top10,SVM-rbf,0.933,0.9329964810584909,0.94,0.926
ArtificialDataset2,relief_top10,RandomForest,0.912,0.9119984561132651,0.916,0.908
ArtificialDataset2,relief_top10,KNN,0.925,0.9249817523181314,0.94,0.91
ArtificialDataset2,relief_top10,NaiveBayes,0.825,0.8248452268732007,0.852,0.798
ArtificialDataset2,relief_top10,DecisionTree,0.811,0.8109941736798297,0.806,0.816
ArtificialDataset2,relief_top10,XGBoost,0.92,0.9199986086714552,0.916,0.924
ArtificialDataset2,xgb_top10,LogReg,0.852,0.8519659452174443,0.838,0.866
ArtificialDataset2,xgb_top10,SVM-linear,0.867,0.8667662646927308,0.828,0.906
ArtificialDataset2,xgb_top10,SVM-rbf,0.94,0.9399977020396525,0.946,0.934
ArtificialDataset2,xgb_top10,RandomForest,0.92,0.9199996521724008,0.922,0.918
ArtificialDataset2,xgb_top10,KNN,0.917,0.9169600647639704,0.938,0.896
ArtificialDataset2,xgb_top10,NaiveBayes,0.839,0.8389982729254546,0.836,0.842
ArtificialDataset2,xgb_top10,DecisionTree,0.813,0.8129813671472802,0.804,0.822
ArtificialDataset2,xgb_top10,XGBoost,0.931,0.9309993329688472,0.934,0.928
ArtificialDataset2,complexity_Hostility_top10,LogReg,0.844,0.8439815143974404,0.854,0.834
ArtificialDataset2,complexity_Hostility_top10,SVM-linear,0.843,0.8429178253392344,0.864,0.822
ArtificialDataset2,complexity_Hostility_top10,SVM-rbf,0.941,0.9409924124143487,0.952,0.93
ArtificialDataset2,complexity_Hostility_top10,RandomForest,0.904,0.9039983008548823,0.9,0.908
ArtificialDataset2,complexity_Hostility_top10,KNN,0.921,0.9209978555335377,0.926,0.916
ArtificialDataset2,complexity_Hostility_top10,NaiveBayes,0.797,0.796979366786336,0.806,0.788
ArtificialDataset2,complexity_Hostility_top10,DecisionTree,0.828,0.828,0.828,0.828
ArtificialDataset2,complexity_Hostility_top10,XGBoost,0.915,0.914995447843655,0.922,0.908
ArtificialDataset2,complexity_N1_top10,LogReg,0.802,0.8019990124639026,0.804,0.8
ArtificialDataset2,complexity_N1_top10,SVM-linear,0.794,0.7939626330216059,0.806,0.782
ArtificialDataset2,complexity_N1_top10,SVM-rbf,0.879,0.8789767315900325,0.892,0.866
ArtificialDataset2,complexity_N1_top10,RandomForest,0.855,0.8549984736681439,0.852,0.858
ArtificialDataset2,complexity_N1_top10,KNN,0.845,0.8446276579969749,0.89,0.8
ArtificialDataset2,complexity_N1_top10,NaiveBayes,0.804,0.803780351139335,0.834,0.774
ArtificialDataset2,complexity_N1_top10,DecisionTree,0.77,0.7698804573804573,0.79,0.75
ArtificialDataset2,complexity_N1_top10,XGBoost,0.865,0.864981112964935,0.876,0.854
ArtificialDataset2,complexity_kDN_top10,LogReg,0.821,0.8209736148689393,0.832,0.81
ArtificialDataset2,complexity_kDN_top10,SVM-linear,0.828,0.8279168680521991,0.848,0.808
ArtificialDataset2,complexity_kDN_top10,SVM-rbf,0.909,0.9089269612263301,0.936,0.882
ArtificialDataset2,complexity_kDN_top10,RandomForest,0.898,0.8979886401603742,0.908,0.888
ArtificialDataset2,complexity_kDN_top10,KNN,0.881,0.8806748015875275,0.93,0.832
ArtificialDataset2,complexity_kDN_top10,NaiveBayes,0.802,0.8017775558606914,0.832,0.772
ArtificialDataset2,complexity_kDN_top10,DecisionTree,0.819,0.8189820971304853,0.828,0.81
ArtificialDataset2,complexity_kDN_top10,XGBoost,0.883,0.8829776027348384,0.896,0.87
