dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset19,all,LogReg,0.71,0.628851187171482,0.5197368421052632,0.7931034482758621
ArtificialDataset19,all,SVM-linear,0.688,0.6073059360730595,0.5131578947368421,0.764367816091954
ArtificialDataset19,all,SVM-rbf,0.754,0.5014889431191477,0.2236842105263158,0.985632183908046
ArtificialDataset19,all,RandomForest,0.714,0.19704619449818336,0.05921052631578947,1.0
ArtificialDataset19,all,KNN,0.846,0.798659833962824,0.6578947368421053,0.9281609195402298
ArtificialDataset19,all,NaiveBayes,0.602,0.5665115538540588,0.625,0.5919540229885057
ArtificialDataset19,all,DecisionTree,0.614,0.4761138471604523,0.34868421052631576,0.7298850574712644
ArtificialDataset19,all,XGBoost,0.732,0.49819923058033877,0.24342105263157895,0.9454022988505747
ArtificialDataset19,informative,LogReg,0.772,0.7077389017294972,0.5921052631578947,0.8505747126436781
ArtificialDataset19,informative,SVM-linear,0.744,0.6807209526874799,0.5921052631578947,0.8103448275862069
ArtificialDataset19,informative,SVM-rbf,0.81,0.6940868721724404,0.42105263157894735,0.9798850574712644
ArtificialDataset19,informative,RandomForest,0.718,0.24758082497212924,0.07894736842105263,0.9971264367816092
ArtificialDataset19,informative,KNN,0.874,0.8313826366559485,0.6644736842105263,0.9655172413793104
ArtificialDataset19,informative,NaiveBayes,0.732,0.6230284396617987,0.4473684210526316,0.8563218390804598
ArtificialDataset19,informative,DecisionTree,0.596,0.4436393212318384,0.3157894736842105,0.7183908045977011
ArtificialDataset19,informative,XGBoost,0.768,0.607887323943662,0.34210526315789475,0.9540229885057471
ArtificialDataset19,informative+redundant,LogReg,0.77,0.7104297608225036,0.6118421052631579,0.8390804597701149
ArtificialDataset19,informative+redundant,SVM-linear,0.744,0.6790596101480143,0.5855263157894737,0.8132183908045977
ArtificialDataset19,informative+redundant,SVM-rbf,0.808,0.6862135922330097,0.40789473684210525,0.9827586206896551
ArtificialDataset19,informative+redundant,RandomForest,0.716,0.24624873969515448,0.07894736842105263,0.9942528735632183
ArtificialDataset19,informative+redundant,KNN,0.868,0.8234510983457016,0.6578947368421053,0.9597701149425287
ArtificialDataset19,informative+redundant,NaiveBayes,0.712,0.609696674381776,0.4605263157894737,0.8218390804597702
ArtificialDataset19,informative+redundant,DecisionTree,0.616,0.48486009965504023,0.3618421052631579,0.7270114942528736
ArtificialDataset19,informative+redundant,XGBoost,0.746,0.5450826362946674,0.28289473684210525,0.9482758620689655
ArtificialDataset19,informative+redundant_nonLinear,LogReg,0.742,0.6754771995253432,0.5789473684210527,0.8132183908045977
ArtificialDataset19,informative+redundant_nonLinear,SVM-linear,0.71,0.6478439635769064,0.5855263157894737,0.764367816091954
ArtificialDataset19,informative+redundant_nonLinear,SVM-rbf,0.774,0.5846653560133345,0.29605263157894735,0.9827586206896551
ArtificialDataset19,informative+redundant_nonLinear,RandomForest,0.698,0.09481440766759992,0.02631578947368421,0.9913793103448276
ArtificialDataset19,informative+redundant_nonLinear,KNN,0.846,0.7915789473684212,0.618421052631579,0.9454022988505747
ArtificialDataset19,informative+redundant_nonLinear,NaiveBayes,0.582,0.5491248489521169,0.618421052631579,0.5660919540229885
ArtificialDataset19,informative+redundant_nonLinear,DecisionTree,0.594,0.43806097435945235,0.3092105263157895,0.7183908045977011
ArtificialDataset19,informative+redundant_nonLinear,XGBoost,0.746,0.5594993444238834,0.3026315789473684,0.9396551724137931
ArtificialDataset19,informative+noise,LogReg,0.722,0.6418318474792827,0.5263157894736842,0.8074712643678161
ArtificialDataset19,informative+noise,SVM-linear,0.69,0.6046239953863558,0.5,0.7729885057471264
ArtificialDataset19,informative+noise,SVM-rbf,0.762,0.5228427998610804,0.23684210526315788,0.9913793103448276
ArtificialDataset19,informative+noise,RandomForest,0.702,0.07394422310756972,0.019736842105263157,1.0
ArtificialDataset19,informative+noise,KNN,0.838,0.7744182491309464,0.5789473684210527,0.9511494252873564
ArtificialDataset19,informative+noise,NaiveBayes,0.724,0.610023419203747,0.4342105263157895,0.8505747126436781
ArtificialDataset19,informative+noise,DecisionTree,0.61,0.5002562788313686,0.40131578947368424,0.7011494252873564
ArtificialDataset19,informative+noise,XGBoost,0.728,0.5169210351692104,0.26973684210526316,0.9281609195402298
ArtificialDataset19,informative+rand_extra,LogReg,0.772,0.709321989113777,0.5986842105263158,0.8477011494252874
ArtificialDataset19,informative+rand_extra,SVM-linear,0.744,0.6839422259983008,0.6052631578947368,0.8045977011494253
ArtificialDataset19,informative+rand_extra,SVM-rbf,0.808,0.6890214567497353,0.4144736842105263,0.9798850574712644
ArtificialDataset19,informative+rand_extra,RandomForest,0.708,0.19374766005241484,0.05921052631578947,0.9913793103448276
ArtificialDataset19,informative+rand_extra,KNN,0.872,0.8280757097791798,0.6578947368421053,0.9655172413793104
ArtificialDataset19,informative+rand_extra,NaiveBayes,0.716,0.6026077983802882,0.4342105263157895,0.8390804597701149
ArtificialDataset19,informative+rand_extra,DecisionTree,0.608,0.46021162487317,0.32894736842105265,0.7298850574712644
ArtificialDataset19,informative+rand_extra,XGBoost,0.75,0.5441017710734397,0.27631578947368424,0.9568965517241379
ArtificialDataset19,mutual_info_top150,LogReg,0.688,0.5858108733907568,0.45394736842105265,0.7902298850574713
ArtificialDataset19,mutual_info_top150,SVM-linear,0.716,0.6277496265487245,0.5,0.8103448275862069
ArtificialDataset19,mutual_info_top150,SVM-rbf,0.752,0.4857042004941758,0.21052631578947367,0.9885057471264368
ArtificialDataset19,mutual_info_top150,RandomForest,0.708,0.24105726872246694,0.07894736842105263,0.9827586206896551
ArtificialDataset19,mutual_info_top150,KNN,0.786,0.664158899777176,0.4144736842105263,0.9482758620689655
ArtificialDataset19,mutual_info_top150,NaiveBayes,0.462,0.4548206248519464,0.8881578947368421,0.27586206896551724
ArtificialDataset19,mutual_info_top150,DecisionTree,0.618,0.4999195044865657,0.3881578947368421,0.7183908045977011
ArtificialDataset19,mutual_info_top150,XGBoost,0.73,0.5240923709906412,0.27631578947368424,0.9281609195402298
ArtificialDataset19,f_classif_top150,LogReg,0.746,0.6792560142459595,0.5789473684210527,0.8189655172413793
ArtificialDataset19,f_classif_top150,SVM-linear,0.74,0.6735973507776661,0.5789473684210527,0.8103448275862069
ArtificialDataset19,f_classif_top150,SVM-rbf,0.804,0.6843876177658142,0.4144736842105263,0.9741379310344828
ArtificialDataset19,f_classif_top150,RandomForest,0.72,0.29113924050632917,0.09868421052631579,0.9913793103448276
ArtificialDataset19,f_classif_top150,KNN,0.826,0.7563190483618286,0.5592105263157895,0.9425287356321839
ArtificialDataset19,f_classif_top150,NaiveBayes,0.728,0.5221621621621622,0.27631578947368424,0.9252873563218391
ArtificialDataset19,f_classif_top150,DecisionTree,0.622,0.5238986222146624,0.4342105263157895,0.7040229885057471
ArtificialDataset19,f_classif_top150,XGBoost,0.754,0.5851249429637383,0.32894736842105265,0.9396551724137931
ArtificialDataset19,rf_top150,LogReg,0.744,0.6720570814622993,0.5592105263157895,0.8247126436781609
ArtificialDataset19,rf_top150,SVM-linear,0.76,0.6976047110002919,0.5986842105263158,0.8304597701149425
ArtificialDataset19,rf_top150,SVM-rbf,0.81,0.6913580246913581,0.4144736842105263,0.9827586206896551
ArtificialDataset19,rf_top150,RandomForest,0.716,0.3009735438094714,0.10526315789473684,0.9827586206896551
