dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset7,all,LogReg,0.982,0.9819997067161991,0.986,0.978
ArtificialDataset7,all,SVM-linear,0.98,0.9799992652791327,0.986,0.974
ArtificialDataset7,all,SVM-rbf,0.994,0.9939999758550336,0.996,0.992
ArtificialDataset7,all,RandomForest,0.985,0.9849981571340236,0.996,0.974
ArtificialDataset7,all,KNN,0.984,0.983999739833168,0.988,0.98
ArtificialDataset7,all,NaiveBayes,0.917,0.9169955646484926,0.924,0.91
ArtificialDataset7,all,DecisionTree,0.906,0.9059896235787616,0.896,0.916
ArtificialDataset7,all,XGBoost,0.976,0.9759975407316324,0.986,0.966
ArtificialDataset7,informative,LogReg,0.988,0.987999805664869,0.992,0.984
ArtificialDataset7,informative,SVM-linear,0.987,0.9869996707110109,0.992,0.982
ArtificialDataset7,informative,SVM-rbf,0.999,0.998999998998998,1.0,0.998
ArtificialDataset7,informative,RandomForest,0.984,0.983999739833168,0.988,0.98
ArtificialDataset7,informative,KNN,0.998,0.998,0.998,0.998
ArtificialDataset7,informative,NaiveBayes,0.955,0.9549988219586899,0.95,0.96
ArtificialDataset7,informative,DecisionTree,0.904,0.904,0.904,0.904
ArtificialDataset7,informative,XGBoost,0.976,0.9759964584938762,0.988,0.964
ArtificialDataset7,informative+redundant,LogReg,0.987,0.9869996707110109,0.992,0.982
ArtificialDataset7,informative+redundant,SVM-linear,0.986,0.9859994888251498,0.992,0.98
ArtificialDataset7,informative+redundant,SVM-rbf,1.0,1.0,1.0,1.0
ArtificialDataset7,informative+redundant,RandomForest,0.982,0.9819997067161991,0.986,0.978
ArtificialDataset7,informative+redundant,KNN,0.998,0.9979999919839357,0.996,1.0
ArtificialDataset7,informative+redundant,NaiveBayes,0.937,0.9369945534245757,0.928,0.946
ArtificialDataset7,informative+redundant,DecisionTree,0.894,0.893992411089832,0.886,0.902
ArtificialDataset7,informative+redundant,XGBoost,0.979,0.9789989488748669,0.986,0.972
ArtificialDataset7,informative+redundant_nonLinear,LogReg,0.987,0.9869998814578858,0.99,0.984
