Dataset,Subset,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,F2,F3,F4,L1,n_features,acc_mean,acc_max,acc_std,gps_mean,gps_max,gps_std
ArtificialDataset6,all,0.042,0.04554000000000001,0.019571351863374865,0.5391117647058823,0.16389368571761084,0.04263311691963008,0.4389844201275505,0.98910450090018,0.99055625,0.6619881651075599,0.8713695620973972,0.9932285608095828,1.1055233243192029,32.0,0.975025,0.9985,0.05083917921108819,0.9746337548830174,0.9984999974611873,0.051931756131726015
ArtificialDataset6,informative,0.0033,0.0045,0.036050211214352854,0.6758,0.033655140897140265,0.0038116666666666668,0.26867677139253615,0.9246718943788758,0.9890125,0.7569778203690843,0.8821028703412938,0.9757249489556038,0.9959695800320179,8.0,0.99205,0.9989,0.011267652816802611,0.9920474758932509,0.9988999986675328,0.011273588525580176
ArtificialDataset6,informative+redundant,0.0029,0.006819999999999999,0.021824444442061268,0.6234857142857143,0.08708962433477858,0.006123333333333333,0.2813646796556127,0.9496692338467694,0.9865416666666668,0.7452437090191326,0.8809726624159121,0.9818539401213653,1.0668399764802026,12.0,0.9887375,0.9989,0.019894646623795916,0.9887319967360395,0.9988999986675328,0.019909747917541694
ArtificialDataset6,informative+redundant_nonLinear,0.0035,0.0058800000000000015,0.022836066807074177,0.51746,0.22590016067834862,0.0052899999999999996,0.2753595967834127,0.9305828965793158,0.9831,0.6637244685266643,0.833387999028533,0.9780307966205298,0.9252868691870629,13.0,0.966325,0.9988,0.08354291882448375,0.9641848655152372,0.9987999982699214,0.08958700316701618
ArtificialDataset6,informative+noise,0.0463,0.06558,0.036050211214352854,0.6178,0.033539506812013675,0.05396196090459248,0.4542405832560173,0.9957708941788358,0.995791304347826,0.7355492533196508,0.8952937380963278,0.9920976065604687,1.0083244650694152,23.0,0.9884375000000001,0.9985,0.012235538110649013,0.9884345253749637,0.9984999974611873,0.01224015008904233
ArtificialDataset6,informative+rand_extra,0.0046,0.009640000000000001,0.035588398586425804,0.6809071428571429,0.050518813936988045,0.009163333333333332,0.33190679245263827,0.9560245849169834,0.9915636363636364,0.7509927688311526,0.8856268384321369,0.9820922236272792,1.021133218706056,11.0,0.990625,0.999,0.013518320901650512,0.9906215541383151,0.998999998998998,0.013526911438594998
ArtificialDataset6,mutual_info_top8,0.0046,0.0103,0.018745405056783373,0.48861875,0.12515614383451312,0.010020000000000001,0.23397865601120948,0.932994798959792,0.9718125,0.6698175544356918,0.8463775612592064,0.9689973412173735,1.0876213855447292,8.0,0.982825,0.9974,0.03281858140923043,0.9827715168983495,0.9973999895728478,0.03296843123903198
ArtificialDataset6,f_classif_top8,0.0044,0.011880000000000002,0.025402340162473797,0.5647,0.0925100390707267,0.01115,0.24252922473734048,0.9465130026005201,0.9799,0.7493414582186763,0.8694800557751283,0.9711147140671006,1.1198592024689344,8.0,0.9864375,0.9973,0.020747525670030423,0.986433177694093,0.9972999880607112,0.020759250046173208
ArtificialDataset6,rf_top8,0.0062,0.00936,0.020399968556986222,0.5168866666666667,0.17193223425072054,0.007536666666666666,0.22360591088875809,0.9249705141028206,0.96495,0.6624256505311776,0.8210664296398789,0.9599333071393809,0.9390817866831652,8.0,0.9679125,0.9973,0.07577133716461841,0.9662999920434361,0.9972999880607112,0.08032721267328277
ArtificialDataset6,relief_top8,0.0044,0.011880000000000002,0.025402340162473797,0.5647,0.09251003907076104,0.01115,0.24252922473734048,0.9465130026005201,0.9799,0.7493414582186763,0.8694800557751283,0.9711147140671006,1.1198592024689344,8.0,0.9863375,0.9973,0.02073264764981619,0.9863331626925407,0.9972999880607112,0.02074435447072082
ArtificialDataset6,xgb_top8,0.0046,0.00636,0.019806532037139286,0.6023357142857144,0.2177019111638141,0.006078333333333334,0.21294627421689039,0.9024722544508901,0.969625,0.6625097560006966,0.8291038900718976,0.9642476603639781,1.0167512013586246,8.0,0.9572499999999999,0.9972,0.10715625440049148,0.951656925352814,0.9971999779861886,0.1229680724314577
ArtificialDataset6,complexity_Hostility_top8,0.0046,0.0103,0.018745405056783373,0.48861875,0.12515614383451312,0.010020000000000001,0.23397865601120948,0.932994798959792,0.9718125,0.6698175544356918,0.8463775612592064,0.9689973412173735,1.0876213855447292,8.0,0.9829,0.9974,0.03283147444580756,0.9828465184490355,0.9973999895728478,0.032981404975839554
ArtificialDataset6,complexity_N1_top8,0.0046,0.0103,0.018745405056783373,0.48861875,0.12515614383451312,0.010020000000000001,0.23397865601120948,0.932994798959792,0.9718125,0.6698175544356918,0.8463775612592064,0.9689973412173735,1.0876213855447303,8.0,0.9828125,0.9974,0.03278455374541059,0.9827590163657189,0.9973999895728478,0.032934534942258106
ArtificialDataset6,complexity_kDN_top8,0.0046,0.0103,0.018745405056783373,0.48861875,0.1251561438345131,0.010020000000000001,0.23397865601120948,0.932994798959792,0.9718125,0.6698175544356918,0.8463775612592064,0.9689973412173735,1.0876213855447303,8.0,0.982925,0.9974,0.03283594502544864,0.9828715192128872,0.9973999895728478,0.03298590213189794
