Dataset,Subset,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,F2,F3,F4,L1,n_features,acc_mean,acc_max,acc_std,gps_mean,gps_max,gps_std
ArtificialDataset21,all,0.253,0.347,0.481568,0.5883529411764705,0.48258644036934173,0.26643919969862245,0.4967223203016802,0.9958021936317951,0.99351,0.6175883071014721,0.8653256652690977,0.9995812612583868,0.8649265537271622,600.0,0.611125,0.764,0.09474392178016337,0.5256836852999454,0.7315242769333397,0.13194476889820417
ArtificialDataset21,informative,0.204,0.30060000000000003,0.481568,0.6993076923076924,0.4377324669241385,0.24001982621137036,0.49547087974978854,0.9950683153658486,0.99375,0.6473530319628277,0.8814188081599105,0.9992573009057283,0.7174429350597209,300.0,0.66425,0.828,0.08144893229151975,0.6027151738812826,0.81443782541395,0.12037327695238922
ArtificialDataset21,informative+redundant,0.22,0.31800000000000006,0.481568,0.5823529411764706,0.439358520629495,0.255396825074567,0.49551089323088454,0.9953942073107159,0.9936274999999999,0.6433571425570269,0.8812412846399202,0.9994146915474504,0.7773220880336161,400.0,0.6617500000000001,0.801,0.07657069562548996,0.6006983966499463,0.7825029779813585,0.12034841268247297
ArtificialDataset21,informative+redundant_nonLinear,0.239,0.32220000000000004,0.481568,0.689,0.48249092769206586,0.26381543525535195,0.4957516724485487,0.9954675563525659,0.993465,0.6245480649183431,0.8573916219382154,0.9993447142873458,0.2045987963703126,400.0,0.63025,0.797,0.10506426604702479,0.5496529167095112,0.7717366614418071,0.14783404311068557
ArtificialDataset21,informative+noise,0.232,0.33640000000000003,0.481568,0.705,0.4344847713130026,0.2816234583568179,0.4970276612428769,0.995595153992118,0.9937974999999999,0.6416602464995983,0.8814838035653767,0.9994445282759677,0.7690774223873823,400.0,0.636875,0.778,0.0673677275428355,0.5664548270528335,0.7485192109447348,0.10075667634915224
ArtificialDataset21,informative+rand_extra,0.21,0.30820000000000003,0.481568,0.6993076923076923,0.4382745268491687,0.23656812132073515,0.49554073198017173,0.9951381821214839,0.9937392739273928,0.6472162099444104,0.8813946820311429,0.99926043943244,0.7191055537118727,303.0,0.6645,0.826,0.08483092428051053,0.6050256261580362,0.8122442794362784,0.12200603988851651
ArtificialDataset21,mutual_info_top300,0.273,0.39120000000000005,0.481568,0.7018333333333333,0.47863577369608196,0.37378029504977783,0.49759985022202385,0.99663872635903,0.9935333333333333,0.6331529803140606,0.8615142635387991,0.999143068243179,0.7072340077062941,300.0,0.601375,0.718,0.08282673395192437,0.5168155478968031,0.6731115717689908,0.11502949266991373
ArtificialDataset21,f_classif_top300,0.278,0.36340000000000006,0.481568,0.6850000000000002,0.4774133031547268,0.33329644574556677,0.4966259190235606,0.9962055091019038,0.9934533333333334,0.637570271087279,0.8673430251609285,0.9991628274799007,0.877887177678234,300.0,0.653125,0.756,0.06773359052725823,0.5434509302345325,0.718322247265131,0.1802871488826485
ArtificialDataset21,rf_top300,0.293,0.359,0.481568,0.6170588235294118,0.4094808390997359,0.3103365470132899,0.496271543613891,0.9957659111287195,0.9935766666666667,0.6468048129342362,0.8739661871602956,0.9991959214638095,0.7935455740596352,300.0,0.660875,0.737,0.05277563696577103,0.5933010972112972,0.6884141724764861,0.09896474950149337
ArtificialDataset21,relief_top300,0.283,0.34440000000000004,0.481568,0.5626666666666668,0.42295557214692964,0.33185857640646843,0.49511342811038683,0.9930500114686073,0.99367,0.6506466486267394,0.8797715201156173,0.9992474929296938,0.7586909908922634,300.0,0.652625,0.726,0.04430394210128811,0.5791821445739791,0.6733789135617598,0.06619283867362537
ArtificialDataset21,xgb_top300,0.267,0.36000000000000004,0.481568,0.5335238095238095,0.41959805752757356,0.30195424103629764,0.49678855940951816,0.9960930458535772,0.9935933333333333,0.6451139619711901,0.8756055599326035,0.9991916024343989,0.746520417815394,300.0,0.652375,0.754,0.058802180474633994,0.5904137305076498,0.720656626506024,0.09493834187727396
ArtificialDataset21,complexity_Hostility_top300,0.296,0.39920000000000005,0.481568,0.7308125,0.4798613707998094,0.3489200967054528,0.49750931246544805,0.9966216443897659,0.9937033333333334,0.6277666288103394,0.8552571916320254,0.9991070847486776,0.6677271641944922,300.0,0.584875,0.684,0.07511217801205267,0.48422287838933836,0.5900027314941272,0.08947008308937335
ArtificialDataset21,complexity_N1_top300,0.285,0.3898000000000001,0.481568,0.495695652173913,0.481832809429858,0.35576953742209516,0.49767464392905436,0.99673287736931,0.9933266666666666,0.6363063012141544,0.8634197541170511,0.9991576495418026,0.5720943847483904,300.0,0.598375,0.716,0.08617082287111871,0.49107064373875015,0.6506380960889555,0.1456335571977921
ArtificialDataset21,complexity_kDN_top300,0.288,0.393,0.481568,0.6968823529411764,0.4774564147843615,0.3633096238936947,0.4975526821601551,0.9965915257418103,0.9931233333333334,0.6345312560513832,0.8643980730684527,0.999154405290682,0.6070744406641434,300.0,0.5992500000000001,0.72,0.09106473364747582,0.49646925692004445,0.6693867912151347,0.1660457310799282
