y,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,F2,F3,F4,L1,level,subset
0,0.6914285714285714,0.6217142857142857,0.65,0.5436734693877551,0.6513002691541471,0.5634372294372294,0.5036462644785455,0.9958620689655173,0.9860779220779221,0.6601634165203727,0.8706058724139448,0.9979446459146296,-0.025613890554820568,class,informative+redundant
1,0.11692307692307692,0.30953846153846154,0.35,0.5474725274725274,0.3484039910310166,0.3178442146089205,0.4908046320834349,0.9928774928774928,0.9858741258741259,0.6505022374686961,0.870120145076643,0.9975728900133312,0.9354599863515799,class,informative+redundant
dataset,0.318,0.41880000000000006,0.4549999999999999,0.5461428571428572,0.4544176883741123,0.4038017697988286,0.4952992034217236,0.9939220945083014,0.9859454545454546,0.653883650136783,0.8702901496446986,0.9977030045787856,0.5990841294343398,class,informative+redundant
1,0.38888888888888884,0.6,0.35,0.5714285714285714,0.3324770197852135,0.0,0.48332003011659697,0.9938271604938271,0.990909090909091,0.659875415075342,0.8644036524068415,0.9955161880973442,-0.022153264580912175,instance,informative+redundant
0,0.5454545454545454,0.8,0.65,0.5714285714285714,0.6522319252195882,0.6666666666666666,0.5061164968454634,1.0,0.990909090909091,0.641049620675586,0.8848811277705219,0.9996500383864682,2.150292347525408,instance,informative+redundant
0,0.0,0.6,0.65,0.5,0.6562444148919794,0.0,0.4961397371968246,0.9942528735632183,1.0,0.691985169991711,0.8777843848490419,0.9963855086050329,1.3815190776793498,instance,informative+redundant
0,0.6111111111111112,0.6,0.65,0.5714285714285714,0.6690188087112324,1.0,0.5288000822149266,1.0,1.0,0.6749210723010406,0.8784302731269399,0.9973868226304519,0.41029079448119005,instance,informative+redundant
0,0.0,0.6,0.65,0.5714285714285714,0.6668069262163279,1.0,0.504174728397847,1.0,0.990909090909091,0.6658492443336128,0.847966629761738,0.9974370101085411,0.5142108061415023,instance,informative+redundant
0,0.0,0.2,0.65,0.5714285714285714,0.657220941536298,0.0,0.4936421952817124,0.9942528735632183,0.990909090909091,0.6666666666666666,0.873851283178696,0.999757650658858,0.15039906705898964,instance,informative+redundant
0,0.25,0.8,0.65,0.5,0.652762039285755,0.0,0.496721008626968,0.9942528735632183,0.9727272727272728,0.6579846489419607,0.8814329353012856,0.9957788286676809,1.0958028025981223,instance,informative+redundant
