dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18c,1,f_classif,35,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,35,42,KNN,0.68,0.5526315789473685
ArtificialDataset18c,1,f_classif,36,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,36,42,KNN,0.67,0.5594739988045426
ArtificialDataset18c,1,f_classif,37,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,37,42,KNN,0.64,0.5199999999999999
ArtificialDataset18c,1,f_classif,38,42,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18c,1,f_classif,38,42,KNN,0.68,0.5815384615384616
ArtificialDataset18c,1,f_classif,39,42,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18c,1,f_classif,39,42,KNN,0.68,0.5815384615384616
ArtificialDataset18c,1,f_classif,40,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,f_classif,40,42,KNN,0.67,0.5594739988045426
ArtificialDataset18c,1,f_classif,41,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,f_classif,41,42,KNN,0.69,0.6023424428332403
ArtificialDataset18c,1,f_classif,42,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,f_classif,42,42,KNN,0.71,0.6078842125309466
ArtificialDataset18c,1,mutual_info,1,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,1,42,KNN,0.56,0.14917127071823202
ArtificialDataset18c,1,mutual_info,2,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,2,42,KNN,0.55,0.28776978417266186
ArtificialDataset18c,1,mutual_info,3,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,3,42,KNN,0.62,0.3632432432432433
ArtificialDataset18c,1,mutual_info,4,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,4,42,KNN,0.59,0.4266413842142688
ArtificialDataset18c,1,mutual_info,5,42,SVM-rbf,0.7,0.20574886535552192
ArtificialDataset18c,1,mutual_info,5,42,KNN,0.57,0.3635419371591795
ArtificialDataset18c,1,mutual_info,6,42,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset18c,1,mutual_info,6,42,KNN,0.53,0.3116883116883116
ArtificialDataset18c,1,mutual_info,7,42,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset18c,1,mutual_info,7,42,KNN,0.57,0.3901468026872356
ArtificialDataset18c,1,mutual_info,8,42,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset18c,1,mutual_info,8,42,KNN,0.57,0.29790890862217134
ArtificialDataset18c,1,mutual_info,9,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,9,42,KNN,0.57,0.3901468026872356
ArtificialDataset18c,1,mutual_info,10,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,10,42,KNN,0.59,0.375741935483871
ArtificialDataset18c,1,mutual_info,11,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,11,42,KNN,0.6,0.5176848874598071
ArtificialDataset18c,1,mutual_info,12,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,12,42,KNN,0.63,0.5526770293609672
ArtificialDataset18c,1,mutual_info,13,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,13,42,KNN,0.63,0.5272764145203813
ArtificialDataset18c,1,mutual_info,14,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,14,42,KNN,0.57,0.3901468026872356
ArtificialDataset18c,1,mutual_info,15,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,15,42,KNN,0.58,0.3695652173913044
ArtificialDataset18c,1,mutual_info,16,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,16,42,KNN,0.59,0.3446220536439989
ArtificialDataset18c,1,mutual_info,17,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,mutual_info,17,42,KNN,0.63,0.43021266194084573
ArtificialDataset18c,1,mutual_info,18,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,mutual_info,18,42,KNN,0.65,0.44498658209319353
ArtificialDataset18c,1,mutual_info,19,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,mutual_info,19,42,KNN,0.61,0.35685320356853206
ArtificialDataset18c,1,mutual_info,20,42,SVM-rbf,0.67,0.10666666666666666
ArtificialDataset18c,1,mutual_info,20,42,KNN,0.63,0.36982968369829683
ArtificialDataset18c,1,mutual_info,21,42,SVM-rbf,0.67,0.10666666666666666
ArtificialDataset18c,1,mutual_info,21,42,KNN,0.63,0.36982968369829683
ArtificialDataset18c,1,mutual_info,22,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,mutual_info,22,42,KNN,0.69,0.5612307692307693
ArtificialDataset18c,1,mutual_info,23,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,mutual_info,23,42,KNN,0.67,0.5076820307281229
ArtificialDataset18c,1,mutual_info,24,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,mutual_info,24,42,KNN,0.65,0.5108578800258009
ArtificialDataset18c,1,mutual_info,25,42,SVM-rbf,0.69,0.27021494370522003
