dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset20c,1,f_classif,1,62,SVM-rbf,0.67,0.0
ArtificialDataset20c,1,f_classif,1,62,KNN,0.64,0.43749999999999994
ArtificialDataset20c,1,f_classif,2,62,SVM-rbf,0.72,0.5294117647058824
ArtificialDataset20c,1,f_classif,2,62,KNN,0.61,0.3885890516576715
ArtificialDataset20c,1,f_classif,3,62,SVM-rbf,0.71,0.46533367956374966
ArtificialDataset20c,1,f_classif,3,62,KNN,0.72,0.5882352941176471
ArtificialDataset20c,1,f_classif,4,62,SVM-rbf,0.75,0.5334660363274446
ArtificialDataset20c,1,f_classif,4,62,KNN,0.73,0.5976729944886712
ArtificialDataset20c,1,f_classif,5,62,SVM-rbf,0.76,0.6105892399658411
ArtificialDataset20c,1,f_classif,5,62,KNN,0.75,0.6575342465753425
ArtificialDataset20c,1,f_classif,6,62,SVM-rbf,0.77,0.665785997357992
ArtificialDataset20c,1,f_classif,6,62,KNN,0.76,0.6673960612691466
ArtificialDataset20c,1,f_classif,7,62,SVM-rbf,0.8,0.7191011235955056
ArtificialDataset20c,1,f_classif,7,62,KNN,0.76,0.6423529411764706
ArtificialDataset20c,1,f_classif,8,62,SVM-rbf,0.82,0.7573964497041419
ArtificialDataset20c,1,f_classif,8,62,KNN,0.76,0.6673960612691466
ArtificialDataset20c,1,f_classif,9,62,SVM-rbf,0.86,0.8193277310924371
ArtificialDataset20c,1,f_classif,9,62,KNN,0.83,0.7751394422310758
ArtificialDataset20c,1,f_classif,10,62,SVM-rbf,0.83,0.7812742210509999
ArtificialDataset20c,1,f_classif,10,62,KNN,0.83,0.7683467410934166
ArtificialDataset20c,1,f_classif,11,62,SVM-rbf,0.85,0.8130224373075231
ArtificialDataset20c,1,f_classif,11,62,KNN,0.83,0.7751394422310758
ArtificialDataset20c,1,f_classif,12,62,SVM-rbf,0.85,0.8130224373075231
ArtificialDataset20c,1,f_classif,12,62,KNN,0.79,0.7258304412493805
ArtificialDataset20c,1,f_classif,13,62,SVM-rbf,0.84,0.8023529411764706
ArtificialDataset20c,1,f_classif,13,62,KNN,0.78,0.7157057654075546
ArtificialDataset20c,1,f_classif,14,62,SVM-rbf,0.86,0.8280000000000001
ArtificialDataset20c,1,f_classif,14,62,KNN,0.78,0.7157057654075546
ArtificialDataset20c,1,f_classif,15,62,SVM-rbf,0.87,0.8388659353184215
ArtificialDataset20c,1,f_classif,15,62,KNN,0.78,0.7232258064516129
ArtificialDataset20c,1,f_classif,16,62,SVM-rbf,0.84,0.8023529411764706
ArtificialDataset20c,1,f_classif,16,62,KNN,0.8,0.75
ArtificialDataset20c,1,f_classif,17,62,SVM-rbf,0.86,0.8280000000000001
ArtificialDataset20c,1,f_classif,17,62,KNN,0.86,0.8193277310924371
ArtificialDataset20c,1,f_classif,18,62,SVM-rbf,0.86,0.8280000000000001
ArtificialDataset20c,1,f_classif,18,62,KNN,0.84,0.7920792079207921
ArtificialDataset20c,1,f_classif,19,62,SVM-rbf,0.86,0.8238736102984202
ArtificialDataset20c,1,f_classif,19,62,KNN,0.85,0.817309070067345
ArtificialDataset20c,1,f_classif,20,62,SVM-rbf,0.86,0.8280000000000001
ArtificialDataset20c,1,f_classif,20,62,KNN,0.85,0.8030888030888031
ArtificialDataset20c,1,f_classif,21,62,SVM-rbf,0.88,0.8499147242751564
ArtificialDataset20c,1,f_classif,21,62,KNN,0.84,0.7974683544303797
ArtificialDataset20c,1,f_classif,22,62,SVM-rbf,0.87,0.8349146110056926
ArtificialDataset20c,1,f_classif,22,62,KNN,0.84,0.7974683544303797
ArtificialDataset20c,1,f_classif,23,62,SVM-rbf,0.86,0.8238736102984202
ArtificialDataset20c,1,f_classif,23,62,KNN,0.87,0.8388659353184215
ArtificialDataset20c,1,f_classif,24,62,SVM-rbf,0.88,0.8499147242751564
ArtificialDataset20c,1,f_classif,24,62,KNN,0.88,0.8499147242751564
ArtificialDataset20c,1,f_classif,25,62,SVM-rbf,0.87,0.8305617977528089
ArtificialDataset20c,1,f_classif,25,62,KNN,0.88,0.8461538461538461
ArtificialDataset20c,1,f_classif,26,62,SVM-rbf,0.88,0.8461538461538461
ArtificialDataset20c,1,f_classif,26,62,KNN,0.87,0.8305617977528089
ArtificialDataset20c,1,f_classif,27,62,SVM-rbf,0.87,0.8305617977528089
ArtificialDataset20c,1,f_classif,27,62,KNN,0.86,0.8193277310924371
ArtificialDataset20c,1,f_classif,28,62,SVM-rbf,0.88,0.8461538461538461
ArtificialDataset20c,1,f_classif,28,62,KNN,0.86,0.8238736102984202
ArtificialDataset20c,1,f_classif,29,62,SVM-rbf,0.91,0.8896077638495755
ArtificialDataset20c,1,f_classif,29,62,KNN,0.84,0.7974683544303797
ArtificialDataset20c,1,f_classif,30,62,SVM-rbf,0.91,0.8896077638495755
ArtificialDataset20c,1,f_classif,30,62,KNN,0.82,0.7763636363636364
ArtificialDataset20c,1,f_classif,31,62,SVM-rbf,0.92,0.9051057246003095
ArtificialDataset20c,1,f_classif,31,62,KNN,0.83,0.7868258045021906
ArtificialDataset20c,1,f_classif,32,62,SVM-rbf,0.93,0.91631315079059
ArtificialDataset20c,1,f_classif,32,62,KNN,0.83,0.7751394422310758
ArtificialDataset20c,1,f_classif,33,62,SVM-rbf,0.89,0.8643856489818534
ArtificialDataset20c,1,f_classif,33,62,KNN,0.82,0.7496607869742197
ArtificialDataset20c,1,f_classif,34,62,SVM-rbf,0.9,0.8756218905472636
ArtificialDataset20c,1,f_classif,34,62,KNN,0.84,0.7974683544303797
