model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.82,0.03535533905932734,0.7460619742016104,0.05561842937453137
KNN,mutual_info,0.792,0.03768288736283354,0.7193058185224218,0.043132925691999745
KNN,relief,0.8019999999999999,0.031144823004794906,0.6877967279544378,0.0820849791940789
KNN,rf,0.828,0.04494441010848844,0.7627986901223283,0.07529438021633555
KNN,xgb,0.8220000000000001,0.032710854467592226,0.758390015172283,0.06002658442851891
SVM-rbf,f_classif,0.8220000000000001,0.0238746727726266,0.7479311618080976,0.035796848439036445
SVM-rbf,mutual_info,0.8140000000000001,0.027928480087537857,0.7153857356747872,0.05518617327944062
SVM-rbf,relief,0.8619999999999999,0.016431676725155,0.8118356776040686,0.024731970350122815
SVM-rbf,rf,0.8320000000000001,0.03420526275297415,0.7608618590779845,0.055348491919389085
SVM-rbf,xgb,0.8300000000000001,0.03464101615137752,0.7561821372193217,0.06049068905883908
