model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.8992820646260112,0.00889348550672915,0.8920185299362817,0.010413578699787247
KNN,mutual_info,0.9008085347968018,0.014832695295651158,0.8942526027217657,0.016132697230103767
KNN,relief,0.9032005488006813,0.010486086771924714,0.8969684868032047,0.011947109529946919
KNN,rf,0.9140722429862327,0.010954291746406926,0.9091554861833847,0.011651129457594167
KNN,xgb,0.9027589061834698,0.010118485933221613,0.8981555041334695,0.01036129589908625
SVM-rbf,f_classif,0.9151620381321852,0.007217274332463384,0.9098185427293808,0.0080543380605017
SVM-rbf,mutual_info,0.9175545252401003,0.0036523447697395708,0.9125101971613786,0.004090641643536909
SVM-rbf,relief,0.9184236173534561,0.0033953816703017874,0.9131573769773352,0.0032938843300053455
SVM-rbf,rf,0.9251670057245589,0.009727938299640566,0.9205945551188561,0.010459666153061466
SVM-rbf,xgb,0.9262544353503335,0.00799290132472915,0.9220719932098994,0.008532360354601684
