model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.71,0.016201851746019645,0.6580644719294486,0.029637929786716945
KNN,mutual_info,0.675,0.04138236339311709,0.6159194364063924,0.043069366503191084
KNN,relief,0.655,0.028062430400804538,0.38984072112914603,0.12158039154856737
KNN,rf,0.7150000000000001,0.03905124837953327,0.6446252470002595,0.07339663422443836
KNN,xgb,0.713,0.022527760652137605,0.6554228307697069,0.03197878629350867
SVM-rbf,f_classif,0.678,0.013964240043768932,0.6094870421378099,0.03245145234460371
SVM-rbf,mutual_info,0.648,0.02280350850198277,0.502511009688102,0.05839875563670078
SVM-rbf,relief,0.696,0.026315394733881486,0.6241657770035203,0.039485326580649294
SVM-rbf,rf,0.692,0.03751666296460814,0.6160936058905904,0.0560305104261763
SVM-rbf,xgb,0.693,0.04251470333896259,0.6086423449236238,0.07122633958673545
