model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.6519999999999999,0.03962322551231789,0.447121373472459,0.09386818635056456
KNN,mutual_info,0.64,0.020000000000000018,0.4059065017234532,0.1127308428251935
KNN,relief,0.63,0.02915475947422652,0.4000221029296216,0.08717340586867915
KNN,rf,0.648,0.017888543819998326,0.45035733989025123,0.09803416256352826
KNN,xgb,0.63,0.03741657386773945,0.418562362913028,0.04652010881702436
SVM-rbf,f_classif,0.682,0.010954451150103302,0.27675122905609245,0.12713483106736623
SVM-rbf,mutual_info,0.678,0.013038404810405252,0.12112664898388359,0.07970184500557437
SVM-rbf,relief,0.696,0.02966479394838266,0.37851063284487463,0.08949747020672265
SVM-rbf,rf,0.682,0.025884358211089562,0.31383979389296457,0.08084684401800821
SVM-rbf,xgb,0.6940000000000001,0.02509980079602224,0.31668972584078453,0.12366004530692083
