fold,model,method,filter_corr,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
1,SVM-rbf,mutual_info,True,40,0.8025,0.6945839505726775,0.65,0.10114579217700513,0.32,0.42400000000000004,0.3758621031746032
1,SVM-rbf,f_classif,True,40,0.835,0.7664731556421881,0.7,0.42244224422442245,0.3275,0.4335000000000001,0.41615873015873023
1,SVM-rbf,rf,True,40,0.84,0.7741081558048657,0.7,0.45652173913043476,0.305,0.4175,0.4252646103896104
1,SVM-rbf,relief,True,40,0.84,0.7741081558048657,0.67,0.257804632426989,0.285,0.3985,0.36851939033189024
1,SVM-rbf,xgb,True,40,0.8575,0.8058856819468025,0.63,0.2359882005899705,0.3025,0.4225,0.421828373015873
2,SVM-rbf,mutual_info,True,40,0.8375,0.7693301835824532,0.68,0.1952662721893491,0.3275,0.4210000000000001,0.41185069444444444
2,SVM-rbf,f_classif,True,40,0.8525,0.7970872709301973,0.7,0.3823529411764706,0.2975,0.4255,0.4343309884559885
2,SVM-rbf,rf,True,40,0.8775,0.8391278727165585,0.67,0.257804632426989,0.3125,0.4065000000000001,0.3749550865800866
2,SVM-rbf,relief,True,40,0.85,0.7926070513602538,0.69,0.32714690154136516,0.2725,0.4,0.3867847222222222
2,SVM-rbf,xgb,True,40,0.8625,0.814478045346552,0.66,0.10383386581469649,0.25,0.42100000000000004,0.43174769309637734
3,SVM-rbf,mutual_info,True,40,0.8425,0.7806148282097649,0.67,0.3131407269338304,0.31,0.41150000000000003,0.36906601731601735
3,SVM-rbf,f_classif,True,40,0.855,0.8086731741193719,0.68,0.406113537117904,0.285,0.4305,0.426999836356454
3,SVM-rbf,rf,True,40,0.8625,0.815832128194427,0.7,0.38235294117647056,0.3075,0.402,0.4146279761904762
3,SVM-rbf,relief,True,40,0.8575,0.8073394495412844,0.67,0.257804632426989,0.27,0.38400000000000006,0.37831237512487514
3,SVM-rbf,xgb,True,40,0.8425,0.7806148282097649,0.66,0.252,0.295,0.4225,0.3891180555555555
4,SVM-rbf,mutual_info,True,40,0.8425,0.7806148282097649,0.68,0.19526627218934908,0.31,0.43450000000000005,0.4253694985569985
4,SVM-rbf,f_classif,True,40,0.8875,0.8556532424935169,0.69,0.3743784732377888,0.295,0.395,0.39338266594516597
4,SVM-rbf,rf,True,40,0.8725,0.8322605573408977,0.66,0.10383386581469649,0.3325,0.39,0.3969386724386725
4,SVM-rbf,relief,True,40,0.88,0.8441328413284134,0.64,0.17714285714285719,0.2975,0.36800000000000005,0.33996753246753253
4,SVM-rbf,xgb,True,40,0.8625,0.8171524933750902,0.67,0.35931614024920316,0.2875,0.41450000000000004,0.37672898629148627
5,SVM-rbf,mutual_info,True,40,0.86,0.8116100766703175,0.7,0.45652173913043476,0.2775,0.4325,0.43505929487179484
5,SVM-rbf,f_classif,True,40,0.8675,0.8265638114278708,0.72,0.47445255474452547,0.305,0.4305,0.42851190476190476
5,SVM-rbf,rf,True,40,0.8675,0.8241357877121682,0.71,0.4310583033987289,0.3125,0.41350000000000003,0.3880184398934399
5,SVM-rbf,relief,True,40,0.8625,0.815832128194427,0.69,0.448,0.3275,0.4115,0.39090602453102447
5,SVM-rbf,xgb,True,40,0.8525,0.7986469039922338,0.66,0.18577648766328012,0.2775,0.44900000000000007,0.45845932539682543
1,KNN,mutual_info,True,40,0.7775,0.7048360437216741,0.67,0.5594739988045427,0.32,0.42400000000000004,0.3758621031746032
1,KNN,f_classif,True,40,0.76,0.6980007450639513,0.64,0.52,0.3275,0.4335000000000001,0.41615873015873023
1,KNN,rf,True,40,0.7375,0.6454935622317597,0.64,0.5030198446937014,0.305,0.4175,0.4252646103896104
1,KNN,relief,True,40,0.78,0.6731272917757988,0.65,0.469820554649266,0.285,0.3985,0.36851939033189024
1,KNN,xgb,True,40,0.78,0.7283843140358514,0.49,0.3442665966937812,0.3025,0.4225,0.421828373015873
2,KNN,mutual_info,True,40,0.7425,0.6444519345878033,0.55,0.32210353327855384,0.3275,0.4210000000000001,0.41185069444444444
2,KNN,f_classif,True,40,0.74,0.6586231369765793,0.57,0.2570475901788421,0.2975,0.4255,0.4343309884559885
2,KNN,rf,True,40,0.7825,0.6982079329720384,0.63,0.40215439856373425,0.3125,0.4065000000000001,0.3749550865800866
2,KNN,relief,True,40,0.7525,0.6382518968133535,0.62,0.3632432432432432,0.2725,0.4,0.3867847222222222
2,KNN,xgb,True,40,0.745,0.6774481090029287,0.6,0.43342776203966016,0.25,0.42100000000000004,0.43174769309637734
3,KNN,mutual_info,True,40,0.765,0.6778081455262333,0.63,0.43021266194084584,0.31,0.41150000000000003,0.36906601731601735
3,KNN,f_classif,True,40,0.7675,0.6948342756976881,0.67,0.48569434752267976,0.285,0.4305,0.426999836356454
3,KNN,rf,True,40,0.775,0.68259385665529,0.63,0.43021266194084584,0.3075,0.402,0.4146279761904762
3,KNN,relief,True,40,0.76,0.6555891238670695,0.69,0.5024424284717376,0.27,0.38400000000000006,0.37831237512487514
3,KNN,xgb,True,40,0.7875,0.7374356459916646,0.66,0.5511999999999998,0.295,0.4225,0.3891180555555555
4,KNN,mutual_info,True,40,0.77,0.6973166980003418,0.61,0.3200914547013432,0.31,0.43450000000000005,0.4253694985569985
4,KNN,f_classif,True,40,0.805,0.7485885885885886,0.6,0.38208032955715754,0.295,0.395,0.39338266594516597
4,KNN,rf,True,40,0.7575,0.639811762399049,0.63,0.33228301346319106,0.3325,0.39,0.3969386724386725
4,KNN,relief,True,40,0.7525,0.6028441577481308,0.66,0.3908794788273617,0.2975,0.36800000000000005,0.33996753246753253
4,KNN,xgb,True,40,0.765,0.6988188976377953,0.6,0.489795918367347,0.2875,0.41450000000000004,0.37672898629148627
5,KNN,mutual_info,True,40,0.7775,0.7259260726203324,0.62,0.5046257359125316,0.2775,0.4325,0.43505929487179484
5,KNN,f_classif,True,40,0.76,0.7072701011073664,0.69,0.5901513699942518,0.305,0.4305,0.42851190476190476
5,KNN,rf,True,40,0.7575,0.6676692409457365,0.64,0.5714285714285714,0.3125,0.41350000000000003,0.3880184398934399
5,KNN,relief,True,40,0.735,0.5853866212548561,0.69,0.5024424284717376,0.3275,0.4115,0.39090602453102447
5,KNN,xgb,True,40,0.735,0.6612608695652173,0.65,0.5279103548454036,0.2775,0.44900000000000007,0.45845932539682543
