dataset,fold,method,k,n_available_features,model,acc_test,gps_test
wdbc,1,f_classif,1,20,SVM-rbf,0.868421052631579,0.850257134213976
wdbc,1,f_classif,1,20,KNN,0.8771929824561403,0.8614410134600158
wdbc,1,f_classif,2,20,SVM-rbf,0.9122807017543859,0.9039881831610046
wdbc,1,f_classif,2,20,KNN,0.9298245614035088,0.9233273056057867
wdbc,1,f_classif,3,20,SVM-rbf,0.8947368421052632,0.8859060402684564
wdbc,1,f_classif,3,20,KNN,0.9122807017543859,0.9060693641618498
wdbc,1,f_classif,4,20,SVM-rbf,0.9035087719298246,0.8949077080048233
wdbc,1,f_classif,4,20,KNN,0.9210526315789473,0.9150867103962622
wdbc,1,f_classif,5,20,SVM-rbf,0.9210526315789473,0.9150867103962622
wdbc,1,f_classif,5,20,KNN,0.9122807017543859,0.905074844833881
wdbc,1,f_classif,6,20,SVM-rbf,0.9122807017543859,0.9039881831610046
wdbc,1,f_classif,6,20,KNN,0.9122807017543859,0.9060693641618498
wdbc,1,f_classif,7,20,SVM-rbf,0.9298245614035088,0.9241773962804005
wdbc,1,f_classif,7,20,KNN,0.9385964912280702,0.934049484899181
wdbc,1,f_classif,8,20,SVM-rbf,0.9298245614035088,0.9233273056057867
wdbc,1,f_classif,8,20,KNN,0.956140350877193,0.9524640209332752
wdbc,1,f_classif,9,20,SVM-rbf,0.9736842105263158,0.9715214230736338
wdbc,1,f_classif,9,20,KNN,0.9473684210526315,0.9432176656151421
wdbc,1,f_classif,10,20,SVM-rbf,0.9649122807017544,0.9617922889892324
wdbc,1,f_classif,10,20,KNN,0.9210526315789473,0.9150867103962622
wdbc,1,f_classif,11,20,SVM-rbf,0.9649122807017544,0.9617922889892324
wdbc,1,f_classif,11,20,KNN,0.9122807017543859,0.905074844833881
wdbc,1,f_classif,12,20,SVM-rbf,0.9649122807017544,0.9617922889892324
wdbc,1,f_classif,12,20,KNN,0.9298245614035088,0.9249557522123893
wdbc,1,f_classif,13,20,SVM-rbf,0.9649122807017544,0.9617922889892324
wdbc,1,f_classif,13,20,KNN,0.9298245614035088,0.9249557522123893
wdbc,1,f_classif,14,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,f_classif,14,20,KNN,0.9210526315789473,0.9150867103962622
wdbc,1,f_classif,15,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,f_classif,15,20,KNN,0.9210526315789473,0.9150867103962622
wdbc,1,f_classif,16,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,f_classif,16,20,KNN,0.9473684210526315,0.9425939050318923
wdbc,1,f_classif,17,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,f_classif,17,20,KNN,0.9473684210526315,0.9425939050318923
wdbc,1,f_classif,18,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,f_classif,18,20,KNN,0.956140350877193,0.9524640209332752
wdbc,1,f_classif,19,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,f_classif,19,20,KNN,0.956140350877193,0.9519273176325308
wdbc,1,f_classif,20,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,f_classif,20,20,KNN,0.9473684210526315,0.9419146647543922
wdbc,1,mutual_info,1,20,SVM-rbf,0.8859649122807017,0.876979293544458
wdbc,1,mutual_info,1,20,KNN,0.8771929824561403,0.8650732459521973
wdbc,1,mutual_info,2,20,SVM-rbf,0.9122807017543859,0.9039881831610046
wdbc,1,mutual_info,2,20,KNN,0.9298245614035088,0.9233273056057867
wdbc,1,mutual_info,3,20,SVM-rbf,0.8947368421052632,0.8859060402684564
wdbc,1,mutual_info,3,20,KNN,0.9122807017543859,0.9060693641618498
wdbc,1,mutual_info,4,20,SVM-rbf,0.9122807017543859,0.905074844833881
wdbc,1,mutual_info,4,20,KNN,0.9122807017543859,0.9060693641618498
wdbc,1,mutual_info,5,20,SVM-rbf,0.9210526315789473,0.9150867103962622
wdbc,1,mutual_info,5,20,KNN,0.9035087719298246,0.8971215835830383
wdbc,1,mutual_info,6,20,SVM-rbf,0.9122807017543859,0.9039881831610046
