model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.7980255516840883,0.059949892812323456,0.7897383623109515,0.06712820242593845
KNN,mutual_info,0.8125435540069686,0.07400639083512602,0.805413049645581,0.0783537000029068
KNN,relief,0.8268292682926829,0.06658355367437395,0.821932151119532,0.06872547575338331
KNN,rf,0.7983739837398374,0.0828024179240657,0.7896011342969039,0.09489252060514873
KNN,xgb,0.802787456445993,0.0620020350869048,0.7961825077325587,0.06639199394861264
SVM-rbf,f_classif,0.7696864111498257,0.08562185574435091,0.7575455610326097,0.10008982977795278
SVM-rbf,mutual_info,0.8176538908246226,0.056328352291621024,0.8084785398117551,0.07013097239747765
SVM-rbf,relief,0.827061556329849,0.045192561460174654,0.8222143461345848,0.04701032692978863
SVM-rbf,rf,0.8034843205574914,0.10240171851195014,0.7974851078482768,0.11281359790312655
SVM-rbf,xgb,0.8033681765389081,0.08208063042499684,0.7967243497379324,0.08951714558803579
