model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.636,0.0054772255750516665,0.47103733580481305,0.057747944528442015
KNN,mutual_info,0.6060000000000001,0.028809720581775847,0.4004738455082684,0.14689643724027904
KNN,relief,0.63,0.009999999999999995,0.26031248882368907,0.07088984712230945
KNN,rf,0.642,0.023874672772626657,0.4117984701486792,0.05913170537003897
KNN,xgb,0.666,0.023021728866442655,0.524427954774711,0.07696073917239189
SVM-rbf,f_classif,0.666,0.030495901363953772,0.40040415347165953,0.06413219551514632
SVM-rbf,mutual_info,0.66,0.021213203435596455,0.2727495486531539,0.0594478985273665
SVM-rbf,relief,0.654,0.019493588689617952,0.2906461316150585,0.04445211336150015
SVM-rbf,rf,0.6599999999999999,0.02828427124746187,0.36052030615355013,0.0171625270008909
SVM-rbf,xgb,0.664,0.013416407864998748,0.2835344501894879,0.1106584646833879
