fold,model,method,filter_corr,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
1,SVM-rbf,mutual_info,True,70,0.885,0.8572130055066465,0.63,0.17311103228095068,0.335,0.44850000000000007,0.4640248301535066
1,SVM-rbf,f_classif,True,70,0.9025,0.8824310444171656,0.63,0.33228301346319106,0.2925,0.3990000000000001,0.3848333749583749
1,SVM-rbf,rf,True,70,0.92,0.9051057246003096,0.63,0.3698296836982969,0.285,0.40549999999999997,0.35442123073005427
1,SVM-rbf,relief,True,70,0.9225,0.9083406117036195,0.66,0.3065512978986402,0.2925,0.4015000000000001,0.411360119047619
1,SVM-rbf,xgb,True,70,0.9,0.8783783783783783,0.67,0.3593161402492031,0.3075,0.4225,0.4271249999999999
2,SVM-rbf,mutual_info,True,70,0.8675,0.8310753093110195,0.65,0.3002153183635804,0.3375,0.4385,0.42519022227772224
2,SVM-rbf,f_classif,True,70,0.905,0.8858082082613893,0.7,0.48579823702252695,0.2825,0.41650000000000004,0.39994283494283495
2,SVM-rbf,rf,True,70,0.9,0.8790281931516517,0.64,0.33869115958668194,0.295,0.39150000000000007,0.39103810690943047
2,SVM-rbf,relief,True,70,0.905,0.8852097867085017,0.64,0.33869115958668194,0.27,0.4175,0.414964590964591
2,SVM-rbf,xgb,True,70,0.8975,0.8755990162188659,0.67,0.43176561295296834,0.315,0.42450000000000004,0.41196691625368087
3,SVM-rbf,mutual_info,True,70,0.8775,0.8462164361269325,0.68,0.32,0.38,0.4235000000000001,0.4169732836607837
3,SVM-rbf,f_classif,True,70,0.905,0.8858082082613893,0.69,0.44800000000000006,0.31,0.4375,0.4145899378399378
3,SVM-rbf,rf,True,70,0.9175,0.9018485951163374,0.69,0.3743784732377888,0.2975,0.41150000000000003,0.3991258325008325
3,SVM-rbf,relief,True,70,0.9225,0.9083406117036195,0.66,0.252,0.2875,0.4,0.4345141594516595
3,SVM-rbf,xgb,True,70,0.905,0.8852097867085017,0.65,0.181360201511335,0.335,0.41700000000000004,0.39127013958263956
4,SVM-rbf,mutual_info,True,70,0.8625,0.8232828870779976,0.68,0.26387009472259815,0.315,0.4185000000000001,0.4042650613275614
4,SVM-rbf,f_classif,True,70,0.9,0.8790281931516517,0.64,0.3766233766233767,0.31,0.42400000000000004,0.39721271090021093
4,SVM-rbf,rf,True,70,0.91,0.8919382504288165,0.69,0.3743784732377888,0.29,0.40549999999999997,0.392253891941392
4,SVM-rbf,relief,True,70,0.9,0.8783783783783783,0.68,0.32,0.305,0.4055,0.38962922494172486
4,SVM-rbf,xgb,True,70,0.87,0.8349146110056926,0.68,0.26387009472259815,0.345,0.41650000000000004,0.44187581168831164
5,SVM-rbf,mutual_info,True,70,0.8475,0.7989186981592586,0.66,0.3065512978986402,0.335,0.43650000000000005,0.41267277167277167
5,SVM-rbf,f_classif,True,70,0.885,0.8580345933881993,0.67,0.3593161402492031,0.26,0.4210000000000001,0.40742098179598174
5,SVM-rbf,rf,True,70,0.875,0.8434368737474951,0.65,0.34532374100719426,0.32,0.41050000000000003,0.40259409687534686
5,SVM-rbf,relief,True,70,0.8925,0.8679268009395085,0.63,0.23598820058997044,0.33,0.3930000000000001,0.41312162143412146
5,SVM-rbf,xgb,True,70,0.8675,0.8310753093110195,0.65,0.181360201511335,0.3525,0.436,0.43941734544695066
1,KNN,mutual_info,True,70,0.72,0.626234067207416,0.63,0.47629746124466404,0.335,0.44850000000000007,0.4640248301535066
1,KNN,f_classif,True,70,0.78,0.7157057654075546,0.63,0.47629746124466404,0.2925,0.3990000000000001,0.3848333749583749
1,KNN,rf,True,70,0.7775,0.685176128026934,0.63,0.33228301346319106,0.285,0.40549999999999997,0.35442123073005427
1,KNN,relief,True,70,0.725,0.53997461928934,0.62,0.23107049608355093,0.2925,0.4015000000000001,0.411360119047619
1,KNN,xgb,True,70,0.7575,0.6872466081404629,0.64,0.4621848739495798,0.3075,0.4225,0.4271249999999999
2,KNN,mutual_info,True,70,0.7275,0.6360788903039273,0.63,0.5272764145203813,0.3375,0.4385,0.42519022227772224
2,KNN,f_classif,True,70,0.8175,0.7764364317490049,0.64,0.5030198446937015,0.2825,0.41650000000000004,0.39994283494283495
2,KNN,rf,True,70,0.77,0.7077437188002804,0.61,0.44036697247706413,0.295,0.39150000000000007,0.39103810690943047
2,KNN,relief,True,70,0.77,0.6688326866439156,0.62,0.3632432432432433,0.27,0.4175,0.414964590964591
2,KNN,xgb,True,70,0.7575,0.6803901738818385,0.67,0.5076820307281229,0.315,0.42450000000000004,0.41196691625368087
3,KNN,mutual_info,True,70,0.745,0.6468702077234072,0.56,0.14917127071823202,0.38,0.4235000000000001,0.4169732836607837
3,KNN,f_classif,True,70,0.7825,0.7220617504465424,0.63,0.3698296836982969,0.31,0.4375,0.4145899378399378
3,KNN,rf,True,70,0.755,0.6652036199095024,0.64,0.3766233766233767,0.2975,0.41150000000000003,0.3991258325008325
3,KNN,relief,True,70,0.73,0.561122244488978,0.64,0.17714285714285716,0.2875,0.4,0.4345141594516595
3,KNN,xgb,True,70,0.785,0.7167135244009902,0.65,0.4449865820931935,0.335,0.41700000000000004,0.39127013958263956
4,KNN,mutual_info,True,70,0.7825,0.7141732531410397,0.6,0.43342776203966005,0.315,0.4185000000000001,0.4042650613275614
4,KNN,f_classif,True,70,0.7725,0.7226895728754722,0.64,0.5030198446937015,0.31,0.42400000000000004,0.39721271090021093
4,KNN,rf,True,70,0.7425,0.6502726617964812,0.66,0.42402464065708423,0.29,0.40549999999999997,0.392253891941392
4,KNN,relief,True,70,0.74,0.5856796769851952,0.64,0.29411764705882354,0.305,0.4055,0.38962922494172486
4,KNN,xgb,True,70,0.7475,0.6632244538368035,0.7,0.6220302375809935,0.345,0.41650000000000004,0.44187581168831164
5,KNN,mutual_info,True,70,0.7425,0.665945945945946,0.61,0.41619631901840487,0.335,0.43650000000000005,0.41267277167277167
5,KNN,f_classif,True,70,0.77,0.6854211998756606,0.64,0.5030198446937015,0.26,0.4210000000000001,0.40742098179598174
5,KNN,rf,True,70,0.7325,0.6116032160953431,0.67,0.48569434752267976,0.32,0.41050000000000003,0.40259409687534686
5,KNN,relief,True,70,0.7025,0.4738904010446986,0.63,0.23598820058997044,0.33,0.3930000000000001,0.41312162143412146
5,KNN,xgb,True,70,0.745,0.6658899050298981,0.67,0.5852560495216658,0.3525,0.436,0.43941734544695066
