model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
DecisionTree,f_classif,0.9007727114514446,0.037888839894370946,0.8660206041792928,0.054198912910028964
DecisionTree,mutual_info,0.9397006613296206,0.02853286564384937,0.9205601170925917,0.04037787548889022
DecisionTree,relief,0.9633693003828749,0.020632220556706687,0.9520899812860625,0.026606363375596076
DecisionTree,rf,0.952725374173338,0.015055759213242296,0.9375875783073544,0.020014391963290693
DecisionTree,xgb,0.9479846849982596,0.018915732183999518,0.9310169421282325,0.026026085852460305
KNN,f_classif,0.9184754611903934,0.031816447566056325,0.8894308426343238,0.04593952522235601
KNN,mutual_info,0.9432648799164636,0.01541749710431609,0.9249064701465454,0.021119564821709007
KNN,relief,0.9456178210929342,0.017481855925611287,0.9280381792475071,0.023298268828759912
KNN,rf,0.9562687086668987,0.005247040409231735,0.9425004065420396,0.0065279820878622235
KNN,xgb,0.9515280194918205,0.009767875897824536,0.93540029390297,0.013697977214318553
LogReg,f_classif,0.8333379742429516,0.02554512965733368,0.7285177591847466,0.05139230352384613
LogReg,mutual_info,0.8557744517925514,0.013824698390409671,0.7828382193395796,0.02526959626410012
LogReg,relief,0.8676018099547511,0.012397152246476893,0.8101089399241458,0.013108950950334262
LogReg,rf,0.8440027845457709,0.02605381198231369,0.7673905397743188,0.04431731219892387
LogReg,xgb,0.8593038635572572,0.03573432185563802,0.7953767738930526,0.053479181379114935
NaiveBayes,f_classif,0.7742777584406544,0.027636375670645395,0.6460566966711916,0.07591780961621689
NaiveBayes,mutual_info,0.7529620605638705,0.018296400649756427,0.5934145623333458,0.08425039836320031
NaiveBayes,relief,0.7352245040027846,0.021076673276110475,0.5553213468364616,0.06796250325622429
NaiveBayes,rf,0.7707135398538114,0.04939379703893549,0.6009432691189319,0.11444145968306042
NaiveBayes,xgb,0.7979115906717716,0.03790157679553094,0.6635079522166178,0.09697112697271852
RandomForest,f_classif,0.9409397841977027,0.0223128073845611,0.9199074372078593,0.03221959295764447
RandomForest,mutual_info,0.9598120431604595,0.013488297032327566,0.9453951101174412,0.018744190993537083
RandomForest,relief,0.9657292029237731,0.010544560026720176,0.9536559321590005,0.01506318585525834
RandomForest,rf,0.9704559693699965,0.005865460765302751,0.9607360333901284,0.008328552314609688
RandomForest,xgb,0.9716463626870867,0.012061495532298098,0.9619553919989734,0.01696573882152203
SVM-linear,f_classif,0.8499129829446572,0.03737675780167829,0.7679304234513127,0.06732524542488418
SVM-linear,mutual_info,0.8652279846849982,0.022034945277045224,0.8027292050341384,0.04524312257345171
SVM-linear,relief,0.8770623042116255,0.009812190708667064,0.8260953530768098,0.014883498554136183
SVM-linear,rf,0.8676226940480334,0.04150078576906184,0.8200417687741439,0.0568835839746371
SVM-linear,xgb,0.8770414201183432,0.034192787814970205,0.828915505114378,0.049599643119440276
SVM-rbf,f_classif,0.9267525234946049,0.03599548483170118,0.895561682733564,0.05512891122492428
SVM-rbf,mutual_info,0.9396936999651931,0.024228743623049418,0.9163751818828955,0.03752502276965284
SVM-rbf,relief,0.9550713539853811,0.013002256013043346,0.93751848974985,0.019015061618513424
SVM-rbf,rf,0.9633762617473025,0.015796093671540494,0.9515508573401916,0.021155072288787366
SVM-rbf,xgb,0.9621649843369301,0.015453601866215487,0.9487360814145033,0.022947403420717504
XGBoost,f_classif,0.9362199791159067,0.02390493419325424,0.9141212747304666,0.033914841951783556
XGBoost,mutual_info,0.9586286112077967,0.021741306269805763,0.944485106218693,0.02935285152485141
XGBoost,relief,0.9586286112077967,0.021741306269805784,0.9442041945373946,0.02964571903107894
XGBoost,rf,0.9681030281935259,0.011442120075857166,0.9574253815991668,0.01608219194487072
XGBoost,xgb,0.9692794987817612,0.012777887338928548,0.9588470899249233,0.018104438557917723
