model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
DecisionTree,f_classif,0.7148148148148148,0.05493480360811601,0.6971318259046092,0.07492831336396348
DecisionTree,mutual_info,0.7666666666666667,0.048290388186686226,0.758945272706233,0.04768962964031894
DecisionTree,relief,0.8037037037037036,0.016563466499998424,0.7954294269882821,0.018823863794129116
DecisionTree,rf,0.7481481481481481,0.05003428180039366,0.7381374360580842,0.058013274842511446
DecisionTree,xgb,0.8037037037037036,0.0564738914147293,0.7928262608943732,0.06427435827623552
KNN,f_classif,0.7962962962962963,0.06928995160692482,0.7881002234177334,0.07612231212764536
KNN,mutual_info,0.8037037037037036,0.07812971522121849,0.7969380208499095,0.08458806542455986
KNN,relief,0.8074074074074075,0.08135512087588444,0.8004425510666401,0.08743359952083435
KNN,rf,0.8185185185185185,0.05616944773371522,0.813268132727082,0.059534922589905795
KNN,xgb,0.7962962962962963,0.06804138174397718,0.7897267446929834,0.07232454969495358
LogReg,f_classif,0.8333333333333334,0.037037037037037014,0.8287770107387702,0.03993563907361735
LogReg,mutual_info,0.8333333333333334,0.06279935169560434,0.8289166915013373,0.06673620413226108
LogReg,relief,0.837037037037037,0.06854353897526572,0.8323498839267242,0.07208432810792384
LogReg,rf,0.837037037037037,0.03312693299999688,0.8320891097391299,0.03612892711188827
LogReg,xgb,0.8333333333333334,0.07407407407407404,0.8285896344069362,0.07699294787239531
NaiveBayes,f_classif,0.8296296296296296,0.035621081595687686,0.826018496270127,0.03722802142042542
NaiveBayes,mutual_info,0.8185185185185185,0.06057565642146713,0.8158419184480129,0.06265998715107424
NaiveBayes,relief,0.8296296296296296,0.06599455437483505,0.8264801988512357,0.06783859528532196
NaiveBayes,rf,0.8333333333333334,0.04721314364437767,0.8300439865274137,0.04938450746656585
NaiveBayes,xgb,0.837037037037037,0.06599455437483503,0.8328748095548976,0.06774904868334951
RandomForest,f_classif,0.7592592592592593,0.06279935169560436,0.7517020739126562,0.06342848971859007
RandomForest,mutual_info,0.8,0.05138680342782081,0.7932797025170925,0.05489148471047456
RandomForest,relief,0.8148148148148149,0.029280348705262745,0.8080163947679051,0.032762266578215925
RandomForest,rf,0.7962962962962963,0.013094570021973107,0.7900867919757897,0.014115671418581336
RandomForest,xgb,0.8111111111111111,0.05616944773371519,0.8014674907580048,0.06502346042962547
SVM-linear,f_classif,0.8296296296296296,0.04421235698634564,0.8243309643556254,0.04858703729972677
SVM-linear,mutual_info,0.825925925925926,0.05943261679956006,0.8208203623732647,0.0626741404323699
SVM-linear,relief,0.837037037037037,0.0646824044317518,0.8319489484018254,0.06822871918486684
SVM-linear,rf,0.8333333333333334,0.04140866624999608,0.8288506573333096,0.0440576327528828
SVM-linear,xgb,0.8333333333333334,0.07407407407407404,0.8289176668424417,0.07697568012935933
SVM-rbf,f_classif,0.8296296296296296,0.04969039949999532,0.8247661326480358,0.051609871975668346
SVM-rbf,mutual_info,0.8148148148148149,0.07635380788180851,0.8098778333165297,0.08087356525275007
SVM-rbf,relief,0.8148148148148149,0.0763538078818085,0.8090700873359726,0.08042839256570619
SVM-rbf,rf,0.8222222222222222,0.03609923831410727,0.8180703427055844,0.03671841426631932
SVM-rbf,xgb,0.837037037037037,0.06978312474598805,0.8312684306879957,0.07360000876464062
XGBoost,f_classif,0.7333333333333333,0.03364055948997212,0.7249431055546228,0.037846058387923716
XGBoost,mutual_info,0.7814814814814814,0.03562108159568765,0.7741756890771404,0.04122036585096185
XGBoost,relief,0.8074074074074075,0.036099238314107295,0.799161191675965,0.04301614253733753
XGBoost,rf,0.774074074074074,0.027467401804058017,0.7670048391418633,0.02910722243487166
XGBoost,xgb,0.8074074074074075,0.06085806194501847,0.7989680880533616,0.06740937554835862
