model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.9472752678155565,0.016412099883698426,0.9430686364327088,0.01744742969169345
KNN,mutual_info,0.9525694767893184,0.007724638532935193,0.9482199130021012,0.009192725077099393
KNN,relief,0.9490296537804689,0.020953482901065242,0.9448668301913339,0.02284401518739546
KNN,rf,0.9454743052321067,0.024518717798850734,0.9412921373558841,0.026267662849986186
KNN,xgb,0.9578481602235677,0.014350210063347845,0.954111391558245,0.01608527278638038
SVM-rbf,f_classif,0.9683589504735289,0.007881715640656187,0.9658934344927884,0.008621008121405881
SVM-rbf,mutual_info,0.9631113181183046,0.011383963556648193,0.9601965557523335,0.01243418419721669
SVM-rbf,relief,0.9666045645086166,0.009624331908906308,0.9639204402214482,0.010677741074973606
SVM-rbf,rf,0.9701288619779538,0.00476301437451165,0.967826971471635,0.005510858639300465
SVM-rbf,xgb,0.9666200900481291,0.00728398518953328,0.9638647381881997,0.008283545366694348
