model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
DecisionTree,f_classif,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
DecisionTree,mutual_info,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
DecisionTree,relief,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
DecisionTree,rf,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
DecisionTree,xgb,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
KNN,f_classif,0.9404705882352941,0.031134390148256984,0.9402424166695944,0.03134636831637436
KNN,mutual_info,0.948313725490196,0.02284360009629558,0.9481180470924985,0.022934885865105555
KNN,relief,0.9404705882352941,0.031134390148256984,0.9403770628027257,0.031137961563826817
KNN,rf,0.9364705882352942,0.029224238779766747,0.9362096381315353,0.02941750630333513
KNN,xgb,0.9087843137254902,0.04728182456564103,0.9083016810930413,0.047894219676344954
LogReg,f_classif,0.9841568627450981,0.008858753222125513,0.984141273816172,0.008867222487558866
LogReg,mutual_info,0.988156862745098,0.01081244103796823,0.9881429071358945,0.010825046568787942
LogReg,relief,0.9841568627450981,0.008858753222125513,0.984141273816172,0.008867222487558866
LogReg,rf,0.9841568627450981,0.008858753222125513,0.984141273816172,0.008867222487558866
LogReg,xgb,0.988156862745098,0.01081244103796823,0.9881429071358945,0.010825046568787942
NaiveBayes,f_classif,0.8609411764705882,0.07469152247351613,0.8602215728966381,0.07531028194699904
NaiveBayes,mutual_info,0.8608627450980393,0.06795264877818069,0.8601720952477333,0.0685684114492015
NaiveBayes,relief,0.8687843137254901,0.07178323986535497,0.8680817225692292,0.0724778991520605
NaiveBayes,rf,0.8609411764705882,0.07469152247351613,0.8604030157639428,0.07506631316785571
NaiveBayes,xgb,0.908470588235294,0.039373798902120456,0.9082720481176493,0.039546298842998734
RandomForest,f_classif,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
RandomForest,mutual_info,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
RandomForest,relief,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
RandomForest,rf,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
RandomForest,xgb,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
SVM-linear,f_classif,0.988156862745098,0.010812441037968216,0.9881429071358945,0.010825046568787942
SVM-linear,mutual_info,0.988156862745098,0.010812441037968216,0.9881429071358945,0.010825046568787942
SVM-linear,relief,0.988156862745098,0.010812441037968216,0.9881429071358945,0.010825046568787942
SVM-linear,rf,0.988156862745098,0.010812441037968216,0.9881429071358945,0.010825046568787942
SVM-linear,xgb,0.9921568627450981,0.01753778805882183,0.9921537229783827,0.01754480879063087
SVM-rbf,f_classif,0.960235294117647,0.014284418022147428,0.9601531478901688,0.014355722477151356
SVM-rbf,mutual_info,0.9642352941176471,0.009038343711929688,0.9641455907457145,0.009073681217167945
SVM-rbf,relief,0.960235294117647,0.014284418022147428,0.9601531478901688,0.014355722477151356
SVM-rbf,rf,0.9562352941176471,0.01692328394277894,0.9561203693521099,0.017018242041422348
SVM-rbf,xgb,0.964313725490196,0.03269986308460073,0.964103332847527,0.03294558302037582
XGBoost,f_classif,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
XGBoost,mutual_info,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
XGBoost,relief,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
XGBoost,rf,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
XGBoost,xgb,0.996078431372549,0.008768894029410924,0.9960722702278083,0.008782670767870343
