model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.9179487179487179,0.021452821193181395,0.8869684030354161,0.030923605702671348
KNN,mutual_info,0.9076923076923077,0.022934030538459403,0.8667393011862495,0.04113312447902179
KNN,relief,0.923076923076923,0.025641025641025595,0.8898814301478041,0.03769219795963727
KNN,rf,0.9128205128205128,0.046579236216884486,0.8723584464497559,0.07368271171613201
KNN,xgb,0.9025641025641026,0.028088336282316228,0.861110057161186,0.04268123606822768
SVM-rbf,f_classif,0.8615384615384615,0.046579236216884534,0.7347239124685494,0.12555868449727145
SVM-rbf,mutual_info,0.8717948717948719,0.025641025641025657,0.7788093382159799,0.06213277489806442
SVM-rbf,relief,0.8871794871794872,0.03440104580768913,0.8075253718787044,0.06432282203019563
SVM-rbf,rf,0.876923076923077,0.04213250442347435,0.7785545763097216,0.09048509517153733
SVM-rbf,xgb,0.8717948717948719,0.03626188621469476,0.7711487098649534,0.08232104897857878
