model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.826,0.03209361307176243,0.7519439983299121,0.05035197354923352
KNN,mutual_info,0.8140000000000001,0.03361547262794314,0.7334157232976538,0.05987521839147293
KNN,relief,0.764,0.026076809620810642,0.5597818852874873,0.09610698062029978
KNN,rf,0.79,0.02915475947422649,0.6671017083256606,0.06438860983006953
KNN,xgb,0.8119999999999999,0.01643167672515493,0.7311677240309299,0.029356864745272812
SVM-rbf,f_classif,0.788,0.031144823004794854,0.6465045676687251,0.07532371731653062
SVM-rbf,mutual_info,0.768,0.016431676725154998,0.5862384093663232,0.06149584534688704
SVM-rbf,relief,0.784,0.02190890230020665,0.6463866168951437,0.054040868913122445
SVM-rbf,rf,0.788,0.025884358211089545,0.654309920814669,0.06087649370952518
SVM-rbf,xgb,0.782,0.022803508501982768,0.6277784615431026,0.056220678283289166
