model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.8635010060362174,0.06637713823662872,0.8363120373208973,0.08052404637535326
KNN,mutual_info,0.8633400402414487,0.04066512382951986,0.8291056934881276,0.055746628966751824
KNN,relief,0.8718712273641851,0.026146647099716654,0.8444510817012327,0.035409448609256065
KNN,rf,0.871830985915493,0.031730835230107696,0.8435323005678759,0.040880297952883886
KNN,xgb,0.8862374245472837,0.04176943160160145,0.8619774661503321,0.05747393983331547
SVM-rbf,f_classif,0.9174647887323945,0.030568075639773037,0.9064291534660734,0.03550614553682313
SVM-rbf,mutual_info,0.9488128772635814,0.029277071328572858,0.9430107449837111,0.033029581044752315
SVM-rbf,relief,0.9317505030181087,0.0320148482407184,0.9236893479681296,0.036257978565379635
SVM-rbf,rf,0.9488531187122737,0.027234201280201865,0.942649871618228,0.0317828814002461
SVM-rbf,xgb,0.9288933601609658,0.026082776763984815,0.9208794197242929,0.030070769083165406
