fold,model,method,filter_corr,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
1,SVM-rbf,mutual_info,True,30,0.92,0.902642283144284,0.84,0.7795275590551181,0.2225,0.312,0.3138303571428571
1,SVM-rbf,f_classif,True,30,0.9375,0.9255804723159357,0.91,0.8896077638495755,0.2075,0.27899999999999997,0.2515922619047619
1,SVM-rbf,rf,True,30,0.95,0.9413127413127413,0.95,0.9415816012790555,0.135,0.203,0.20144859307359309
1,SVM-rbf,relief,True,30,0.95,0.9413127413127413,0.95,0.9415816012790555,0.1575,0.229,0.23102597402597402
1,SVM-rbf,xgb,True,30,0.9575,0.9502973305139732,0.93,0.9179170344218889,0.175,0.24450000000000002,0.21486625180375177
2,SVM-rbf,mutual_info,True,30,0.94,0.9284173118416043,0.78,0.7073669849931786,0.2225,0.2735,0.24206746031746032
2,SVM-rbf,f_classif,True,30,0.9375,0.9255804723159357,0.84,0.8023529411764706,0.16,0.2515,0.21580167748917745
2,SVM-rbf,rf,True,30,0.96,0.9535544737080826,0.88,0.8499147242751564,0.1375,0.20099999999999998,0.17997619047619046
2,SVM-rbf,relief,True,30,0.96,0.9533471024176893,0.87,0.8349146110056926,0.1325,0.20350000000000001,0.18827489177489176
2,SVM-rbf,xgb,True,30,0.9625,0.9563792100671494,0.83,0.7751394422310758,0.155,0.21950000000000003,0.1995267857142857
3,SVM-rbf,mutual_info,True,30,0.9425,0.9309188250384405,0.83,0.7683467410934166,0.185,0.258,0.22639186507936507
3,SVM-rbf,f_classif,True,30,0.9525,0.9436105160662123,0.83,0.7608069164265129,0.1925,0.2425,0.23083928571428572
3,SVM-rbf,rf,True,30,0.96,0.9533471024176893,0.88,0.8461538461538461,0.1425,0.1975,0.15387499999999998
3,SVM-rbf,relief,True,30,0.9625,0.9563792100671494,0.88,0.8461538461538461,0.1275,0.20900000000000002,0.18520535714285713
3,SVM-rbf,xgb,True,30,0.9675,0.9622271775119942,0.87,0.8349146110056926,0.1625,0.22950000000000004,0.23136904761904764
4,SVM-rbf,mutual_info,True,30,0.935,0.9211712442037678,0.82,0.764367816091954,0.1825,0.265,0.2516785714285714
4,SVM-rbf,f_classif,True,30,0.9425,0.9316032340761191,0.85,0.8130224373075231,0.18,0.245,0.22739583333333335
4,SVM-rbf,rf,True,30,0.9525,0.9444004946274548,0.95,0.9415816012790555,0.145,0.21600000000000003,0.1972827380952381
4,SVM-rbf,relief,True,30,0.95,0.9413127413127413,0.92,0.9051057246003095,0.14,0.22649999999999998,0.22757638888888887
4,SVM-rbf,xgb,True,30,0.945,0.9344494892167992,0.83,0.7812742210509999,0.1625,0.23450000000000004,0.23011477411477407
5,SVM-rbf,mutual_info,True,30,0.9475,0.9382060419723756,0.81,0.7466666666666667,0.195,0.2805,0.22887797619047617
5,SVM-rbf,f_classif,True,30,0.9525,0.9444004946274548,0.81,0.7466666666666667,0.175,0.24749999999999997,0.255265376984127
5,SVM-rbf,rf,True,30,0.9475,0.9382060419723756,0.87,0.8424571667363143,0.1325,0.191,0.18495535714285716
5,SVM-rbf,relief,True,30,0.95,0.9413127413127412,0.86,0.8238736102984202,0.1175,0.2175,0.21132278138528135
5,SVM-rbf,xgb,True,30,0.965,0.9595702657409624,0.88,0.8564437194127243,0.1325,0.19700000000000004,0.19209145021645022
1,KNN,mutual_info,True,30,0.8575,0.8211433433048824,0.81,0.7466666666666666,0.2225,0.312,0.3138303571428571
1,KNN,f_classif,True,30,0.865,0.8304167876851583,0.82,0.7763636363636364,0.2075,0.27899999999999997,0.2515922619047619
