dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18b,1,f_classif,1,77,SVM-rbf,0.65,0.3002153183635804
ArtificialDataset18b,1,f_classif,1,77,KNN,0.58,0.44077134986225897
ArtificialDataset18b,1,f_classif,2,77,SVM-rbf,0.64,0.24110671936758893
ArtificialDataset18b,1,f_classif,2,77,KNN,0.6,0.43342776203966016
ArtificialDataset18b,1,f_classif,3,77,SVM-rbf,0.68,0.32
ArtificialDataset18b,1,f_classif,3,77,KNN,0.6,0.40944881889763773
ArtificialDataset18b,1,f_classif,4,77,SVM-rbf,0.69,0.41413311421528354
ArtificialDataset18b,1,f_classif,4,77,KNN,0.55,0.3779844181955265
ArtificialDataset18b,1,f_classif,5,77,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18b,1,f_classif,5,77,KNN,0.54,0.37209302325581395
ArtificialDataset18b,1,f_classif,6,77,SVM-rbf,0.7,0.3346007604562738
ArtificialDataset18b,1,f_classif,6,77,KNN,0.61,0.46164290563475907
ArtificialDataset18b,1,f_classif,7,77,SVM-rbf,0.69,0.32714690154136516
ArtificialDataset18b,1,f_classif,7,77,KNN,0.52,0.36065573770491804
ArtificialDataset18b,1,f_classif,8,77,SVM-rbf,0.7,0.3346007604562738
ArtificialDataset18b,1,f_classif,8,77,KNN,0.59,0.4475907741493493
ArtificialDataset18b,1,f_classif,9,77,SVM-rbf,0.7,0.3346007604562738
ArtificialDataset18b,1,f_classif,9,77,KNN,0.63,0.40215439856373425
ArtificialDataset18b,1,f_classif,10,77,SVM-rbf,0.68,0.32
ArtificialDataset18b,1,f_classif,10,77,KNN,0.6,0.3506493506493507
ArtificialDataset18b,1,f_classif,11,77,SVM-rbf,0.7,0.42244224422442245
ArtificialDataset18b,1,f_classif,11,77,KNN,0.58,0.3387622149837134
ArtificialDataset18b,1,f_classif,12,77,SVM-rbf,0.69,0.37437847323778883
ArtificialDataset18b,1,f_classif,12,77,KNN,0.58,0.21317829457364343
ArtificialDataset18b,1,f_classif,13,77,SVM-rbf,0.73,0.5134534682794372
ArtificialDataset18b,1,f_classif,13,77,KNN,0.62,0.3632432432432432
ArtificialDataset18b,1,f_classif,14,77,SVM-rbf,0.71,0.46533367956374966
ArtificialDataset18b,1,f_classif,14,77,KNN,0.63,0.40215439856373425
ArtificialDataset18b,1,f_classif,15,77,SVM-rbf,0.74,0.5709188224799288
ArtificialDataset18b,1,f_classif,15,77,KNN,0.63,0.40215439856373425
ArtificialDataset18b,1,f_classif,16,77,SVM-rbf,0.75,0.5810055865921787
ArtificialDataset18b,1,f_classif,16,77,KNN,0.63,0.40215439856373425
ArtificialDataset18b,1,f_classif,17,77,SVM-rbf,0.73,0.5389473684210526
ArtificialDataset18b,1,f_classif,17,77,KNN,0.67,0.4606001463771652
ArtificialDataset18b,1,f_classif,18,77,SVM-rbf,0.72,0.5294117647058825
ArtificialDataset18b,1,f_classif,18,77,KNN,0.68,0.493953488372093
ArtificialDataset18b,1,f_classif,19,77,SVM-rbf,0.71,0.4947239263803681
ArtificialDataset18b,1,f_classif,19,77,KNN,0.67,0.48569434752267976
ArtificialDataset18b,1,f_classif,20,77,SVM-rbf,0.72,0.5294117647058825
ArtificialDataset18b,1,f_classif,20,77,KNN,0.65,0.44498658209319353
ArtificialDataset18b,1,f_classif,21,77,SVM-rbf,0.71,0.4947239263803681
ArtificialDataset18b,1,f_classif,21,77,KNN,0.6,0.40944881889763773
ArtificialDataset18b,1,f_classif,22,77,SVM-rbf,0.72,0.5039370078740157
ArtificialDataset18b,1,f_classif,22,77,KNN,0.63,0.40215439856373425
ArtificialDataset18b,1,f_classif,23,77,SVM-rbf,0.72,0.5039370078740157
ArtificialDataset18b,1,f_classif,23,77,KNN,0.61,0.41619631901840487
ArtificialDataset18b,1,f_classif,24,77,SVM-rbf,0.72,0.4744525547445256
ArtificialDataset18b,1,f_classif,24,77,KNN,0.63,0.4547368421052631
ArtificialDataset18b,1,f_classif,25,77,SVM-rbf,0.72,0.4744525547445256
ArtificialDataset18b,1,f_classif,25,77,KNN,0.65,0.5279103548454036
ArtificialDataset18b,1,f_classif,26,77,SVM-rbf,0.73,0.5134534682794372
ArtificialDataset18b,1,f_classif,26,77,KNN,0.68,0.56791104050834
ArtificialDataset18b,1,f_classif,27,77,SVM-rbf,0.72,0.5039370078740157
ArtificialDataset18b,1,f_classif,27,77,KNN,0.66,0.5647788983708301
ArtificialDataset18b,1,f_classif,28,77,SVM-rbf,0.72,0.5039370078740157
ArtificialDataset18b,1,f_classif,28,77,KNN,0.66,0.5647788983708301
ArtificialDataset18b,1,f_classif,29,77,SVM-rbf,0.73,0.5134534682794372
ArtificialDataset18b,1,f_classif,29,77,KNN,0.66,0.5359801488833746
ArtificialDataset18b,1,f_classif,30,77,SVM-rbf,0.73,0.5134534682794372
ArtificialDataset18b,1,f_classif,30,77,KNN,0.69,0.544020464719676
ArtificialDataset18b,1,f_classif,31,77,SVM-rbf,0.72,0.4744525547445256
ArtificialDataset18b,1,f_classif,31,77,KNN,0.64,0.5030198446937014
ArtificialDataset18b,1,f_classif,32,77,SVM-rbf,0.71,0.46533367956374966
ArtificialDataset18b,1,f_classif,32,77,KNN,0.63,0.512241054613936
ArtificialDataset18b,1,f_classif,33,77,SVM-rbf,0.7,0.42244224422442245
ArtificialDataset18b,1,f_classif,33,77,KNN,0.7,0.5989304812834224
ArtificialDataset18b,1,f_classif,34,77,SVM-rbf,0.7,0.45652173913043476
ArtificialDataset18b,1,f_classif,34,77,KNN,0.67,0.5076820307281229
ArtificialDataset18b,1,f_classif,35,77,SVM-rbf,0.69,0.37437847323778883
ArtificialDataset18b,1,f_classif,35,77,KNN,0.61,0.48045424765232586
ArtificialDataset18b,1,f_classif,36,77,SVM-rbf,0.68,0.36670547147846333
ArtificialDataset18b,1,f_classif,36,77,KNN,0.61,0.48045424765232586
ArtificialDataset18b,1,f_classif,37,77,SVM-rbf,0.69,0.37437847323778883
ArtificialDataset18b,1,f_classif,37,77,KNN,0.62,0.5046257359125316
ArtificialDataset18b,1,f_classif,38,77,SVM-rbf,0.68,0.32
ArtificialDataset18b,1,f_classif,38,77,KNN,0.64,0.52
ArtificialDataset18b,1,f_classif,39,77,SVM-rbf,0.7,0.42244224422442245
ArtificialDataset18b,1,f_classif,39,77,KNN,0.64,0.52
ArtificialDataset18b,1,f_classif,40,77,SVM-rbf,0.7,0.42244224422442245
ArtificialDataset18b,1,f_classif,40,77,KNN,0.64,0.52
ArtificialDataset18b,1,f_classif,41,77,SVM-rbf,0.68,0.36670547147846333
ArtificialDataset18b,1,f_classif,41,77,KNN,0.6,0.4545454545454546
ArtificialDataset18b,1,f_classif,42,77,SVM-rbf,0.69,0.37437847323778883
ArtificialDataset18b,1,f_classif,42,77,KNN,0.62,0.48782608695652174
ArtificialDataset18b,1,f_classif,43,77,SVM-rbf,0.67,0.3131407269338304
ArtificialDataset18b,1,f_classif,43,77,KNN,0.59,0.4475907741493493
ArtificialDataset18b,1,f_classif,44,77,SVM-rbf,0.69,0.41413311421528354
ArtificialDataset18b,1,f_classif,44,77,KNN,0.59,0.4661222688148311
ArtificialDataset18b,1,f_classif,45,77,SVM-rbf,0.67,0.3131407269338304
ArtificialDataset18b,1,f_classif,45,77,KNN,0.59,0.48256684491978613
ArtificialDataset18b,1,f_classif,46,77,SVM-rbf,0.68,0.32
ArtificialDataset18b,1,f_classif,46,77,KNN,0.57,0.39014680268723556
