dataset,fold,method,k,n_available_features,model,acc_test,gps_test
parkinsons,1,f_classif,1,11,SVM-rbf,0.8205128205128205,0.7358490566037736
parkinsons,1,f_classif,1,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,f_classif,2,11,SVM-rbf,0.8205128205128205,0.7068062827225131
parkinsons,1,f_classif,2,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,f_classif,3,11,SVM-rbf,0.8205128205128205,0.6666666666666666
parkinsons,1,f_classif,3,11,KNN,0.7692307692307693,0.6493506493506493
parkinsons,1,f_classif,4,11,SVM-rbf,0.8205128205128205,0.6666666666666666
parkinsons,1,f_classif,4,11,KNN,0.8205128205128205,0.7358490566037736
parkinsons,1,f_classif,5,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,f_classif,5,11,KNN,0.8461538461538461,0.7659574468085106
parkinsons,1,f_classif,6,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,f_classif,6,11,KNN,0.9230769230769231,0.882608695652174
parkinsons,1,f_classif,7,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,f_classif,7,11,KNN,0.8717948717948718,0.8164146868250538
parkinsons,1,f_classif,8,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,f_classif,8,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,f_classif,9,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,f_classif,9,11,KNN,0.8717948717948718,0.8164146868250538
parkinsons,1,f_classif,10,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,f_classif,10,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,f_classif,11,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,f_classif,11,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,mutual_info,1,11,SVM-rbf,0.8205128205128205,0.7358490566037736
parkinsons,1,mutual_info,1,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,mutual_info,2,11,SVM-rbf,0.8205128205128205,0.7068062827225131
parkinsons,1,mutual_info,2,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,mutual_info,3,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,mutual_info,3,11,KNN,0.8205128205128205,0.7358490566037736
parkinsons,1,mutual_info,4,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,mutual_info,4,11,KNN,0.7948717948717948,0.7075471698113207
parkinsons,1,mutual_info,5,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,mutual_info,5,11,KNN,0.8461538461538461,0.7659574468085106
parkinsons,1,mutual_info,6,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,mutual_info,6,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,1,mutual_info,7,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,mutual_info,7,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,1,mutual_info,8,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,mutual_info,8,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,1,mutual_info,9,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,mutual_info,9,11,KNN,0.9230769230769231,0.882608695652174
parkinsons,1,mutual_info,10,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,mutual_info,10,11,KNN,0.9230769230769231,0.882608695652174
parkinsons,1,mutual_info,11,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,mutual_info,11,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,relief,1,11,SVM-rbf,0.8205128205128205,0.7358490566037736
parkinsons,1,relief,1,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,relief,2,11,SVM-rbf,0.8717948717948718,0.7980997624703089
parkinsons,1,relief,2,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,relief,3,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,relief,3,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,1,relief,4,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,relief,4,11,KNN,0.7948717948717948,0.7075471698113207
parkinsons,1,relief,5,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,relief,5,11,KNN,0.8461538461538461,0.7659574468085106
parkinsons,1,relief,6,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,relief,6,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,1,relief,7,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,relief,7,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,1,relief,8,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,relief,8,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,relief,9,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,relief,9,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,relief,10,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,relief,10,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,relief,11,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,relief,11,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,rf,1,11,SVM-rbf,0.8205128205128205,0.7358490566037736
parkinsons,1,rf,1,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,rf,2,11,SVM-rbf,0.8205128205128205,0.7068062827225131
parkinsons,1,rf,2,11,KNN,0.7948717948717948,0.6770833333333334
parkinsons,1,rf,3,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,3,11,KNN,0.8205128205128205,0.7358490566037736
parkinsons,1,rf,4,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,4,11,KNN,0.7948717948717948,0.7075471698113207
parkinsons,1,rf,5,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,5,11,KNN,0.8461538461538461,0.7659574468085106
parkinsons,1,rf,6,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,6,11,KNN,0.8717948717948718,0.8164146868250538
parkinsons,1,rf,7,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,7,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,rf,8,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,8,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,rf,9,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,9,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,1,rf,10,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,1,rf,10,11,KNN,0.8717948717948718,0.8164146868250538
parkinsons,1,rf,11,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,1,rf,11,11,KNN,0.8974358974358975,0.8484848484848485
parkinsons,2,f_classif,1,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,f_classif,1,11,KNN,0.7692307692307693,0.6493506493506493
parkinsons,2,f_classif,2,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,f_classif,2,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,2,f_classif,3,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,f_classif,3,11,KNN,0.8205128205128205,0.7068062827225131
parkinsons,2,f_classif,4,11,SVM-rbf,0.8717948717948718,0.7733333333333333
parkinsons,2,f_classif,4,11,KNN,0.8717948717948718,0.8164146868250538
parkinsons,2,f_classif,5,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,f_classif,5,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,f_classif,6,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,f_classif,6,11,KNN,0.9230769230769231,0.9
parkinsons,2,f_classif,7,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,f_classif,7,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,f_classif,8,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,f_classif,8,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,f_classif,9,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,f_classif,9,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,f_classif,10,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,f_classif,10,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,f_classif,11,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,f_classif,11,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,mutual_info,1,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,mutual_info,1,11,KNN,0.7692307692307693,0.6493506493506493
parkinsons,2,mutual_info,2,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,mutual_info,2,11,KNN,0.8974358974358975,0.8605577689243028
parkinsons,2,mutual_info,3,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,mutual_info,3,11,KNN,0.8974358974358975,0.8698884758364313
parkinsons,2,mutual_info,4,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,mutual_info,4,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,mutual_info,5,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,mutual_info,5,11,KNN,0.8974358974358975,0.8605577689243028
parkinsons,2,mutual_info,6,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,mutual_info,6,11,KNN,0.9487179487179487,0.9261477045908182
parkinsons,2,mutual_info,7,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,mutual_info,7,11,KNN,0.9230769230769231,0.9
parkinsons,2,mutual_info,8,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,mutual_info,8,11,KNN,0.9230769230769231,0.9
parkinsons,2,mutual_info,9,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,mutual_info,9,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,mutual_info,10,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,mutual_info,10,11,KNN,0.9230769230769231,0.9
parkinsons,2,mutual_info,11,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,mutual_info,11,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,relief,1,11,SVM-rbf,0.8205128205128205,0.5172413793103448
parkinsons,2,relief,1,11,KNN,0.8461538461538461,0.7009063444108761
parkinsons,2,relief,2,11,SVM-rbf,0.7692307692307693,0.3005181347150259
parkinsons,2,relief,2,11,KNN,0.8717948717948718,0.7733333333333333
parkinsons,2,relief,3,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,relief,3,11,KNN,0.8461538461538461,0.7861771058315334
parkinsons,2,relief,4,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,relief,4,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,relief,5,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,relief,5,11,KNN,0.8974358974358975,0.8605577689243028
parkinsons,2,relief,6,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,relief,6,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,relief,7,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,relief,7,11,KNN,0.9743589743589743,0.9648798521256933
parkinsons,2,relief,8,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,relief,8,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,relief,9,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,relief,9,11,KNN,0.9230769230769231,0.9
parkinsons,2,relief,10,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,relief,10,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,relief,11,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,relief,11,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,rf,1,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,rf,1,11,KNN,0.7692307692307693,0.6493506493506493
parkinsons,2,rf,2,11,SVM-rbf,0.8461538461538461,0.7387862796833773
parkinsons,2,rf,2,11,KNN,0.8717948717948718,0.7980997624703089
parkinsons,2,rf,3,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,rf,3,11,KNN,0.8974358974358975,0.8698884758364313
parkinsons,2,rf,4,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,rf,4,11,KNN,0.9230769230769231,0.8924302788844624
parkinsons,2,rf,5,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,rf,5,11,KNN,0.8974358974358975,0.8605577689243028
parkinsons,2,rf,6,11,SVM-rbf,0.8974358974358975,0.832535885167464
parkinsons,2,rf,6,11,KNN,0.9487179487179487,0.9261477045908182
parkinsons,2,rf,7,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,rf,7,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,rf,8,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,rf,8,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,rf,9,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,rf,9,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,rf,10,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,rf,10,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,2,rf,11,11,SVM-rbf,0.9230769230769231,0.8695652173913043
parkinsons,2,rf,11,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,3,f_classif,1,11,SVM-rbf,0.8717948717948718,0.7980997624703087
parkinsons,3,f_classif,1,11,KNN,0.8461538461538461,0.7659574468085106
parkinsons,3,f_classif,2,11,SVM-rbf,0.8717948717948718,0.7980997624703087
parkinsons,3,f_classif,2,11,KNN,0.8974358974358975,0.8605577689243029
parkinsons,3,f_classif,3,11,SVM-rbf,0.8974358974358975,0.8484848484848485
parkinsons,3,f_classif,3,11,KNN,0.8717948717948718,0.8164146868250538
parkinsons,3,f_classif,4,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,f_classif,4,11,KNN,0.8717948717948718,0.8303393213572855
parkinsons,3,f_classif,5,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,f_classif,5,11,KNN,0.9487179487179487,0.9316081330868762
parkinsons,3,f_classif,6,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,f_classif,6,11,KNN,0.9487179487179487,0.9358752166377816
parkinsons,3,f_classif,7,11,SVM-rbf,0.8974358974358975,0.8484848484848485
parkinsons,3,f_classif,7,11,KNN,0.9230769230769231,0.9059233449477352
parkinsons,3,f_classif,8,11,SVM-rbf,0.8974358974358975,0.8484848484848485
parkinsons,3,f_classif,8,11,KNN,0.8974358974358975,0.8698884758364314
parkinsons,3,f_classif,9,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,f_classif,9,11,KNN,0.8974358974358975,0.8698884758364314
parkinsons,3,f_classif,10,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,f_classif,10,11,KNN,0.9230769230769231,0.8924302788844624
parkinsons,3,f_classif,11,11,SVM-rbf,0.8974358974358975,0.8484848484848485
parkinsons,3,f_classif,11,11,KNN,0.9230769230769231,0.8924302788844624
parkinsons,3,mutual_info,1,11,SVM-rbf,0.8717948717948718,0.7980997624703087
parkinsons,3,mutual_info,1,11,KNN,0.8461538461538461,0.7659574468085106
parkinsons,3,mutual_info,2,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,mutual_info,2,11,KNN,0.9743589743589743,0.9648798521256933
parkinsons,3,mutual_info,3,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,mutual_info,3,11,KNN,0.9230769230769231,0.8924302788844624
parkinsons,3,mutual_info,4,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,mutual_info,4,11,KNN,0.9230769230769231,0.8924302788844624
parkinsons,3,mutual_info,5,11,SVM-rbf,0.9230769230769231,0.8826086956521739
parkinsons,3,mutual_info,5,11,KNN,0.9230769230769231,0.8924302788844624
