model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.626,0.03209361307176245,0.3322326321528876,0.08602728536794314
KNN,mutual_info,0.636,0.03209361307176246,0.37861071243114264,0.11422289432194126
KNN,relief,0.654,0.038470768123342686,0.232791782531052,0.09204784464819067
KNN,rf,0.662,0.004472135954999583,0.28371422165860627,0.05482315912648466
KNN,xgb,0.642,0.035637059362410954,0.4244229934342762,0.08517085495358216
SVM-rbf,f_classif,0.6859999999999999,0.02302172886644268,0.23804216259281646,0.06174337961964752
SVM-rbf,mutual_info,0.6859999999999999,0.008944271909999113,0.13924425862169226,0.10207348697389503
SVM-rbf,relief,0.688,0.014832396974191328,0.21040693681611505,0.06706140868276028
SVM-rbf,rf,0.678,0.034205262752974135,0.17811657093896752,0.15580088303954193
SVM-rbf,xgb,0.6859999999999999,0.01140175425099136,0.12571905141813117,0.08397601032716413
