dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset14a,1,f_classif,1,182,SVM-rbf,0.6616666666666666,0.0
ArtificialDataset14a,1,f_classif,1,182,KNN,0.6083333333333333,0.36140828922192697
ArtificialDataset14a,1,f_classif,2,182,SVM-rbf,0.6616666666666666,0.0
ArtificialDataset14a,1,f_classif,2,182,KNN,0.6083333333333333,0.4275216744198464
ArtificialDataset14a,1,f_classif,3,182,SVM-rbf,0.6633333333333333,0.16180824888444054
ArtificialDataset14a,1,f_classif,3,182,KNN,0.6133333333333333,0.41848299912816045
ArtificialDataset14a,1,f_classif,4,182,SVM-rbf,0.6566666666666666,0.18428140703517584
ArtificialDataset14a,1,f_classif,4,182,KNN,0.61,0.42044716327414466
ArtificialDataset14a,1,f_classif,5,182,SVM-rbf,0.6516666666666666,0.18208205302719419
ArtificialDataset14a,1,f_classif,5,182,KNN,0.605,0.43307787098602324
ArtificialDataset14a,1,f_classif,6,182,SVM-rbf,0.6583333333333333,0.23050241848884837
ArtificialDataset14a,1,f_classif,6,182,KNN,0.61,0.39821242867983925
ArtificialDataset14a,1,f_classif,7,182,SVM-rbf,0.655,0.27751578610822475
ArtificialDataset14a,1,f_classif,7,182,KNN,0.625,0.45485382006137937
ArtificialDataset14a,1,f_classif,8,182,SVM-rbf,0.6666666666666666,0.33490738585348007
ArtificialDataset14a,1,f_classif,8,182,KNN,0.62,0.4315891057259275
ArtificialDataset14a,1,f_classif,9,182,SVM-rbf,0.685,0.44384303112313944
ArtificialDataset14a,1,f_classif,9,182,KNN,0.6466666666666666,0.4820672980052387
ArtificialDataset14a,1,f_classif,10,182,SVM-rbf,0.6833333333333333,0.44247230253929176
ArtificialDataset14a,1,f_classif,10,182,KNN,0.6166666666666667,0.43733305122847854
ArtificialDataset14a,1,f_classif,11,182,SVM-rbf,0.6966666666666667,0.458826542226269
ArtificialDataset14a,1,f_classif,11,182,KNN,0.6316666666666667,0.4520935952535143
ArtificialDataset14a,1,f_classif,12,182,SVM-rbf,0.6833333333333333,0.44247230253929176
ArtificialDataset14a,1,f_classif,12,182,KNN,0.6066666666666667,0.3959950500618742
ArtificialDataset14a,1,f_classif,13,182,SVM-rbf,0.6933333333333334,0.47542421667260615
ArtificialDataset14a,1,f_classif,13,182,KNN,0.665,0.47367350287120596
ArtificialDataset14a,1,f_classif,14,182,SVM-rbf,0.6983333333333334,0.4797530440747727
ArtificialDataset14a,1,f_classif,14,182,KNN,0.6516666666666666,0.4671947840260799
ArtificialDataset14a,1,f_classif,15,182,SVM-rbf,0.71,0.5078871892925431
ArtificialDataset14a,1,f_classif,15,182,KNN,0.67,0.5144098196637302
ArtificialDataset14a,1,f_classif,16,182,SVM-rbf,0.7016666666666667,0.49174821779039735
ArtificialDataset14a,1,f_classif,16,182,KNN,0.68,0.5354397950469683
ArtificialDataset14a,1,f_classif,17,182,SVM-rbf,0.7083333333333334,0.5063748166535034
ArtificialDataset14a,1,f_classif,17,182,KNN,0.67,0.5042106836755031
ArtificialDataset14a,1,f_classif,18,182,SVM-rbf,0.6883333333333334,0.451760830831044
ArtificialDataset14a,1,f_classif,18,182,KNN,0.665,0.4855047825557003
ArtificialDataset14a,1,f_classif,19,182,SVM-rbf,0.7033333333333334,0.5060627580946369
ArtificialDataset14a,1,f_classif,19,182,KNN,0.6733333333333333,0.5069612213892555
ArtificialDataset14a,1,f_classif,20,182,SVM-rbf,0.7066666666666667,0.5005889281507655
ArtificialDataset14a,1,f_classif,20,182,KNN,0.65,0.47365038560411316
ArtificialDataset14a,1,f_classif,21,182,SVM-rbf,0.7033333333333334,0.5060627580946369
ArtificialDataset14a,1,f_classif,21,182,KNN,0.6683333333333333,0.48820220755648763
ArtificialDataset14a,1,f_classif,22,182,SVM-rbf,0.7016666666666667,0.49612527497509346
ArtificialDataset14a,1,f_classif,22,182,KNN,0.6616666666666666,0.4865997770345597
ArtificialDataset14a,1,f_classif,23,182,SVM-rbf,0.7133333333333334,0.5346767464792294
ArtificialDataset14a,1,f_classif,23,182,KNN,0.6466666666666666,0.44683254875588435
ArtificialDataset14a,1,f_classif,24,182,SVM-rbf,0.7133333333333334,0.5488220440783507
ArtificialDataset14a,1,f_classif,24,182,KNN,0.6666666666666666,0.5116710616271121
ArtificialDataset14a,1,f_classif,25,182,SVM-rbf,0.7033333333333334,0.5292421849539997
ArtificialDataset14a,1,f_classif,25,182,KNN,0.66,0.4815024004518496
ArtificialDataset14a,1,f_classif,26,182,SVM-rbf,0.71,0.5388463069878558
ArtificialDataset14a,1,f_classif,26,182,KNN,0.6633333333333333,0.47637036265110466
