fold,model,measure,corr_type,n_features,features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility,corr_th
1,SVM-rbf,Hostility,pearson,19,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_acceptor', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor']",0.9830508474576272,0.9825406381697772,0.8,0.75,,,,0.1966101694915254,0.1483050847457627,0.1864406779661017,0.7
1,KNN,Hostility,pearson,19,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_acceptor', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor']",0.8813559322033898,0.873259052924791,0.8,0.7804878048780488,,,,0.1966101694915254,0.1483050847457627,0.1864406779661017,0.7
1,SVM-rbf,Hostility,spearman,11,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_h_doner', 'p3_polar', 'p3_size']",0.9661016949152542,0.9652650822669104,0.7333333333333333,0.717948717948718,,,,0.1694915254237288,0.1677966101694915,0.15254237288135594,0.7
1,KNN,Hostility,spearman,11,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_pi_doner', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_h_doner', 'p3_polar', 'p3_size']",0.9152542372881356,0.9112426035502958,0.7333333333333333,0.717948717948718,,,,0.1694915254237288,0.1677966101694915,0.15254237288135594,0.7
2,SVM-rbf,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.9830508474576272,0.9825406381697772,0.9333333333333333,0.9278350515463919,0.20338983050847462,0.15698143664245356,0.1694915254237288,,,,0.7
2,KNN,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.8983050847457628,0.8942115768463073,0.8666666666666667,0.8602150537634408,0.20338983050847462,0.15698143664245356,0.1694915254237288,,,,0.7
2,SVM-rbf,kDN,pearson,15,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_flex', 'p3_h_doner', 'p3_polarisable']",0.9661016949152542,0.9648365206662554,0.9333333333333333,0.9278350515463919,,,,0.18983050847457628,0.1861581920903955,0.1694915254237288,0.7
2,KNN,kDN,pearson,15,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_flex', 'p3_h_doner', 'p3_polarisable']",0.9322033898305084,0.9284785435630689,0.9333333333333333,0.9278350515463919,,,,0.18983050847457628,0.1861581920903955,0.1694915254237288,0.7
2,SVM-rbf,kDN,spearman,12,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p2_polar', 'p2_size', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_size', 'p3_flex']",0.9830508474576272,0.9825406381697772,0.9333333333333333,0.9278350515463919,,,,0.17966101694915254,0.16497175141242937,0.1864406779661017,0.7
2,KNN,kDN,spearman,12,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p2_polar', 'p2_size', 'p2_h_doner', 'p2_h_acceptor', 'p3_polar', 'p3_size', 'p3_flex']",0.9152542372881356,0.9112426035502958,0.8666666666666667,0.8470588235294118,,,,0.17966101694915254,0.16497175141242937,0.1864406779661017,0.7
2,SVM-rbf,N1,pearson,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_pi_doner', 'p1_polarisable', 'p2_pi_doner', 'p2_polarisable', 'p3_polar', 'p3_pi_acceptor']",0.9491525423728814,0.9468354430379746,0.9333333333333333,0.9278350515463919,,,,0.20677966101694917,0.17415254237288133,0.1864406779661017,0.7
2,KNN,N1,pearson,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_pi_doner', 'p1_polarisable', 'p2_pi_doner', 'p2_polarisable', 'p3_polar', 'p3_pi_acceptor']",0.847457627118644,0.8366013071895425,0.8666666666666667,0.8602150537634408,,,,0.20677966101694917,0.17415254237288133,0.1864406779661017,0.7
2,SVM-rbf,N1,spearman,10,"['p1_polar', 'p1_size', 'p1_flex', 'p1_pi_doner', 'p1_polarisable', 'p2_flex', 'p2_pi_doner', 'p2_polarisable', 'p3_polar', 'p3_pi_acceptor']",0.9491525423728814,0.9468354430379746,0.8666666666666667,0.8602150537634408,,,,0.20677966101694917,0.17429378531073447,0.2033898305084746,0.7
2,KNN,N1,spearman,10,"['p1_polar', 'p1_size', 'p1_flex', 'p1_pi_doner', 'p1_polarisable', 'p2_flex', 'p2_pi_doner', 'p2_polarisable', 'p3_polar', 'p3_pi_acceptor']",0.847457627118644,0.8366013071895425,0.8666666666666667,0.8602150537634408,,,,0.20677966101694917,0.17429378531073447,0.2033898305084746,0.7
