fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
1,pyrim_NoPreFilter,KNN,NONE,False,,NONE,27,0.9152542372881356,0.9112426035502958,0.8,0.7804878048780488,0.21016949152542377,0.1977401129943503,0.2542372881355932,,,
1,pyrim_NoPreFilter,SVM,NONE,False,,NONE,27,0.9661016949152542,0.9648365206662554,0.8666666666666667,0.8470588235294118,0.21016949152542377,0.1977401129943503,0.2542372881355932,,,
1,pyrim_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,kDN,8,0.8135593220338984,0.7996965098634295,0.8666666666666667,0.8470588235294118,,,,0.27457627118644073,0.22909604519774013,0.1864406779661017
1,pyrim_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,kDN,8,0.8983050847457628,0.890420399724328,0.8,0.75,,,,0.27457627118644073,0.22909604519774013,0.1864406779661017
1,pyrim_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,kDN,10,0.9152542372881356,0.9112426035502958,0.8,0.75,,,,0.17627118644067793,0.16016949152542373,0.11864406779661017
1,pyrim_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,kDN,10,0.9661016949152542,0.9652650822669104,0.8,0.75,,,,0.17627118644067793,0.16016949152542373,0.11864406779661017
1,pyrim_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,kDN,10,0.8983050847457628,0.8942115768463073,0.8666666666666667,0.8470588235294118,,,,0.18305084745762712,0.13135593220338984,0.1864406779661017
1,pyrim_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,kDN,10,0.9491525423728814,0.9475655430711611,0.7333333333333333,0.6857142857142856,,,,0.18305084745762712,0.13135593220338984,0.1864406779661017
1,pyrim_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,kDN,13,0.8983050847457628,0.8924949290060851,0.8666666666666667,0.8470588235294118,,,,0.25084745762711863,0.1850282485875706,0.1694915254237288
1,pyrim_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,13,0.9322033898305084,0.9284785435630689,0.8666666666666667,0.8470588235294118,,,,0.25084745762711863,0.1850282485875706,0.1694915254237288
