dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset20c,all,SVM-rbf,0,75,0.9625,0.9557779632593364,0.9,0.8756218905472636,0.205,0.265,0.24665762362637364
ArtificialDataset20c,all,SVM-rbf,1,75,0.9775,0.9738929156991194,0.81,0.738754031573587,0.2425,0.25300000000000006,0.2360499639249639
ArtificialDataset20c,all,SVM-rbf,2,75,0.9675,0.9618860748945067,0.86,0.8143121529919803,0.1875,0.244,0.21782205988455988
ArtificialDataset20c,all,SVM-rbf,3,75,0.9475,0.9376131687242797,0.83,0.7751394422310758,0.205,0.2545,0.23296794871794874
ArtificialDataset20c,all,SVM-rbf,4,75,0.975,0.9710433310563986,0.81,0.738754031573587,0.175,0.24900000000000003,0.21295787545787545
ArtificialDataset20c,all,KNN,0,75,0.8625,0.8221166015130635,0.87,0.8349146110056926,0.205,0.265,0.24665762362637364
ArtificialDataset20c,all,KNN,1,75,0.86,0.8143121529919802,0.81,0.7299526232672399,0.2425,0.25300000000000006,0.2360499639249639
ArtificialDataset20c,all,KNN,2,75,0.8775,0.8452756861792569,0.77,0.6526769954893116,0.1875,0.244,0.21782205988455988
ArtificialDataset20c,all,KNN,3,75,0.87,0.8305617977528089,0.79,0.7176170212765958,0.205,0.2545,0.23296794871794874
ArtificialDataset20c,all,KNN,4,75,0.8875,0.8565656565656566,0.76,0.6274509803921569,0.175,0.24900000000000003,0.21295787545787545
ArtificialDataset20c,informative,SVM-rbf,0,30,0.9575,0.9505209322826029,0.96,0.9537572254335259,0.1525,0.20550000000000002,0.18892857142857142
ArtificialDataset20c,informative,SVM-rbf,1,30,0.9625,0.9563792100671494,0.89,0.8673261959615124,0.125,0.19899999999999998,0.1705238095238095
ArtificialDataset20c,informative,SVM-rbf,2,30,0.97,0.9653736316039981,0.89,0.8611544461778472,0.1275,0.18350000000000002,0.16330663780663784
ArtificialDataset20c,informative,SVM-rbf,3,30,0.955,0.9472294704528013,0.94,0.9304047384007897,0.1275,0.19899999999999998,0.1865895562770563
ArtificialDataset20c,informative,SVM-rbf,4,30,0.9675,0.9627109599092789,0.89,0.8673261959615123,0.12,0.18650000000000003,0.17126472832722833
ArtificialDataset20c,informative,KNN,0,30,0.91,0.8889905458981396,0.91,0.8896077638495755,0.1525,0.20550000000000002,0.18892857142857142
ArtificialDataset20c,informative,KNN,1,30,0.9,0.8748913987836663,0.85,0.8030888030888031,0.125,0.19899999999999998,0.1705238095238095
ArtificialDataset20c,informative,KNN,2,30,0.9175,0.8992689073533446,0.85,0.7973295183595612,0.1275,0.18350000000000002,0.16330663780663784
ArtificialDataset20c,informative,KNN,3,30,0.9075,0.8855094577661088,0.88,0.8564437194127243,0.1275,0.19899999999999998,0.1865895562770563
ArtificialDataset20c,informative,KNN,4,30,0.91,0.8896077638495755,0.81,0.7299526232672399,0.12,0.18650000000000003,0.17126472832722833
ArtificialDataset20c,informative+redundant,SVM-rbf,0,45,0.9525,0.9444004946274548,0.95,0.9415816012790555,0.1625,0.2335,0.2225314060939061
ArtificialDataset20c,informative+redundant,SVM-rbf,1,45,0.97,0.9653736316039981,0.89,0.8673261959615124,0.15,0.21350000000000002,0.19503670634920633
ArtificialDataset20c,informative+redundant,SVM-rbf,2,45,0.96,0.9537572254335259,0.9,0.8756218905472636,0.1375,0.2125,0.17845238095238095
ArtificialDataset20c,informative+redundant,SVM-rbf,3,45,0.9525,0.9441430875238236,0.91,0.8919382504288165,0.1625,0.218,0.2187926587301587
ArtificialDataset20c,informative+redundant,SVM-rbf,4,45,0.9675,0.9625533118473253,0.89,0.8673261959615123,0.1375,0.21350000000000002,0.1670362762237762
