dataset,subset,model,n_features,acc_train_mean,acc_train_std,acc_test_mean,acc_test_std,gps_train_mean,gps_train_std,gps_test_mean,gps_test_std,Hostility_mean,Hostility_std,kDN_mean,kDN_std,N1_mean,N1_std
ArtificialDataset18c,all,KNN,50,0.7615000000000001,0.008023403267940609,0.664,0.016733200530681527,0.6772216728383318,0.0067944053290203915,0.5100081401180935,0.04011064589253693,0.2975,0.030103986446980733,0.4182,0.011777096416349771,0.38759404761904764,0.025433337687500626
ArtificialDataset18c,all,SVM-rbf,50,0.821,0.00518411033833196,0.688,0.03898717737923584,0.7277952849561009,0.010551087311243141,0.24012779236650683,0.1598710322965535,0.2975,0.030103986446980733,0.4182,0.011777096416349771,0.38759404761904764,0.025433337687500626
ArtificialDataset18c,informative,KNN,20,0.7845,0.012424773639789187,0.688,0.05019960159204448,0.7070293111953113,0.021028924796145536,0.5390091766396743,0.1253292357512072,0.2885,0.023021728866442662,0.3922,0.010084641788382982,0.36823778753925807,0.013309396898184172
ArtificialDataset18c,informative,SVM-rbf,20,0.808,0.008909264840602697,0.71,0.027386127875258286,0.704139061456033,0.01915584825378356,0.42805272338259276,0.05663210404771275,0.2885,0.023021728866442662,0.3922,0.010084641788382982,0.36823778753925807,0.013309396898184172
ArtificialDataset18c,informative+noise,KNN,30,0.756,0.02004682019672949,0.62,0.041231056256176575,0.659244995751597,0.02693701281051197,0.43181957448280084,0.050681474032909034,0.3025,0.012374368670764595,0.4171,0.013653754062528004,0.39040351037851034,0.02137835950422494
ArtificialDataset18c,informative+noise,SVM-rbf,30,0.812,0.003708099243547812,0.696,0.03286335345030994,0.7066071494772144,0.007631177933481012,0.30160158937443576,0.10875816430172693,0.3025,0.012374368670764595,0.4171,0.013653754062528004,0.39040351037851034,0.02137835950422494
ArtificialDataset18c,informative+rand_extra,KNN,23,0.7725,0.007288689868556654,0.65,0.04472135954999579,0.6841528970075622,0.019079339548165684,0.4743624297975124,0.12128417668424148,0.274,0.023690715480964266,0.4024,0.014736858552622422,0.3716863455988456,0.016190668844154623
ArtificialDataset18c,informative+rand_extra,SVM-rbf,23,0.805,0.008477912478906594,0.704,0.03646916505762092,0.6965738562694442,0.016918400077353093,0.41778320313597306,0.07100514224789549,0.274,0.023690715480964266,0.4024,0.014736858552622422,0.3716863455988456,0.016190668844154623
ArtificialDataset18c,informative+redundant,KNN,30,0.7625,0.015512092057488578,0.658,0.039623225512317894,0.6788166644206994,0.020251258763383934,0.49790498295439056,0.05753939028296357,0.272,0.03780707605726738,0.4046,0.005583457710057481,0.38074613997114,0.020026401880932142
ArtificialDataset18c,informative+redundant,SVM-rbf,30,0.8065,0.010839741694339319,0.714,0.0054772255750516665,0.7016540081408236,0.023677551394498963,0.4476183078135662,0.0637221281049266,0.272,0.03780707605726738,0.4046,0.005583457710057481,0.38074613997114,0.020026401880932142
ArtificialDataset18c,informative+redundant_nonLinear,KNN,30,0.7745,0.009746794344808966,0.67,0.03872983346207412,0.6930367085211351,0.0164364088013891,0.5054380657211337,0.1180285387086314,0.281,0.027984370637911433,0.3995,0.010723805294763612,0.37496230158730154,0.008560596638031027
ArtificialDataset18c,informative+redundant_nonLinear,SVM-rbf,30,0.8125,0.014684175155588394,0.696,0.02966479394838262,0.710421025591219,0.031783283812562776,0.3351208841307875,0.09378588640362782,0.281,0.027984370637911433,0.3995,0.010723805294763612,0.37496230158730154,0.008560596638031027
