dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset18,all,SVM-rbf,0,190,0.91,0.8919382504288165,0.66,0.18577648766328012,0.34,0.42450000000000004,0.3988690476190477
ArtificialDataset18,all,SVM-rbf,1,190,0.8925,0.8679268009395085,0.66,0.10383386581469649,0.2825,0.43550000000000005,0.4495119949494949
ArtificialDataset18,all,SVM-rbf,2,190,0.9125,0.8952654232424677,0.65,0.10114579217700513,0.3275,0.41950000000000004,0.4279492694805194
ArtificialDataset18,all,SVM-rbf,3,190,0.8925,0.8679268009395085,0.69,0.3271469015413652,0.265,0.43000000000000005,0.40923768674136324
ArtificialDataset18,all,SVM-rbf,4,190,0.865,0.8271984018349303,0.66,0.18577648766328012,0.3625,0.44050000000000006,0.4174910714285714
ArtificialDataset18,all,KNN,0,190,0.7575,0.6850210586104533,0.65,0.46982055464926586,0.34,0.42450000000000004,0.3988690476190477
ArtificialDataset18,all,KNN,1,190,0.74,0.6884210526315789,0.67,0.54421768707483,0.2825,0.43550000000000005,0.4495119949494949
ArtificialDataset18,all,KNN,2,190,0.7575,0.6755064863372896,0.61,0.461642905634759,0.3275,0.41950000000000004,0.4279492694805194
ArtificialDataset18,all,KNN,3,190,0.7475,0.6776331942057452,0.64,0.4375,0.265,0.43000000000000005,0.40923768674136324
ArtificialDataset18,all,KNN,4,190,0.7375,0.6454935622317597,0.67,0.5852560495216658,0.3625,0.44050000000000006,0.4174910714285714
ArtificialDataset18,informative,SVM-rbf,0,70,0.8975,0.8749224585525031,0.66,0.252,0.3075,0.423,0.40415480434598083
ArtificialDataset18,informative,SVM-rbf,1,70,0.8975,0.8749224585525031,0.69,0.4771449523343925,0.32,0.415,0.4028080357142857
ArtificialDataset18,informative,SVM-rbf,2,70,0.89,0.8643856489818535,0.7,0.3823529411764706,0.27,0.40700000000000003,0.42156187440010967
ArtificialDataset18,informative,SVM-rbf,3,70,0.8925,0.8679268009395085,0.68,0.3667054714784633,0.2975,0.42150000000000004,0.3645454129204129
ArtificialDataset18,informative,SVM-rbf,4,70,0.8875,0.8608146373339142,0.67,0.3593161402492031,0.3175,0.42700000000000005,0.42197519841269837
