dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset18a,all,SVM-rbf,0,140,0.8825,0.841566477907543,0.69,0.20037383177570092,0.3275,0.406,0.3919047619047619
ArtificialDataset18a,all,SVM-rbf,1,140,0.8525,0.7886459854397999,0.69,0.11281625881377022,0.2975,0.3990000000000001,0.3679266323953824
ArtificialDataset18a,all,SVM-rbf,2,140,0.89,0.8536840532057989,0.67,0.10666666666666666,0.2825,0.37150000000000005,0.37057852016404647
ArtificialDataset18a,all,SVM-rbf,3,140,0.865,0.8116456308722125,0.68,0.10965630114566284,0.325,0.3785,0.36986012598512596
ArtificialDataset18a,all,SVM-rbf,4,140,0.8625,0.807162674417423,0.7,0.27685950413223137,0.3,0.401,0.3799336325439267
ArtificialDataset18a,all,KNN,0,140,0.7625,0.6300386879301318,0.67,0.5076820307281229,0.3275,0.406,0.3919047619047619
ArtificialDataset18a,all,KNN,1,140,0.7725,0.6481562582114392,0.73,0.48389630793401417,0.2975,0.3990000000000001,0.3679266323953824
ArtificialDataset18a,all,KNN,2,140,0.795,0.6981804713181164,0.69,0.4771449523343925,0.2825,0.37150000000000005,0.37057852016404647
ArtificialDataset18a,all,KNN,3,140,0.7925,0.6982648883588114,0.67,0.25780463242698887,0.325,0.3785,0.36986012598512596
ArtificialDataset18a,all,KNN,4,140,0.77,0.6717939214232764,0.68,0.493953488372093,0.3,0.401,0.3799336325439267
ArtificialDataset18a,informative,SVM-rbf,0,50,0.8625,0.807162674417423,0.71,0.34238262535931013,0.2825,0.3885,0.3828734126984127
ArtificialDataset18a,informative,SVM-rbf,1,50,0.8325,0.7484071764453815,0.7,0.20574886535552192,0.305,0.3875,0.36137261002886
ArtificialDataset18a,informative,SVM-rbf,2,50,0.87,0.8204476901095412,0.67,0.1904064445258147,0.2675,0.365,0.33194978077478077
ArtificialDataset18a,informative,SVM-rbf,3,50,0.86,0.8026229508196722,0.69,0.27021494370522003,0.3025,0.38049999999999995,0.3524785714285714
ArtificialDataset18a,informative,SVM-rbf,4,50,0.8575,0.7980247729831921,0.73,0.408285800060042,0.2425,0.395,0.35893584656084654
ArtificialDataset18a,informative,KNN,0,50,0.795,0.6953168816601235,0.64,0.43749999999999994,0.2825,0.3885,0.3828734126984127
ArtificialDataset18a,informative,KNN,1,50,0.735,0.560723951285521,0.76,0.5913978494623655,0.305,0.3875,0.36137261002886
ArtificialDataset18a,informative,KNN,2,50,0.7875,0.6747409468045044,0.63,0.36982968369829683,0.2675,0.365,0.33194978077478077
ArtificialDataset18a,informative,KNN,3,50,0.7725,0.6620271878267768,0.64,0.29411764705882354,0.3025,0.38049999999999995,0.3524785714285714
ArtificialDataset18a,informative,KNN,4,50,0.775,0.6853004872766648,0.69,0.544020464719676,0.2425,0.395,0.35893584656084654
ArtificialDataset18a,informative+redundant,SVM-rbf,0,80,0.8575,0.7980247729831921,0.72,0.39928486293206195,0.2725,0.405,0.3899724197371256
ArtificialDataset18a,informative+redundant,SVM-rbf,1,80,0.8325,0.7484071764453815,0.7,0.20574886535552192,0.3,0.3990000000000001,0.3832085137085137
ArtificialDataset18a,informative+redundant,SVM-rbf,2,80,0.8725,0.8247698744769874,0.67,0.1904064445258147,0.2875,0.37250000000000005,0.3434096528471528
ArtificialDataset18a,informative+redundant,SVM-rbf,3,80,0.85,0.7838616714697405,0.68,0.1952662721893491,0.2775,0.3795,0.3653215326340326
ArtificialDataset18a,informative+redundant,SVM-rbf,4,80,0.855,0.7933663902662612,0.72,0.35051546391752575,0.3375,0.41650000000000004,0.3822470238095238
ArtificialDataset18a,informative+redundant,KNN,0,80,0.7525,0.6237072394590294,0.65,0.46982055464926586,0.2725,0.405,0.3899724197371256
ArtificialDataset18a,informative+redundant,KNN,1,80,0.77,0.6560998106704209,0.69,0.4141331142152835,0.3,0.3990000000000001,0.3832085137085137
ArtificialDataset18a,informative+redundant,KNN,2,80,0.785,0.6874392332978378,0.63,0.36982968369829683,0.2875,0.37250000000000005,0.3434096528471528
ArtificialDataset18a,informative+redundant,KNN,3,80,0.7575,0.6167007916117841,0.64,0.37662337662337664,0.2775,0.3795,0.3653215326340326
ArtificialDataset18a,informative+redundant,KNN,4,80,0.7725,0.6714110429447853,0.66,0.5359801488833746,0.3375,0.41650000000000004,0.3822470238095238
ArtificialDataset18a,informative+redundant_nonLinear,SVM-rbf,0,80,0.825,0.7320309962414738,0.7,0.20574886535552192,0.31,0.397,0.37743290043290045
ArtificialDataset18a,informative+redundant_nonLinear,SVM-rbf,1,80,0.81,0.6967487684729063,0.68,0.10965630114566284,0.305,0.38800000000000007,0.3584145923520923
ArtificialDataset18a,informative+redundant_nonLinear,SVM-rbf,2,80,0.855,0.7933663902662612,0.68,0.1952662721893491,0.265,0.375,0.36664515345765347
ArtificialDataset18a,informative+redundant_nonLinear,SVM-rbf,3,80,0.8275,0.7375762659282324,0.68,0.10965630114566284,0.28,0.37900000000000006,0.35791913942610537
ArtificialDataset18a,informative+redundant_nonLinear,SVM-rbf,4,80,0.8425,0.7691052843362225,0.71,0.28382608695652173,0.34,0.3995,0.3868472222222222
ArtificialDataset18a,informative+redundant_nonLinear,KNN,0,80,0.7575,0.6167007916117841,0.61,0.4161963190184049,0.31,0.397,0.37743290043290045
ArtificialDataset18a,informative+redundant_nonLinear,KNN,1,80,0.765,0.6202471482889734,0.69,0.544020464719676,0.305,0.38800000000000007,0.3584145923520923
ArtificialDataset18a,informative+redundant_nonLinear,KNN,2,80,0.7625,0.6483573829779488,0.68,0.4397528321318229,0.265,0.375,0.36664515345765347
ArtificialDataset18a,informative+redundant_nonLinear,KNN,3,80,0.7725,0.6587127234770788,0.64,0.29411764705882354,0.28,0.37900000000000006,0.35791913942610537
ArtificialDataset18a,informative+redundant_nonLinear,KNN,4,80,0.785,0.7008065945754298,0.66,0.4995539696699375,0.34,0.3995,0.3868472222222222
ArtificialDataset18a,informative+noise,SVM-rbf,0,80,0.9025,0.8730603817475272,0.7,0.27685950413223137,0.28,0.3990000000000001,0.38374860300518193
ArtificialDataset18a,informative+noise,SVM-rbf,1,80,0.88,0.8374384236453203,0.68,0.10965630114566284,0.2875,0.38750000000000007,0.39223795995670996
ArtificialDataset18a,informative+noise,SVM-rbf,2,80,0.9075,0.8805485641103176,0.67,0.10666666666666666,0.305,0.37450000000000006,0.3623426755913169
ArtificialDataset18a,informative+noise,SVM-rbf,3,80,0.875,0.8290414598882421,0.68,0.0,0.2775,0.38850000000000007,0.36549914321789323
ArtificialDataset18a,informative+noise,SVM-rbf,4,80,0.8775,0.833263855900573,0.68,0.10965630114566284,0.3,0.3985,0.3690644841269841
ArtificialDataset18a,informative+noise,KNN,0,80,0.77,0.6688326866439156,0.67,0.43176561295296834,0.28,0.3990000000000001,0.38374860300518193
ArtificialDataset18a,informative+noise,KNN,1,80,0.8,0.7064085508509564,0.67,0.35931614024920305,0.2875,0.38750000000000007,0.39223795995670996
ArtificialDataset18a,informative+noise,KNN,2,80,0.78,0.6486486486486486,0.61,0.32009145470134326,0.305,0.37450000000000006,0.3623426755913169
ArtificialDataset18a,informative+noise,KNN,3,80,0.775,0.6646473388143661,0.67,0.4606001463771652,0.2775,0.38850000000000007,0.36549914321789323
ArtificialDataset18a,informative+noise,KNN,4,80,0.75,0.6322808393802707,0.74,0.6073469387755103,0.3,0.3985,0.3690644841269841
ArtificialDataset18a,informative+rand_extra,SVM-rbf,0,53,0.865,0.8116456308722125,0.7,0.27685950413223137,0.3125,0.385,0.38859587357087366
ArtificialDataset18a,informative+rand_extra,SVM-rbf,1,53,0.835,0.7536983240223464,0.69,0.20037383177570092,0.295,0.38549999999999995,0.3677831890331891
ArtificialDataset18a,informative+rand_extra,SVM-rbf,2,53,0.8875,0.8496880851344103,0.67,0.1904064445258147,0.2925,0.36550000000000005,0.3458336940836941
ArtificialDataset18a,informative+rand_extra,SVM-rbf,3,53,0.8625,0.807162674417423,0.68,0.1952662721893491,0.2725,0.3895,0.3803958333333333
ArtificialDataset18a,informative+rand_extra,SVM-rbf,4,53,0.86,0.8042196837269807,0.71,0.28382608695652173,0.3275,0.39149999999999996,0.3686940675065675
ArtificialDataset18a,informative+rand_extra,KNN,0,53,0.76,0.635127025405081,0.64,0.4621848739495799,0.3125,0.385,0.38859587357087366
ArtificialDataset18a,informative+rand_extra,KNN,1,53,0.74,0.5947554104575852,0.72,0.5039370078740159,0.295,0.38549999999999995,0.3677831890331891
ArtificialDataset18a,informative+rand_extra,KNN,2,53,0.7825,0.6693300627800512,0.68,0.4687499999999999,0.2925,0.36550000000000005,0.3458336940836941
ArtificialDataset18a,informative+rand_extra,KNN,3,53,0.7625,0.6339275561900671,0.64,0.2411067193675889,0.2725,0.3895,0.3803958333333333
ArtificialDataset18a,informative+rand_extra,KNN,4,53,0.76,0.6701478367014784,0.71,0.6078842125309466,0.3275,0.39149999999999996,0.3686940675065675
