dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset20a,all,SVM-rbf,0,270,0.98,0.9763256431936224,0.76,0.544,0.195,0.27699999999999997,0.23151533189033188
ArtificialDataset20a,all,SVM-rbf,1,270,0.99,0.9882923368022704,0.74,0.49368421052631584,0.21,0.256,0.20908783577533577
ArtificialDataset20a,all,SVM-rbf,2,270,0.9775,0.9732905253091058,0.76,0.5694050991501417,0.1925,0.2675,0.20831490037740036
ArtificialDataset20a,all,SVM-rbf,3,270,0.9775,0.9734164305949008,0.76,0.544,0.2,0.2645,0.22584908147408148
ArtificialDataset20a,all,SVM-rbf,4,270,0.9875,0.9853919037862706,0.78,0.6131650135256987,0.21,0.2735,0.22945301226551226
ArtificialDataset20a,all,KNN,0,270,0.8975,0.8672037820622704,0.85,0.7838616714697405,0.195,0.27699999999999997,0.23151533189033188
ArtificialDataset20a,all,KNN,1,270,0.885,0.8456492890995259,0.82,0.7410526315789474,0.21,0.256,0.20908783577533577
ArtificialDataset20a,all,KNN,2,270,0.92,0.8986784140969163,0.85,0.7909493359567142,0.1925,0.2675,0.20831490037740036
ArtificialDataset20a,all,KNN,3,270,0.895,0.8634034666957376,0.81,0.7201309328968905,0.2,0.2645,0.22584908147408148
ArtificialDataset20a,all,KNN,4,270,0.9025,0.8746962860118014,0.83,0.7524127039831549,0.21,0.2735,0.22945301226551226
ArtificialDataset20a,informative,SVM-rbf,0,150,0.9775,0.9734164305949008,0.79,0.6433025155880456,0.145,0.23,0.20079689754689753
ArtificialDataset20a,informative,SVM-rbf,1,150,0.9875,0.9853259133225848,0.79,0.6596923076923077,0.095,0.22950000000000004,0.16123688811188813
ArtificialDataset20a,informative,SVM-rbf,2,150,0.9875,0.9853259133225848,0.82,0.7314410480349344,0.1275,0.2275,0.15468589743589742
ArtificialDataset20a,informative,SVM-rbf,3,150,0.9825,0.9795310977016198,0.78,0.6486486486486487,0.1875,0.22650000000000003,0.19316341991341993
ArtificialDataset20a,informative,SVM-rbf,4,150,0.9825,0.9795310977016198,0.81,0.6967487684729063,0.1475,0.2325,0.1931003068568858
ArtificialDataset20a,informative,KNN,0,150,0.9375,0.9244432982212946,0.92,0.8986784140969163,0.145,0.23,0.20079689754689753
ArtificialDataset20a,informative,KNN,1,150,0.9225,0.9039054427540554,0.86,0.8143121529919802,0.095,0.22950000000000004,0.16123688811188813
ArtificialDataset20a,informative,KNN,2,150,0.94,0.9273172460452977,0.9,0.8725934314835787,0.1275,0.2275,0.15468589743589742
ArtificialDataset20a,informative,KNN,3,150,0.9325,0.9169819719563765,0.89,0.8643856489818535,0.1875,0.22650000000000003,0.19316341991341993
ArtificialDataset20a,informative,KNN,4,150,0.93,0.9145557159732248,0.88,0.8374384236453202,0.1475,0.2325,0.1931003068568858
ArtificialDataset20a,informative+redundant,SVM-rbf,0,190,0.975,0.9703791469194312,0.82,0.7206661619984861,0.2025,0.25050000000000006,0.20953193681318683
ArtificialDataset20a,informative+redundant,SVM-rbf,1,190,0.9875,0.9853259133225848,0.77,0.6211764705882353,0.17,0.243,0.17974185463659148
ArtificialDataset20a,informative+redundant,SVM-rbf,2,190,0.985,0.9823429237250157,0.82,0.7314410480349344,0.165,0.2415,0.15850261544011543
ArtificialDataset20a,informative+redundant,SVM-rbf,3,190,0.985,0.982501850481125,0.79,0.6741308190925163,0.1525,0.24350000000000002,0.20122934704184703
ArtificialDataset20a,informative+redundant,SVM-rbf,4,190,0.9825,0.9795310977016198,0.84,0.7549234135667395,0.1325,0.249,0.19990234765234763
ArtificialDataset20a,informative+redundant,KNN,0,190,0.92,0.9021146429046416,0.88,0.8420107719928186,0.2025,0.25050000000000006,0.20953193681318683
ArtificialDataset20a,informative+redundant,KNN,1,190,0.91,0.8870500620604054,0.84,0.7795275590551181,0.17,0.243,0.17974185463659148
ArtificialDataset20a,informative+redundant,KNN,2,190,0.93,0.9145557159732247,0.91,0.8870500620604055,0.165,0.2415,0.15850261544011543
