dataset,subset,model,n_features,acc_train_mean,acc_train_std,acc_test_mean,acc_test_std,gps_train_mean,gps_train_std,gps_test_mean,gps_test_std,Hostility_mean,Hostility_std,kDN_mean,kDN_std,N1_mean,N1_std
ArtificialDataset12,all,KNN,115,0.8692499999999999,0.005114997013141284,0.8266666666666665,0.01628735023807673,0.8638508933840022,0.005390061776992001,0.818656859799848,0.01738695052804327,0.17283333333333334,0.008505512918102,0.26441666666666663,0.003260666257752326,0.2480054835597696,0.007224949838475701
ArtificialDataset12,all,SVM-rbf,115,0.9012499999999999,0.0013176156917368638,0.8703333333333333,0.013509256086106316,0.8972296869793436,0.0013757466565800377,0.8640694073254224,0.014743195526307325,0.17283333333333334,0.008505512918102,0.26441666666666663,0.003260666257752326,0.2480054835597696,0.007224949838475701
ArtificialDataset12,informative,KNN,25,0.8866666666666667,0.004704829079431765,0.8629999999999999,0.013509256086106284,0.8820264982309304,0.004994672142524492,0.8566241909729143,0.014508446994279316,0.142,0.00677900148333891,0.23556666666666665,0.0032470071690027945,0.21580314454064453,0.004316071459741614
ArtificialDataset12,informative,SVM-rbf,25,0.8949166666666667,0.003259601202601347,0.885,0.013642254619787448,0.8907324152326653,0.0034339074857013237,0.8801801590846015,0.014292713915454414,0.142,0.00677900148333891,0.23556666666666665,0.0032470071690027945,0.21580314454064453,0.004316071459741614
ArtificialDataset12,informative+noise,KNN,55,0.8535,0.00443510303024507,0.7886666666666666,0.01249444320932757,0.8460771679279218,0.004514474761871228,0.775749499496008,0.014598662954729655,0.21708333333333335,0.010675939979432463,0.31083333333333335,0.0015756392000990604,0.29446137512379433,0.005154875677260239
ArtificialDataset12,informative+noise,SVM-rbf,55,0.9131666666666666,0.0013372338779900881,0.8620000000000001,0.008771798244627173,0.9095066484162041,0.0014250506762989268,0.8545269374843535,0.009608100268799909,0.21708333333333335,0.010675939979432463,0.31083333333333335,0.0015756392000990604,0.29446137512379433,0.005154875677260239
ArtificialDataset12,informative+rand_extra,KNN,28,0.8846666666666667,0.002382663075915988,0.859,0.012834415538785624,0.8799319355118504,0.0026494389019558256,0.8522868405873105,0.014469087019284888,0.1438333333333333,0.008288420637652666,0.23978333333333332,0.0031653506037158724,0.21861966736966734,0.0038943398298272713
ArtificialDataset12,informative+rand_extra,SVM-rbf,28,0.8955833333333333,0.0023311001217832254,0.883,0.012326574724733756,0.8914203058610491,0.0025077902620978484,0.8780055466356039,0.013015401951316048,0.1438333333333333,0.008288420637652666,0.23978333333333332,0.0031653506037158724,0.21861966736966734,0.0038943398298272713
ArtificialDataset12,informative+redundant,KNN,55,0.8865000000000001,0.0036869703009381684,0.8546666666666667,0.011925695879998867,0.8817390983046154,0.003945694366830537,0.8482015164684128,0.012946806176620366,0.15175,0.0054835612921207005,0.24618333333333334,0.0022840023350834634,0.22460255356027412,0.009909217418875323
ArtificialDataset12,informative+redundant,SVM-rbf,55,0.8940833333333333,0.0034409704703437785,0.8823333333333334,0.011340683890802668,0.8897798216158991,0.0037065166795032184,0.8773036408471722,0.011929119379640401,0.15175,0.0054835612921207005,0.24618333333333334,0.0022840023350834634,0.22460255356027412,0.009909217418875323
ArtificialDataset12,informative+redundant_nonLinear,KNN,55,0.8803333333333333,0.0023459480433766,0.8393333333333335,0.010314498964510532,0.8752632525476802,0.002405504278278948,0.8313216801098464,0.012044645827586747,0.15516666666666667,0.004908892158341039,0.25383333333333336,0.0028674417556808726,0.23525124296999297,0.006836550243864836
ArtificialDataset12,informative+redundant_nonLinear,SVM-rbf,55,0.8926666666666666,0.0029697549468675997,0.8773333333333333,0.01336454679781961,0.8882821524505493,0.003079241814378415,0.8718866745774699,0.014111061427961416,0.15516666666666667,0.004908892158341039,0.25383333333333336,0.0028674417556808726,0.23525124296999297,0.006836550243864836
