dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset18b,all,SVM-rbf,0,100,0.865,0.8187005123428038,0.67,0.3131407269338304,0.3075,0.41350000000000003,0.38352435064935064
ArtificialDataset18b,all,SVM-rbf,1,100,0.8575,0.8058856819468025,0.68,0.2638700947225981,0.3175,0.4235,0.38537743506493505
ArtificialDataset18b,all,SVM-rbf,2,100,0.8625,0.815832128194427,0.69,0.32714690154136516,0.32,0.4035,0.37417496392496397
ArtificialDataset18b,all,SVM-rbf,3,100,0.88,0.8441328413284134,0.69,0.27021494370522003,0.285,0.3885,0.3679042207792208
ArtificialDataset18b,all,SVM-rbf,4,100,0.865,0.8200069361488961,0.7,0.33460076045627374,0.355,0.41100000000000003,0.3757227217227217
ArtificialDataset18b,all,KNN,0,100,0.7775,0.7070106170147452,0.58,0.48994974874371855,0.3075,0.41350000000000003,0.38352435064935064
ArtificialDataset18b,all,KNN,1,100,0.76,0.6874571624400274,0.64,0.5030198446937014,0.3175,0.4235,0.38537743506493505
ArtificialDataset18b,all,KNN,2,100,0.7375,0.6334796653690052,0.68,0.5160142348754448,0.32,0.4035,0.37417496392496397
ArtificialDataset18b,all,KNN,3,100,0.7775,0.6955373937147321,0.61,0.3885890516576715,0.285,0.3885,0.3679042207792208
ArtificialDataset18b,all,KNN,4,100,0.76,0.6874571624400274,0.67,0.5076820307281229,0.355,0.41100000000000003,0.3757227217227217
ArtificialDataset18b,informative,SVM-rbf,0,40,0.8425,0.7788230146576242,0.72,0.5516014234875445,0.2975,0.41050000000000003,0.3956736111111111
ArtificialDataset18b,informative,SVM-rbf,1,40,0.8475,0.7880707148347424,0.72,0.4744525547445256,0.2575,0.4,0.3849876373626373
ArtificialDataset18b,informative,SVM-rbf,2,40,0.855,0.805917576611483,0.7,0.38235294117647056,0.3125,0.39799999999999996,0.3624500915750916
ArtificialDataset18b,informative,SVM-rbf,3,40,0.8725,0.8334035324179374,0.73,0.44928751047778714,0.2775,0.3845,0.3629404761904762
ArtificialDataset18b,informative,SVM-rbf,4,40,0.845,0.7852076585625846,0.71,0.4947239263803681,0.325,0.4060000000000001,0.3855563117438118
ArtificialDataset18b,informative,KNN,0,40,0.765,0.6967230399392687,0.64,0.5714285714285714,0.2975,0.41050000000000003,0.3956736111111111
ArtificialDataset18b,informative,KNN,1,40,0.7425,0.675085766481503,0.67,0.5730836068739139,0.2575,0.4,0.3849876373626373
ArtificialDataset18b,informative,KNN,2,40,0.7675,0.6902522375915379,0.63,0.5122410546139361,0.3125,0.39799999999999996,0.3624500915750916
ArtificialDataset18b,informative,KNN,3,40,0.775,0.7145955235484267,0.56,0.2524271844660194,0.2775,0.3845,0.3629404761904762
ArtificialDataset18b,informative,KNN,4,40,0.7475,0.6707156175376999,0.73,0.6492258408969568,0.325,0.4060000000000001,0.3855563117438118
ArtificialDataset18b,informative+redundant,SVM-rbf,0,60,0.86,0.8102068965517242,0.72,0.5294117647058825,0.2975,0.41,0.4025069444444444
ArtificialDataset18b,informative+redundant,SVM-rbf,1,60,0.855,0.8015129682997119,0.67,0.19040644452581473,0.3,0.41650000000000004,0.3780468073593073
ArtificialDataset18b,informative+redundant,SVM-rbf,2,60,0.8675,0.8241357877121682,0.69,0.41413311421528354,0.285,0.4000000000000001,0.37144255050505043
ArtificialDataset18b,informative+redundant,SVM-rbf,3,60,0.88,0.8451556142087319,0.72,0.39928486293206195,0.275,0.3995,0.37077543290043297
ArtificialDataset18b,informative+redundant,SVM-rbf,4,60,0.8625,0.815832128194427,0.76,0.6105892399658411,0.3225,0.41950000000000004,0.3761423992673993
ArtificialDataset18b,informative+redundant,KNN,0,60,0.77,0.6950626318281606,0.61,0.5476326297775242,0.2975,0.41,0.4025069444444444
ArtificialDataset18b,informative+redundant,KNN,1,60,0.76,0.6959999999999998,0.69,0.5765195010888933,0.3,0.41650000000000004,0.3780468073593073
ArtificialDataset18b,informative+redundant,KNN,2,60,0.7675,0.6878682861234708,0.67,0.5270588235294118,0.285,0.4000000000000001,0.37144255050505043
ArtificialDataset18b,informative+redundant,KNN,3,60,0.78,0.711645101663586,0.61,0.4161963190184049,0.275,0.3995,0.37077543290043297
ArtificialDataset18b,informative+redundant,KNN,4,60,0.75,0.6630122214234364,0.73,0.6263507109004739,0.3225,0.41950000000000004,0.3761423992673993
ArtificialDataset18b,informative+redundant_nonLinear,SVM-rbf,0,60,0.8075,0.7091757387247278,0.7,0.48579823702252706,0.3275,0.405,0.38852968559218554
ArtificialDataset18b,informative+redundant_nonLinear,SVM-rbf,1,60,0.8375,0.7693301835824532,0.69,0.27021494370522015,0.305,0.41200000000000003,0.38410155122655126
ArtificialDataset18b,informative+redundant_nonLinear,SVM-rbf,2,60,0.8325,0.7636321259442108,0.68,0.32,0.3025,0.39649999999999996,0.38486182567432564
ArtificialDataset18b,informative+redundant_nonLinear,SVM-rbf,3,60,0.85,0.7957957957957957,0.73,0.44928751047778714,0.265,0.3935,0.34967388167388164
ArtificialDataset18b,informative+redundant_nonLinear,SVM-rbf,4,60,0.8375,0.7712493828198045,0.7,0.38235294117647056,0.2975,0.41050000000000003,0.3788219627594627
ArtificialDataset18b,informative+redundant_nonLinear,KNN,0,60,0.79,0.7238566851150597,0.69,0.6230837004405285,0.3275,0.405,0.38852968559218554
ArtificialDataset18b,informative+redundant_nonLinear,KNN,1,60,0.78,0.7176586730286701,0.62,0.5046257359125316,0.305,0.41200000000000003,0.38410155122655126
ArtificialDataset18b,informative+redundant_nonLinear,KNN,2,60,0.76,0.6828377673448095,0.64,0.52,0.3025,0.39649999999999996,0.38486182567432564
ArtificialDataset18b,informative+redundant_nonLinear,KNN,3,60,0.785,0.7167135244009903,0.62,0.3952772073921971,0.265,0.3935,0.34967388167388164
ArtificialDataset18b,informative+redundant_nonLinear,KNN,4,60,0.78,0.7249889819303658,0.71,0.5790226947454509,0.2975,0.41050000000000003,0.3788219627594627
ArtificialDataset18b,informative+noise,SVM-rbf,0,60,0.875,0.8351296352125416,0.7,0.3823529411764706,0.2575,0.43800000000000006,0.43510462454212456
ArtificialDataset18b,informative+noise,SVM-rbf,1,60,0.86,0.8102068965517242,0.68,0.2638700947225981,0.3175,0.441,0.38671626984126983
ArtificialDataset18b,informative+noise,SVM-rbf,2,60,0.87,0.8282199270959902,0.67,0.19040644452581476,0.2775,0.41800000000000004,0.37608035714285715
ArtificialDataset18b,informative+noise,SVM-rbf,3,60,0.905,0.8813114754098361,0.68,0.19526627218934908,0.2975,0.4165,0.396307615995116
ArtificialDataset18b,informative+noise,SVM-rbf,4,60,0.87,0.8282199270959902,0.7,0.38235294117647056,0.2875,0.43200000000000005,0.400184999028749
ArtificialDataset18b,informative+noise,KNN,0,60,0.735,0.6486583990980834,0.67,0.5594739988045427,0.2575,0.43800000000000006,0.43510462454212456
ArtificialDataset18b,informative+noise,KNN,1,60,0.7575,0.6915269891581567,0.56,0.40712223291626565,0.3175,0.441,0.38671626984126983
ArtificialDataset18b,informative+noise,KNN,2,60,0.7325,0.6349058471428073,0.61,0.4161963190184049,0.2775,0.41800000000000004,0.37608035714285715
ArtificialDataset18b,informative+noise,KNN,3,60,0.79,0.7131742738589212,0.6,0.3506493506493507,0.2975,0.4165,0.396307615995116
ArtificialDataset18b,informative+noise,KNN,4,60,0.755,0.6803059108192189,0.63,0.5122410546139361,0.2875,0.43200000000000005,0.400184999028749
ArtificialDataset18b,informative+rand_extra,SVM-rbf,0,43,0.8525,0.7970872709301973,0.71,0.5423427428317403,0.3275,0.41,0.424624007936508
ArtificialDataset18b,informative+rand_extra,SVM-rbf,1,43,0.85,0.7926070513602538,0.71,0.43105830339872897,0.26,0.40950000000000003,0.3924265873015873
ArtificialDataset18b,informative+rand_extra,SVM-rbf,2,43,0.8675,0.8241357877121682,0.69,0.3743784732377888,0.2575,0.3965000000000001,0.3821974206349206
ArtificialDataset18b,informative+rand_extra,SVM-rbf,3,43,0.8725,0.8334035324179374,0.73,0.44928751047778714,0.2875,0.38100000000000006,0.35181051587301587
ArtificialDataset18b,informative+rand_extra,SVM-rbf,4,43,0.86,0.8116100766703175,0.73,0.5389473684210526,0.3,0.4025,0.38909623015873007
ArtificialDataset18b,informative+rand_extra,KNN,0,43,0.7675,0.7052921685814262,0.59,0.5321988010056081,0.3275,0.41,0.424624007936508
