dataset,subset,model,n_features,acc_train_mean,acc_train_std,acc_test_mean,acc_test_std,gps_train_mean,gps_train_std,gps_test_mean,gps_test_std,Hostility_mean,Hostility_std,kDN_mean,kDN_std,N1_mean,N1_std
ArtificialDataset20a,all,KNN,270,0.9,0.012869537676233753,0.8320000000000001,0.0178885438199983,0.8699262475932503,0.019292288278476274,0.7576814551770894,0.02960774752330357,0.2015,0.008215838362577482,0.2677,0.008174655956063212,0.22084403235653233,0.011271967349232066
ArtificialDataset20a,all,SVM-rbf,270,0.9824999999999999,0.005863019699779286,0.76,0.014142135623730968,0.979343367937234,0.007027463668235989,0.5528508646404313,0.04350059713608118,0.2015,0.008215838362577482,0.2677,0.008174655956063212,0.22084403235653233,0.011271967349232066
ArtificialDataset20a,informative,KNN,150,0.9324999999999999,0.006846531968814566,0.89,0.022360679774997914,0.9174407349900499,0.009196728991797761,0.8574816142399297,0.03255203875423858,0.1405,0.03360617502781297,0.22920000000000001,0.002334523505985743,0.18059668197299777,0.021026665335978436
ArtificialDataset20a,informative,SVM-rbf,150,0.9835,0.004183300132670388,0.798,0.016431676725154956,0.9806260905286621,0.0049637154312969466,0.6759666576873686,0.03737438420169139,0.1405,0.03360617502781297,0.22920000000000001,0.002334523505985743,0.18059668197299777,0.021026665335978436
ArtificialDataset20a,informative+noise,KNN,190,0.909,0.006519202405202646,0.86,0.012247448713915901,0.8850196857062121,0.008870975564809574,0.8084404407728611,0.017733718367111996,0.1565,0.01663956129229373,0.254,0.009829801625668747,0.19392603379592543,0.011915074007732456
ArtificialDataset20a,informative+noise,SVM-rbf,190,0.9890000000000001,0.006020797289396171,0.762,0.010954451150103309,0.9870968026971398,0.007104299823810714,0.560807229800657,0.03212385282633792,0.1565,0.01663956129229373,0.254,0.009829801625668747,0.19392603379592543,0.011915074007732456
ArtificialDataset20a,informative+rand_extra,KNN,153,0.9279999999999999,0.009905806378079415,0.89,0.014142135623730982,0.9116473107602099,0.013113469731919437,0.8573603909123616,0.019406432695219984,0.14750000000000002,0.03225871975140984,0.23240000000000002,0.005308012810836097,0.179761882725118,0.02060354356258124
ArtificialDataset20a,informative+rand_extra,SVM-rbf,153,0.982,0.0037080992435478397,0.8019999999999999,0.01923538406167133,0.9788480949039094,0.004422007709098257,0.685711012075193,0.04134128580782737,0.14750000000000002,0.03225871975140984,0.23240000000000002,0.005308012810836097,0.179761882725118,0.02060354356258124
ArtificialDataset20a,informative+redundant,KNN,190,0.9179999999999999,0.007786205751198744,0.8779999999999999,0.028635642126552726,0.8983618387715746,0.010900529717981347,0.8384325206087919,0.042949144811038266,0.1645,0.025702626324949764,0.2455,0.003984344362627323,0.18978162031681767,0.020632060074483937
ArtificialDataset20a,informative+redundant,SVM-rbf,190,0.983,0.004808846015417889,0.808,0.027748873851023193,0.9800161864299554,0.005763967242524418,0.7004675826561824,0.05318242485341248,0.1645,0.025702626324949764,0.2455,0.003984344362627323,0.18978162031681767,0.020632060074483937
ArtificialDataset20a,informative+redundant_nonLinear,KNN,190,0.916,0.0048733971724045045,0.8379999999999999,0.04494441010848846,0.8960648087955067,0.006391458287779272,0.7762998617456739,0.06935054544633572,0.17850000000000002,0.020202103850836928,0.25830000000000003,0.006047726845683434,0.18807432650682648,0.012774925108594766
ArtificialDataset20a,informative+redundant_nonLinear,SVM-rbf,190,0.9804999999999999,0.004107919181288757,0.772,0.008366600265340763,0.9769493586701017,0.004997957419542778,0.5986928510326303,0.03293376075520396,0.17850000000000002,0.020202103850836928,0.25830000000000003,0.006047726845683434,0.18807432650682648,0.012774925108594766
