dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset20b,all,SVM-rbf,0,120,0.9625,0.9549106410887029,0.87,0.8305617977528089,0.155,0.25000000000000006,0.20318149722010012
ArtificialDataset20b,all,SVM-rbf,1,120,0.9575,0.9483151418932328,0.85,0.7973295183595613,0.175,0.24800000000000005,0.20693640183346065
ArtificialDataset20b,all,SVM-rbf,2,120,0.96,0.9517572788090078,0.8,0.6978851963746223,0.1775,0.261,0.21388699494949495
ArtificialDataset20b,all,SVM-rbf,3,120,0.95,0.9395655078087727,0.86,0.8026229508196722,0.21,0.2625,0.20720960399249871
ArtificialDataset20b,all,SVM-rbf,4,120,0.9525,0.9424704564058142,0.84,0.7722033898305084,0.1675,0.28150000000000003,0.2369328102453102
ArtificialDataset20b,all,KNN,0,120,0.9,0.874143476436862,0.84,0.7974683544303799,0.155,0.25000000000000006,0.20318149722010012
ArtificialDataset20b,all,KNN,1,120,0.91,0.8877120822622108,0.81,0.7466666666666667,0.175,0.24800000000000005,0.20693640183346065
ArtificialDataset20b,all,KNN,2,120,0.9,0.8748913987836664,0.83,0.7683467410934163,0.1775,0.261,0.21388699494949495
ArtificialDataset20b,all,KNN,3,120,0.8875,0.8556532424935168,0.86,0.8143121529919802,0.21,0.2625,0.20720960399249871
ArtificialDataset20b,all,KNN,4,120,0.8875,0.8583261646520455,0.83,0.7751394422310756,0.1675,0.28150000000000003,0.2369328102453102
ArtificialDataset20b,informative,SVM-rbf,0,60,0.955,0.9456683207433864,0.88,0.846153846153846,0.1325,0.21600000000000003,0.17841666666666664
ArtificialDataset20b,informative,SVM-rbf,1,60,0.9575,0.9485828904454675,0.9,0.8756218905472637,0.165,0.2245,0.1833186274509804
ArtificialDataset20b,informative,SVM-rbf,2,60,0.97,0.9644210783714391,0.85,0.7909493359567142,0.135,0.2125,0.1775714285714286
ArtificialDataset20b,informative,SVM-rbf,3,60,0.9525,0.9427652021284165,0.91,0.8842402826855124,0.15,0.225,0.19839742348294975
ArtificialDataset20b,informative,SVM-rbf,4,60,0.955,0.9456683207433864,0.89,0.8575999999999999,0.125,0.2335,0.21245337301587303
ArtificialDataset20b,informative,KNN,0,60,0.915,0.8969867549668874,0.86,0.8193277310924371,0.1325,0.21600000000000003,0.17841666666666664
ArtificialDataset20b,informative,KNN,1,60,0.9275,0.9107218428193278,0.86,0.8238736102984202,0.165,0.2245,0.1833186274509804
ArtificialDataset20b,informative,KNN,2,60,0.9225,0.9049719626168224,0.87,0.8305617977528089,0.135,0.2125,0.1775714285714286
ArtificialDataset20b,informative,KNN,3,60,0.93,0.9145557159732248,0.89,0.8575999999999999,0.15,0.225,0.19839742348294975
ArtificialDataset20b,informative,KNN,4,60,0.9225,0.9033533571591513,0.89,0.8643856489818535,0.125,0.2335,0.21245337301587303
ArtificialDataset20b,informative+redundant,SVM-rbf,0,80,0.955,0.9456683207433864,0.89,0.8611544461778472,0.15,0.23700000000000002,0.1826323953823954
ArtificialDataset20b,informative+redundant,SVM-rbf,1,80,0.9575,0.9485828904454675,0.9,0.8756218905472637,0.135,0.2365,0.19149591803124416
ArtificialDataset20b,informative+redundant,SVM-rbf,2,80,0.965,0.9582496368861831,0.86,0.8087674714104194,0.1575,0.23550000000000001,0.21216107503607504
ArtificialDataset20b,informative+redundant,SVM-rbf,3,80,0.95,0.939873417721519,0.91,0.8842402826855124,0.1225,0.23950000000000002,0.1867214105339105
ArtificialDataset20b,informative+redundant,SVM-rbf,4,80,0.9525,0.9424704564058142,0.88,0.8420107719928185,0.13,0.252,0.2156728896103896
ArtificialDataset20b,informative+redundant,KNN,0,80,0.9125,0.8936117056271289,0.85,0.8030888030888031,0.15,0.23700000000000002,0.1826323953823954
ArtificialDataset20b,informative+redundant,KNN,1,80,0.9125,0.8912201227871491,0.87,0.8305617977528089,0.135,0.2365,0.19149591803124416
ArtificialDataset20b,informative+redundant,KNN,2,80,0.9125,0.8912201227871491,0.89,0.8576,0.1575,0.23550000000000001,0.21216107503607504
ArtificialDataset20b,informative+redundant,KNN,3,80,0.93,0.9140905941737323,0.85,0.7973295183595613,0.1225,0.23950000000000002,0.1867214105339105
ArtificialDataset20b,informative+redundant,KNN,4,80,0.905,0.8806068601583115,0.87,0.8388659353184214,0.13,0.252,0.2156728896103896
ArtificialDataset20b,informative+redundant_nonLinear,SVM-rbf,0,80,0.955,0.9456683207433864,0.87,0.8349146110056926,0.1625,0.2445,0.19719116300366302
ArtificialDataset20b,informative+redundant_nonLinear,SVM-rbf,1,80,0.9525,0.9424704564058142,0.88,0.8420107719928186,0.15,0.2525,0.20364657564657562
ArtificialDataset20b,informative+redundant_nonLinear,SVM-rbf,2,80,0.9625,0.9553540366908644,0.81,0.7201309328968903,0.1675,0.23200000000000004,0.17775613275613275
ArtificialDataset20b,informative+redundant_nonLinear,SVM-rbf,3,80,0.9425,0.9302026064347868,0.9,0.8692620569436375,0.15,0.24849999999999997,0.20617956349206348
ArtificialDataset20b,informative+redundant_nonLinear,SVM-rbf,4,80,0.9525,0.9424704564058142,0.88,0.8420107719928185,0.1475,0.257,0.22086810776942356
ArtificialDataset20b,informative+redundant_nonLinear,KNN,0,80,0.9025,0.877742946708464,0.87,0.8349146110056926,0.1625,0.2445,0.19719116300366302
ArtificialDataset20b,informative+redundant_nonLinear,KNN,1,80,0.8925,0.8631513260530422,0.88,0.846153846153846,0.15,0.2525,0.20364657564657562
ArtificialDataset20b,informative+redundant_nonLinear,KNN,2,80,0.9075,0.8834832698597218,0.83,0.7608069164265129,0.1675,0.23200000000000004,0.17775613275613275
ArtificialDataset20b,informative+redundant_nonLinear,KNN,3,80,0.9025,0.8777429467084641,0.88,0.8374384236453202,0.15,0.24849999999999997,0.20617956349206348
ArtificialDataset20b,informative+redundant_nonLinear,KNN,4,80,0.9075,0.8834832698597218,0.85,0.7973295183595613,0.1475,0.257,0.22086810776942356
ArtificialDataset20b,informative+noise,SVM-rbf,0,80,0.96,0.9515090289177927,0.88,0.8420107719928186,0.14,0.2575,0.20289693639693637
ArtificialDataset20b,informative+noise,SVM-rbf,1,80,0.9625,0.9546813569696542,0.86,0.8143121529919802,0.1625,0.262,0.2248868145743146
ArtificialDataset20b,informative+noise,SVM-rbf,2,80,0.9625,0.9549106410887029,0.83,0.752412703983155,0.1925,0.2585,0.22677435064935064
ArtificialDataset20b,informative+noise,SVM-rbf,3,80,0.955,0.9456683207433864,0.84,0.7640449438202248,0.1775,0.2575,0.19329247835497834
ArtificialDataset20b,informative+noise,SVM-rbf,4,80,0.9525,0.9424704564058142,0.85,0.7909493359567141,0.145,0.274,0.23372750166500164
ArtificialDataset20b,informative+noise,KNN,0,80,0.92,0.9021146429046416,0.87,0.8388659353184215,0.14,0.2575,0.20289693639693637
ArtificialDataset20b,informative+noise,KNN,1,80,0.915,0.8946994313566207,0.84,0.7861234882240611,0.1625,0.262,0.2248868145743146
ArtificialDataset20b,informative+noise,KNN,2,80,0.925,0.9078409883431303,0.87,0.8388659353184215,0.1925,0.2585,0.22677435064935064
ArtificialDataset20b,informative+noise,KNN,3,80,0.9175,0.8981507177637055,0.85,0.7973295183595613,0.1775,0.2575,0.19329247835497834
ArtificialDataset20b,informative+noise,KNN,4,80,0.9075,0.8827754745799694,0.8,0.7434252726106481,0.145,0.274,0.23372750166500164
ArtificialDataset20b,informative+rand_extra,SVM-rbf,0,63,0.96,0.9517572788090078,0.88,0.846153846153846,0.1575,0.2225,0.17355953441982855
ArtificialDataset20b,informative+rand_extra,SVM-rbf,1,63,0.9575,0.9485828904454675,0.89,0.8611544461778472,0.105,0.2275,0.19283533827283825
ArtificialDataset20b,informative+rand_extra,SVM-rbf,2,63,0.97,0.9644210783714391,0.85,0.7909493359567142,0.1375,0.22049999999999997,0.17827931808688388
ArtificialDataset20b,informative+rand_extra,SVM-rbf,3,63,0.95,0.939873417721519,0.91,0.8842402826855124,0.15,0.22550000000000003,0.19596636002886
ArtificialDataset20b,informative+rand_extra,SVM-rbf,4,63,0.955,0.9456683207433864,0.9,0.8725934314835787,0.125,0.229,0.21609226190476194
ArtificialDataset20b,informative+rand_extra,KNN,0,63,0.9175,0.9008522238868285,0.88,0.846153846153846,0.1575,0.2225,0.17355953441982855
ArtificialDataset20b,informative+rand_extra,KNN,1,63,0.925,0.9078409883431303,0.87,0.8349146110056926,0.105,0.2275,0.19283533827283825
ArtificialDataset20b,informative+rand_extra,KNN,2,63,0.925,0.9088340615657544,0.87,0.8305617977528089,0.1375,0.22049999999999997,0.17827931808688388
ArtificialDataset20b,informative+rand_extra,KNN,3,63,0.9275,0.9112110583866309,0.9,0.8725934314835787,0.15,0.22550000000000003,0.19596636002886
ArtificialDataset20b,informative+rand_extra,KNN,4,63,0.925,0.906801007556675,0.85,0.80829950383401,0.125,0.229,0.21609226190476194
